TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-05,2026-06-05,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7160.90,7213.65,7114.00,7163.65,7163.65,7160.20,,7167.50,,,8853,63446815.00,2584,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,753.20,778.60,752.50,771.00,771.00,756.30,,770.45,,,57613,44351606.00,1793,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,861.05,870.00,848.50,850.25,852.95,859.70,,850.25,,,65700,56370197.00,4056,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500009,INE432A01017,AMBALALSA,B,,,,,AMBALAL SARABHAI ENTERPRISES L,34.82,35.63,34.00,34.47,34.47,34.81,,34.27,,,11977,416400.00,167,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,41.99,46.30,41.26,45.36,45.36,41.22,,45.36,,,573794,25852172.00,2095,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,3.88,3.97,3.80,3.84,3.80,3.85,,3.84,,,15889,61648.00,81,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,8.14,8.14,7.95,7.95,7.95,7.61,,7.95,,,2620,20991.00,20,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,122.65,124.15,121.75,122.80,123.40,121.60,,122.94,,,41369,5075104.00,607,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,292.00,320.00,292.00,299.35,299.35,302.00,,303.95,,,501,154415.00,19,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6705.75,6789.45,6652.40,6672.25,6662.00,6739.45,,6678.50,,,887,5946193.00,207,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,29.49,30.75,29.20,29.35,29.32,29.16,,29.35,,,5708,169559.00,76,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,306.90,316.60,306.85,311.55,311.20,304.25,,311.50,,,31680,9894697.00,1761,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,19.54,20.15,19.28,19.77,19.77,19.31,,19.75,,,898512,17744391.00,1725,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,18698.75,18867.25,18201.00,18243.15,18243.15,18571.45,,18243.00,,,7030,129952960.00,2156,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500034,INE296A01032,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,871.40,913.00,871.40,889.15,889.15,873.90,,889.40,,,487329,437674854.00,11344,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,537.95,541.40,529.25,532.45,532.05,531.35,,531.85,,,35044,18718254.00,2844,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,A,,,,,BANCO PRODUCTS (INDIA) LTD.,665.60,666.00,653.55,656.35,653.85,658.85,,655.50,,,6522,4299714.00,295,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,1248.00,1278.00,1235.00,1237.80,1237.80,1249.40,,1237.80,,,3269,4091809.00,287,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3637.00,3641.00,3601.00,3641.00,3641.00,3616.05,,3600.20,,,18,65434.00,7,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3473.35,3473.35,3388.00,3415.65,3418.00,3440.35,,3417.50,,,914,3126714.00,229,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,658.00,670.30,658.00,664.95,664.00,657.85,,664.65,,,7311,4870310.00,694,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500048,INE258A01024,BEML,A,,,,,BEML LTD.,1756.80,1762.15,1721.85,1742.40,1743.00,1736.10,,1742.80,,,8009,13976931.00,525,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,409.95,412.05,405.30,408.05,408.05,409.90,,408.20,,,587757,239896812.00,11187,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500051,INE099C01010,BHAGGAS,XT,,,,,BHAGAWATI GAS LIMITED,6.46,6.46,6.46,6.46,6.46,6.34,,6.46,,,5774,37300.00,10,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,95.14,98.50,94.60,96.71,98.00,95.34,,96.85,,,52394,5036655.00,906,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,14.05,14.05,12.90,13.00,13.25,13.63,,13.00,,,102994,1368605.00,198,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500059,INE071A01013,BILVYAPAR,T,,,,,BIL VYAPAR LIMITED,4.46,4.46,4.28,4.30,4.28,4.50,,4.29,,,4518,19568.00,24,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,T,,,,,Birla Cable Limited,237.55,244.90,224.60,224.60,224.60,236.40,,223.96,,,44320,10236420.00,663,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1620.50,1626.75,1572.50,1582.80,1582.80,1605.95,,1581.80,,,30582,48693627.00,3440,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,11300.80,11300.85,11103.00,11199.95,11200.00,11221.10,,11250.00,,,50,560157.00,42,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,256.00,263.00,256.00,262.10,262.10,260.10,,262.10,,,312,81618.00,17,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,54.70,54.70,51.43,52.31,52.13,51.97,,52.35,,,6481,336625.00,111,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,310.55,316.05,309.00,315.60,315.50,310.15,,318.50,,,136,42486.00,17,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500083,INE281A01026,CENTEXT,B,,,,,CENTURY EXTRUSIONS LTD.,19.98,20.02,19.25,19.31,19.31,19.50,,19.28,,,5022,98756.00,78,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,178.05,181.95,177.60,178.75,178.75,177.80,,178.61,,,84469,15104863.00,1395,F1,1,,,,,
