TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
05-06-2026,05-06-2026,CM,BSE,STK,533022,INE144J01027,20MICRONS,B,,,,,20 MICRONS LTD.,193,205.7,190.75,196.3,194.25,189.2,,195.79,,,38758,7724972,857,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,542772,INE466L01038,360ONE,A,,,,,360 ONE WAM LIMITED,1083.6,1093.15,1052,1074.2,1074.5,1071.6,,1073.9,,,24191,25952465,1855,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,532067,INE994E01018,3BBLACKBIO,B,,,,,3B BlackBio Dx Limited,1101.1,1149.75,1101.1,1121.05,1116.05,1129.75,,1120.7,,,2011,2252778,256,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,544412,INE0TE101010,3BFILMS,MT,,,,,3B FILMS LIMITED,19.8,21.42,19.8,21.42,21.42,20.4,,21.42,,,33000,689550,10,F1,3000,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,544190,INE0R7D01018,3CIT,M,,,,,3C IT Solutions and Telecoms (,18.2,18.2,18.2,18.2,18.2,16.55,,18.2,,,2000,36400,1,F1,2000,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,532628,INE748C01038,3IINFOLTD,B,,,,,3I INFOTECH LTD.,17.01,17.31,17.01,17.1,17.23,17.15,,17.07,,,18086,310144,186,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,523395,INE470A01017,3MINDIA,A,,,,,3M INDIA LTD.,32390.75,32430,31834.1,32025.95,32000,32281.1,,31995,,,90,2885080,72,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,540776,INE618L01018,5PAISA,B,,,,,5paisa Capital Limited,323,324.55,310,311.2,310,321.8,,311.6,,,5075,1589726,233,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,526881,INE111B01023,63MOONS,A,,,,,63 Moons Technologies Limited,618.3,638,618,635.35,635.35,621.8,,634.05,,,11653,7349657,922,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,540615,INE413X01035,7NR,XT,,,,,7NR Retail Limited,5.95,5.95,5.41,5.59,5.6,5.68,,5.59,,,27008,155365,112,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,540874,INE454F01010,7SEASL,X,,,,,7SEAS ENTERTAINMENT LIMITED,78.8,79.28,76.93,78.4,78.88,77.04,,78.4,,,55893,4399273,131,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,544522,INE08PH01015,ABCOTS,B,,,,,A B Cotspin India Limited,204.5,209,202.5,203.8,203.25,205.05,,204.15,,,2063,423124,154,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,544281,INE00YB01025,ABINFRA,B,,,,,A B INFRABUILD LIMITED,10.75,10.95,10.18,10.45,10.45,10.57,,10.44,,,78840,836500,746,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,538351,INE663P01015,AFEL,Z,,,,,A.F. ENTERPRISES LTD,1.71,1.83,1.7,1.76,1.76,1.76,,1.76,,,33796,60113,66,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,530499,INE701G01012,AKCAPIT,B,,,,,A.K.CAPITAL SERVICES LTD.,1724.3,1724.3,1695.15,1696.05,1696.05,1724.3,,1710.6,,,22,37425,8,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,542012,INE911Z01025,A1L,B,,,,,A-1 LIMITED,8.15,8.15,8.15,8.15,8.15,8.57,,8.15,,,462842,3772162,912,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,533292,INE619I01012,A2ZINFRA,B,,,,,A2Z INFRA ENGINEERING LIMITED,15.2,15.58,14.42,14.88,14.88,15.26,,14.77,,,15874,239142,123,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,543671,INE0D0U01013,AAATECH,B,,,,,AAA TECHNOLOGIES LIMITED,105,105,91,92.86,92.93,91.31,,92.45,,,3259,301122,138,F1,1,,,,,
05-06-2026,05-06-2026,CM,BSE,STK,544176,INE883F01010,AADHARHFC,A,,,,,Aadhar Housing Finance Limited,464.15,475.6,464.15,469.5,466.4,469.55,,468.15,,,6888,3236700,689,F1,1,,,,,
