SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TRADE_DATE
20MICRONS,EQ,30.95,31.5,28.45,30.95,34764,2020-11-16
21STCENMGM,EQ,9.55,9.85,9.55,9.85,428,2020-11-16
3IINFOTECH,EQ,3.1,3.25,3.05,3.2,3577270,2020-11-16
3MINDIA,EQ,20400.0,20675.1,20300.0,20495.9,967,2020-11-16
5PAISA,EQ,329.95,329.95,316.3,321.65,2703,2020-11-16
63MOONS,EQ,73.6,74.35,72.7,73.85,20249,2020-11-16
A2ZINFRA,EQ,3.75,3.8,3.65,3.75,62416,2020-11-16
AAKASH,EQ,55.0,55.0,53.0,53.0,4806,2020-11-16
AARON,EQ,32.1,32.9,31.0,31.9,193,2020-11-16
AARTIDRUGS,EQ,707.75,723.95,703.0,716.3,529545,2020-11-16
AARTIIND,EQ,1110.0,1113.35,1096.85,1101.3,31169,2020-11-16
AARVEEDEN,EQ,10.3,10.65,9.8,10.25,1831,2020-11-16
AARVI,EQ,39.85,39.85,35.1,39.55,2450,2020-11-16
AAVAS,EQ,1488.9,1489.2,1474.0,1485.7,1973,2020-11-16
ABAN,EQ,22.0,23.0,22.0,22.85,26848,2020-11-16
ABB,EQ,1006.0,1010.0,972.05,986.15,36544,2020-11-16
ABBOTINDIA,EQ,15400.0,15625.0,15400.0,15595.55,2958,2020-11-16
ABCAPITAL,EQ,77.45,81.65,77.05,80.85,5930624,2020-11-16
ABFRL,EQ,159.25,159.45,157.0,157.85,224405,2020-11-16
ABSLBANETF,EQ,286.18,286.37,282.54,283.79,243,2020-11-16
ABSLNN50ET,EQ,291.0,294.0,282.12,287.14,63,2020-11-16
ACC,EQ,1677.9,1682.95,1658.0,1668.05,91090,2020-11-16
ACCELYA,EQ,852.05,869.0,840.6,849.2,2120,2020-11-16
ACE,EQ,81.0,89.9,79.1,87.3,1317785,2020-11-16
ADANIENT,EQ,369.8,372.85,369.5,371.25,620753,2020-11-16
ADANIGAS,EQ,245.7,247.0,243.6,244.7,349600,2020-11-16
ADANIGREEN,EQ,1018.0,1023.6,990.05,1008.6,578986,2020-11-16
ADANIPORTS,EQ,369.0,369.0,363.0,366.1,444529,2020-11-16
ADANIPOWER,EQ,36.3,36.65,36.3,36.4,536355,2020-11-16
ADANITRANS,EQ,334.9,344.4,332.8,340.35,348405,2020-11-16
ADFFOODS,EQ,465.65,479.75,464.95,469.3,37901,2020-11-16
ADHUNIKIND,EQ,17.1,17.1,16.3,16.85,9460,2020-11-16
ADORWELD,EQ,245.5,246.0,241.6,245.25,2036,2020-11-16
ADSL,EQ,22.75,22.95,22.0,22.35,11907,2020-11-16
ADVANIHOTR,EQ,43.15,45.95,43.15,44.55,1171,2020-11-16
ADVENZYMES,EQ,330.95,334.1,329.0,330.4,70666,2020-11-16
AEGISCHEM,EQ,219.0,221.5,216.05,218.85,48507,2020-11-16
AFFLE,EQ,2994.0,3000.0,2938.0,2959.0,15793,2020-11-16
AGARIND,EQ,84.95,84.95,81.05,83.7,8162,2020-11-16
AGRITECH,EQ,26.35,27.35,26.35,26.9,1668,2020-11-16
AGROPHOS,EQ,8.6,8.6,8.05,8.3,9589,2020-11-16
AHLEAST,EQ,139.0,139.0,136.45,136.85,37,2020-11-16
AHLUCONT,EQ,232.0,234.95,228.8,230.4,5764,2020-11-16
AHLWEST,EQ,262.0,262.0,241.1,245.35,782,2020-11-16
AIAENG,EQ,1734.0,1797.7,1730.0,1768.0,23275,2020-11-16
AIRAN,EQ,14.5,15.0,13.1,14.4,411194,2020-11-16
AJANTPHARM,EQ,1547.0,1554.5,1543.2,1548.9,11845,2020-11-16
AJMERA,EQ,92.15,94.15,92.15,93.8,62768,2020-11-16
AKASH,EQ,219.95,219.95,219.95,219.95,45,2020-11-16
AKSHARCHEM,EQ,204.75,204.75,200.1,202.15,5873,2020-11-16
AKSHOPTFBR,EQ,6.75,6.75,6.65,6.75,111318,2020-11-16
AKZOINDIA,EQ,1989.95,2010.0,1970.0,2000.75,2837,2020-11-16
ALANKIT,EQ,15.75,15.85,15.45,15.6,19495,2020-11-16
ALBERTDAVD,EQ,420.0,423.9,411.0,415.5,5690,2020-11-16
ALCHEM,EQ,5.1,5.1,4.75,4.9,14406,2020-11-16
ALEMBICLTD,EQ,93.05,96.2,92.55,95.15,416211,2020-11-16
ALICON,EQ,311.95,311.95,300.25,306.7,2121,2020-11-16
ALKALI,EQ,48.7,49.65,47.65,48.05,2834,2020-11-16
ALKEM,EQ,2699.95,2710.0,2690.0,2705.6,10167,2020-11-16
ALKYLAMINE,EQ,3405.0,3405.0,3370.0,3388.9,6435,2020-11-16
ALLCARGO,EQ,122.5,128.7,122.4,126.9,635250,2020-11-16
ALLSEC,EQ,246.0,246.35,237.7,240.4,567,2020-11-16
ALMONDZ,EQ,13.0,13.0,12.2,13.0,758,2020-11-16
ALOKINDS,EQ,26.3,26.45,25.15,25.4,6978162,2020-11-16
ALPHAGEO,EQ,161.5,161.5,156.25,158.95,2278,2020-11-16
AMARAJABAT,EQ,833.95,834.0,815.0,824.25,155009,2020-11-16
AMBER,EQ,2332.95,2334.0,2301.25,2318.6,26579,2020-11-16
AMBIKCO,EQ,715.0,715.0,686.6,708.9,2371,2020-11-16
AMBUJACEM,EQ,259.9,260.9,258.05,259.0,489361,2020-11-16
AMDIND,EQ,16.05,16.05,15.3,15.9,1367,2020-11-16
AMJLAND,EQ,22.3,23.95,22.3,23.2,36442,2020-11-16
AMRUTANJAN,EQ,479.5,480.0,468.15,477.45,71140,2020-11-16
ANANTRAJ,EQ,18.2,18.2,17.8,18.0,74140,2020-11-16
ANDHRACEMT,EQ,5.05,5.05,4.95,5.0,101859,2020-11-16
ANDHRAPAP,EQ,191.35,194.9,186.35,192.85,3936,2020-11-16
ANDHRSUGAR,EQ,284.9,289.05,283.75,285.35,15598,2020-11-16
ANGELBRKG,EQ,351.0,355.0,346.6,351.8,149447,2020-11-16
ANIKINDS,EQ,11.25,12.5,11.0,12.1,9266,2020-11-16
ANKITMETAL,EQ,1.1,1.1,1.05,1.1,739,2020-11-16
ANSALAPI,EQ,4.15,4.45,4.15,4.35,39693,2020-11-16
ANSALHSG,EQ,3.85,4.25,3.85,4.1,12022,2020-11-16
ANUP,EQ,624.0,624.0,589.05,600.3,8431,2020-11-16
APARINDS,EQ,313.9,316.9,311.3,315.25,9399,2020-11-16
APCL,EQ,213.9,214.0,208.9,212.2,23507,2020-11-16
APCOTEXIND,EQ,168.35,168.9,164.3,165.45,46100,2020-11-16
APEX,EQ,280.9,286.0,280.9,283.8,123699,2020-11-16
APLAPOLLO,EQ,3325.0,3348.0,3251.2,3312.15,16395,2020-11-16
APLLTD,EQ,994.0,994.0,982.0,986.2,56082,2020-11-16
APOLLO,EQ,114.0,115.0,112.3,114.7,21597,2020-11-16
APOLLOHOSP,EQ,2275.0,2323.5,2270.05,2284.65,325596,2020-11-16
APOLLOPIPE,EQ,674.0,679.9,658.0,675.05,99823,2020-11-16
APOLLOTYRE,EQ,165.7,166.4,163.8,164.65,522568,2020-11-16
