SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,TRADE_DATE
20MICRONS,EQ, 21-Jun-2021,62.0,60.75,64.1,59.85, 64.00,63.55,62.64,125996,78.92,2608, 62996, 50.00,2021-06-21
21STCENMGM,EQ, 21-Jun-2021,19.5,19.85,19.85,19.85, 19.85,19.85,19.85,6539,1.3,43, 6537, 99.97,2021-06-21
3MINDIA,EQ, 21-Jun-2021,25445.4,25205.0,25552.85,25205.0, 25303.00,25411.9,25336.78,1092,276.68,797, 536, 49.08,2021-06-21
3PLAND,EQ, 21-Jun-2021,13.8,14.3,14.3,13.5, 13.80,13.8,13.76,17919,2.47,137, 15329, 85.55,2021-06-21
5PAISA,EQ, 21-Jun-2021,417.55,425.0,425.0,408.3, 416.30,415.8,416.31,32044,133.4,1415, 21351, 66.63,2021-06-21
AAKASH,EQ, 21-Jun-2021,182.6,182.6,200.85,182.0, 190.00,190.8,193.69,69455,134.53,1183, 22212, 31.98,2021-06-21
AARTIDRUGS,EQ, 21-Jun-2021,720.1,709.0,717.85,707.0, 714.55,713.3,711.58,289830,2062.36,19173, 115401, 39.82,2021-06-21
AARTIIND,EQ, 21-Jun-2021,1770.35,1769.0,1812.65,1750.0, 1775.10,1771.9,1778.62,957287,17026.52,48989, 426099, 44.51,2021-06-21
AARTISURF,EQ, 21-Jun-2021,1340.85,1340.0,1383.4,1307.35, 1365.00,1363.05,1360.75,10606,144.32,1848, 5505, 51.90,2021-06-21
AARVI,EQ, 21-Jun-2021,66.7,66.05,73.75,65.15, 69.10,69.9,71.57,252720,180.86,2509, 113578, 44.94,2021-06-21
AAVAS,EQ, 21-Jun-2021,2512.2,2453.5,2594.75,2429.0, 2572.15,2570.0,2544.09,52937,1346.77,5684, 20275, 38.30,2021-06-21
ABB,EQ, 21-Jun-2021,1743.45,1700.0,1738.0,1695.05, 1724.00,1719.4,1721.65,152232,2620.9,11330, 78297, 51.43,2021-06-21
ABBOTINDIA,EQ, 21-Jun-2021,16536.7,16235.0,16749.85,16235.0, 16450.00,16573.65,16529.08,11063,1828.61,4091, 5780, 52.25,2021-06-21
ABCAPITAL,EQ, 21-Jun-2021,118.5,117.0,119.8,117.0, 117.60,117.85,118.07,2467551,2913.48,26368, 1083962, 43.93,2021-06-21
ABFRL,EQ, 21-Jun-2021,201.6,199.0,202.6,196.65, 200.20,200.5,200.19,1918906,3841.53,19885, 742921, 38.72,2021-06-21
ABMINTLTD,EQ, 21-Jun-2021,71.25,71.25,74.75,67.75, 73.50,73.2,71.18,14621,10.41,212, 4991, 34.14,2021-06-21
ABSLBANETF,EQ, 21-Jun-2021,344.5,341.85,346.18,337.63, 346.18,346.12,341.2,199,0.68,37, 124, 62.31,2021-06-21
ABSLNN50ET,EQ, 21-Jun-2021,385.87,392.9,392.9,387.99, 387.99,387.99,390.41,20,0.08,9, 17, 85.00,2021-06-21
ACC,EQ, 21-Jun-2021,2027.9,2009.5,2041.9,1988.9, 2025.60,2028.1,2021.0,478588,9672.27,22389, 180152, 37.64,2021-06-21
ACCELYA,EQ, 21-Jun-2021,1173.6,1170.0,1213.95,1150.0, 1185.00,1187.75,1189.87,311516,3706.63,13535, 90891, 29.18,2021-06-21
ACCURACY,EQ, 21-Jun-2021,80.8,76.25,81.9,76.25, 81.50,81.15,80.64,14928,12.04,266, 9987, 66.90,2021-06-21
ACE,EQ, 21-Jun-2021,223.15,218.0,228.0,215.0, 226.30,225.25,223.87,461234,1032.56,11464, 177933, 38.58,2021-06-21
ACRYSIL,EQ, 21-Jun-2021,520.0,521.0,572.0,506.25, 572.00,570.85,551.53,328248,1810.38,14106, 180395, 54.96,2021-06-21
ADANIENT,EQ, 21-Jun-2021,1487.5,1490.0,1582.0,1444.85, 1531.00,1540.0,1533.82,21101083,323652.48,543336, 1003919, 4.76,2021-06-21
ADANIPORTS,EQ, 21-Jun-2021,694.35,692.0,744.65,685.1, 730.00,731.05,724.14,51759617,374811.18,727389, 6024781, 11.64,2021-06-21
ADFFOODS,EQ, 21-Jun-2021,954.95,940.0,974.7,937.3, 963.05,962.9,955.53,34014,325.01,6960, 9879, 29.04,2021-06-21
ADORWELD,EQ, 21-Jun-2021,607.55,610.85,610.85,593.35, 599.00,599.0,599.36,18322,109.81,1439, 8319, 45.40,2021-06-21
ADROITINFO,EQ, 21-Jun-2021,11.3,11.65,11.8,10.75, 10.75,10.85,10.96,54371,5.96,229, 34423, 63.31,2021-06-21
ADSL,EQ, 21-Jun-2021,61.15,62.5,63.05,61.2, 62.00,61.75,62.23,414149,257.73,3233, 245879, 59.37,2021-06-21
ADVANIHOTR,EQ, 21-Jun-2021,67.05,66.9,68.0,63.55, 65.55,65.6,66.57,86990,57.91,1263, 29752, 34.20,2021-06-21
ADVENZYMES,EQ, 21-Jun-2021,416.1,408.0,420.25,404.2, 417.10,417.05,413.21,372458,1539.03,11154, 116471, 31.27,2021-06-21
AEGISCHEM,EQ, 21-Jun-2021,354.5,350.0,360.0,347.3, 359.00,357.6,354.97,247138,877.27,8853, 97611, 39.50,2021-06-21
AGARIND,EQ, 21-Jun-2021,289.6,285.8,305.0,282.25, 303.70,303.15,299.79,84840,254.34,1640, 59588, 70.24,2021-06-21
AGRITECH,EQ, 21-Jun-2021,44.65,43.0,45.9,43.0, 45.65,45.5,44.48,12404,5.52,286, 5592, 45.08,2021-06-21
AGROPHOS,EQ, 21-Jun-2021,14.05,14.0,14.3,13.8, 14.00,14.0,14.12,152955,21.59,860, 34231, 22.38,2021-06-21
