symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
TEXINFRA,EQ,-,1,Fv Split Rs.10/- To Re.1/,01-Jan-2009,09-Jan-2009,-,-,01-Jan-2009,Texmaco Infrastructure & Holdings Limited,INE435C01024,07-Jan-2009,
BBOX,EQ,-,2,Agm/Dividend - 35%,02-Jan-2009,-,06-Jan-2009,29-Jan-2009,-,Black Box Limited,INE676A01019,-,
KINETICMOT,EQ,-,10,Annual General Meeting,13-Jan-2009,-,15-Jan-2009,19-Jan-2009,-,Kinetic Motor Company Limited,INE267B01015,-,
SIEMENS,EQ,-,2,Agm/Dividend - 150%,14-Jan-2009,-,16-Jan-2009,30-Jan-2009,-,Siemens Limited,INE003A01024,-,
GUJSTATFIN,EQ,-,10,Annual General Meeting,14-Jan-2009,-,21-Jan-2009,23-Jan-2009,14-Jan-2009,Gujarat State Financial Corporation,INE944A01011,20-Jan-2009,
MASTEK,EQ,-,5,Int Div-Rs.2.50 Per Sharepurpose Revised,15-Jan-2009,16-Jan-2009,-,-,-,Mastek Limited,INE759A01021,-,
AUTOAXLES,EQ,-,10,Fin Div-Rs.6.50 Per Share,15-Jan-2009,-,19-Jan-2009,21-Jan-2009,-,Automotive Axles Limited,INE449A01011,-,
BALRAMCHIN,EQ,-,1,Agm / Dividend - 50%,16-Jan-2009,-,20-Jan-2009,30-Jan-2009,-,Balrampur Chini Mills Limited,INE119A01028,-,
WALCHANNAG,EQ,-,2,Agm/Dividend - 50%,21-Jan-2009,-,23-Jan-2009,29-Jan-2009,-,Walchandnagar Industries Limited,INE711A01022,-,
DENABANK,EQ,-,10,Election Of Directors,22-Jan-2009,23-Jan-2009,-,-,-,Dena Bank,INE077A01010,-,
SIMBHSUGAR,EQ,-,10,Annual General Meeting,22-Jan-2009,-,27-Jan-2009,31-Jan-2009,-,Simbhaoli Sugars Limited,INE270C01017,-,
MPHASIS,EQ,-,10,Agm/Div-Rs.2 Per Share,22-Jan-2009,-,24-Jan-2009,28-Jan-2009,-,MphasiS Limited,INE356A01018,-,
EXIDEIND,EQ,-,1,Interim Dividend - 40%,23-Jan-2009,27-Jan-2009,-,-,-,Exide Industries Limited,INE302A01020,-,
IPCALAB,EQ,-,1,2nd Interim Dividend-30% Purpose Revised,27-Jan-2009,28-Jan-2009,-,-,-,IPCA Laboratories Limited,INE571A01020,-,
HCLTECH,EQ,-,2,2nd Interim Dividend-100%Purpose Revised,28-Jan-2009,29-Jan-2009,-,-,-,HCL Technologies Limited,INE860A01027,-,
BEL,EQ,-,1,Int Div-Rs.6 Per Share   Purpose Revised,28-Jan-2009,29-Jan-2009,-,-,-,Bharat Electronics Limited,INE263A01016,-,
TCS,EQ,-,1,3rd Int Div-Rs.3 Per Sh  Purpose Revised,28-Jan-2009,29-Jan-2009,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
COROMANDEL,EQ,-,1,Interim Dividend - 300%  Purpose Revised,29-Jan-2009,30-Jan-2009,-,-,-,Coromandel International Limited,INE169A01023,-,
CGPOWER,EQ,-,2,Interim Dividend - 40%   Purpose Revised,29-Jan-2009,30-Jan-2009,-,-,-,CG Power and Industrial Solutions Limited,INE067A01029,-,
IIFL,EQ,-,2,Int Div-Rs.2.80 Per Sharepurpose Revised,29-Jan-2009,30-Jan-2009,-,-,-,IIFL Finance Limited,INE530B01024,-,
NTPC,EQ,-,10,Interim Dividend - 28%   Purpose Revised,29-Jan-2009,30-Jan-2009,-,-,-,NTPC Limited,INE733E01010,-,
GODREJCP,EQ,-,1,3rd Interim Dividend-100%Purpose Revised,29-Jan-2009,30-Jan-2009,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GAIL,EQ,-,10,Interim Dividend - 40%   Purpose Revised,30-Jan-2009,02-Feb-2009,-,-,-,GAIL (India) Limited,INE129A01019,-,
ANDHRABANK,EQ,-,10,Election Of Director,30-Jan-2009,02-Feb-2009,-,-,-,Andhra Bank,INE434A01013,-,
SAIL,EQ,-,10,Interim Dividend - 13%   Purpose Revised,30-Jan-2009,02-Feb-2009,-,-,-,Steel Authority of India Limited,INE114A01011,-,
DABUR,EQ,-,1,Interim Dividend - 75%   Purpose Revised,02-Feb-2009,03-Feb-2009,-,-,-,Dabur India Limited,INE016A01026,-,
SUNTV,EQ,-,5,Interim Dividend - 30%   Purpose Revised,02-Feb-2009,03-Feb-2009,-,-,-,Sun TV Network Limited,INE424H01027,-,
VARUNSHIP,EQ,-,10,3rd Interim Dividend-15% Purpose Revised,02-Feb-2009,03-Feb-2009,-,-,-,Varun Shipping Company Limited,INE702A01013,-,
CUMMINSIND,EQ,-,2,Interim Dividend - 200%  Purpose Revised,03-Feb-2009,04-Feb-2009,-,-,-,Cummins India Limited,INE298A01020,-,
POWERGRID,EQ,-,10,Interim Dividend - 5%    Purpose Revised,04-Feb-2009,05-Feb-2009,-,-,-,Power Grid Corporation of India Limited,INE752E01010,-,
MUKTAARTS,EQ,-,5,Interim Dividend - 20%,04-Feb-2009,05-Feb-2009,-,-,-,Mukta Arts Limited,INE374B01019,-,
RAMCOIND,EQ,-,1,2nd Interim Dividend-50% Purpose Revised,04-Feb-2009,05-Feb-2009,-,-,-,Ramco Industries Limited,INE614A01028,-,
RAMCOCEM,EQ,-,1,Int Div-Re.1 Per Share   Purpose Revised,04-Feb-2009,05-Feb-2009,-,-,-,The Ramco Cements Limited,INE331A01037,-,
HCL-INSYS,EQ,-,2,2nd Interim Dividend-75% Purpose Revised,04-Feb-2009,05-Feb-2009,-,-,-,HCL Infosystems Limited,INE236A01020,-,
GANDHITUBE,EQ,-,5,Int Div-Rs.2.50 Per Sharepurpose Revised,04-Feb-2009,05-Feb-2009,-,-,-,Gandhi Special Tubes Limited,INE524B01027,-,
PAGEIND,EQ,-,10,3rd Interim Dividend-40% Purpose Revised,04-Feb-2009,05-Feb-2009,-,-,-,Page Industries Limited,INE761H01022,-,
POLARIS,EQ,-,5,Interim Dividend - 30%,05-Feb-2009,06-Feb-2009,-,-,-,POLARIS CONSULTING & SERVICES LIMITED,INE763A01023,-,
REIAGROLTD,EQ,-,1,Fv Split Rs.10/- To Re.1/,05-Feb-2009,12-Feb-2009,-,-,05-Feb-2009,Rei Agro Limited,INE385B01031,11-Feb-2009,
PSL,EQ,-,10,Int Div-Rs.2.50 Per Sharepurpose Revised,05-Feb-2009,06-Feb-2009,-,-,-,PSL Limited,INE474B01017,-,
AUROPHARMA,EQ,-,1,Interim Dividend - 60%   Purpose Revised,05-Feb-2009,06-Feb-2009,-,-,-,Aurobindo Pharma Limited,INE406A01029,-,
PRAJIND,EQ,-,2,Int Div-65%+Spl Div-25%  Purpose Revised,06-Feb-2009,09-Feb-2009,-,-,-,Praj Industries Limited,INE074A01025,-,
KCP,EQ,-,1,Interim Dividend-25%     Purpose Revised,06-Feb-2009,09-Feb-2009,-,-,-,KCP Limited,INE805C01010,-,
GLOBOFFS,EQ,-,10,Interim Dividend - 6%    Purpose Revised,06-Feb-2009,09-Feb-2009,-,-,-,Global Offshore Services Limited,INE446C01013,-,
CONCOR,EQ,-,5,Interim Dividend - 60%,09-Feb-2009,10-Feb-2009,-,-,-,Container Corporation of India Limited,INE111A01017,-,
GESHIP,EQ,-,10,Int Div-Rs.2.50 Per Sharepurpose Revised,10-Feb-2009,11-Feb-2009,-,-,-,The Great Eastern Shipping Company Limited,INE017A01032,-,
63MOONS,EQ,-,2,3rd Interim Dividend-100%,11-Feb-2009,12-Feb-2009,-,-,-,63 moons technologies limited,INE111B01023,-,
STCINDIA,EQ,-,10,Interim Dividend - 25%,12-Feb-2009,13-Feb-2009,-,-,-,The State Trading Corporation of India Limited,INE655A01013,-,
NATIONALUM,EQ,-,5,Interim Dividend - 35%,12-Feb-2009,13-Feb-2009,-,-,-,National Aluminium Company Limited,INE139A01026,-,
DALMIASUG,EQ,-,2,Interim Dividend - 50%,12-Feb-2009,14-Feb-2009,-,-,-,Dalmia Bharat Sugar and Industries Limited,INE495A01022,-,
RANEHOLDIN,EQ,-,10,Int Div-Rs.4 Per Share,12-Feb-2009,13-Feb-2009,-,-,-,Rane Holdings Limited,INE384A01010,-,
IRB,EQ,-,1,Interim Dividend - 10%   Purpose Revised,12-Feb-2009,13-Feb-2009,-,-,-,IRB Infrastructure Developers Limited,INE821I01014,-,
GEODESIC,EQ,-,2,Interim Dividend - 40%,16-Feb-2009,17-Feb-2009,-,-,-,Geodesic Limited,INE371D01029,-,
BHEL,EQ,-,2,Interim Dividend - 90%,17-Feb-2009,18-Feb-2009,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
NMDC,EQ,-,1,Interim Dividend -103%,18-Feb-2009,20-Feb-2009,-,-,-,NMDC Limited,INE584A01023,-,
SUPRAJIT,EQ,-,1,Interim Dividend - 20%,18-Feb-2009,19-Feb-2009,-,-,-,Suprajit Engineering Limited,INE399C01030,-,
ADANIPORTS,EQ,-,2,Int Div-Rs.2/- Per Share Purpose Revised,18-Feb-2009,19-Feb-2009,-,-,-,Adani Ports and Special Economic Zone Limited,INE742F01042,-,
AMBUJACEM,EQ,-,2,Final Dividend - 50%,18-Feb-2009,-,21-Feb-2009,02-Mar-2009,-,Ambuja Cements Limited,INE079A01024,-,
PFC,EQ,-,10,Interim Dividend - 26.5% Purpose Revised,24-Feb-2009,25-Feb-2009,-,-,-,Power Finance Corporation Limited,INE134E01011,-,
SUJANAUNI,EQ,-,10,Annual General Meeting,24-Feb-2009,-,26-Feb-2009,26-Feb-2009,-,Sujana Universal Industries Limited,INE216G01011,-,
SUJANATOW,EQ,-,1,Annual General Meeting,24-Feb-2009,-,26-Feb-2009,26-Feb-2009,-,Sujana Tower Limited,INE333I01010,-,
RECLTD,EQ,-,10,Int Div-Rs.2/- Per Share Purpose Revised,26-Feb-2009,27-Feb-2009,-,-,-,REC Limited,INE020B01018,-,
GUJSIDHCEM,EQ,-,10,Annual General Meeting,27-Feb-2009,-,03-Mar-2009,05-Mar-2009,-,Gujarat Sidhee Cements Limited,INE542A01013,-,
CORALHUB,EQ,-,1,Fv Split Rs.10/- To Re.1/,27-Feb-2009,06-Mar-2009,-,-,27-Feb-2009,Coral Hub Limited,INE108J01022,05-Mar-2009,
SUNDARMFIN,EQ,-,10,Interim Dividend - 40%   Purpose Revised,04-Mar-2009,05-Mar-2009,-,-,-,Sundaram Finance Limited,INE660A01013,-,
VISHALEXPO,EQ,-,1,Annual General Meeting,05-Mar-2009,-,09-Mar-2009,13-Mar-2009,-,Vishal Exports Overseas Limited,INE167C01023,-,
MRF,EQ,-,10,Agm/Dividend - 140%,06-Mar-2009,-,10-Mar-2009,19-Mar-2009,-,MRF Limited,INE883A01011,-,
DHAMPURSUG,EQ,-,10,Annual General Meeting   Bc Start Date Revised,06-Mar-2009,-,11-Mar-2009,17-Mar-2009,-,Dhampur Sugar Mills Limited,INE041A01016,-,
MICRO,EQ,-,10,Agm/Div-Rs. 6/- Per Share,06-Mar-2009,-,11-Mar-2009,14-Mar-2009,-,Micro Inks Limited,INE056A01014,-,
ARIHANT,EQ,-,10,Agm/Final Dividend - 10%,09-Mar-2009,-,13-Mar-2009,20-Mar-2009,-,Arihant Foundations & Housing Limited,INE413D01011,-,
INDIANB,EQ,-,10,Interim Dividend - 20%,09-Mar-2009,12-Mar-2009,-,-,-,Indian Bank,INE562A01011,-,
WANBURY,EQ,-,10,Agm/Dividend - 5%,12-Mar-2009,-,16-Mar-2009,23-Mar-2009,-,Wanbury Limited,INE107F01022,-,
LML,EQ,-,10,Annual General Meeting,12-Mar-2009,-,14-Mar-2009,21-Mar-2009,-,LML Limited,INE862A01015,-,
CORPBANK,EQ,-,2,Int Div-Rs.4.50 Per Share,12-Mar-2009,13-Mar-2009,-,-,-,Corporation Bank,INE112A01015,-,
BAJAJHIND,EQ,-,1,Agm/Dividend - 60%,12-Mar-2009,-,14-Mar-2009,24-Mar-2009,-,Bajaj Hindusthan Sugar Limited,INE306A01021,-,
GODREJCP,EQ,-,1,Annual Book Closure,13-Mar-2009,-,17-Mar-2009,17-Mar-2009,-,Godrej Consumer Products Limited,INE102D01028,-,
VIDEOIND,EQ,-,10,Agm/Div-Re.1/- Per Share,13-Mar-2009,-,17-Mar-2009,30-Mar-2009,-,Videocon Industries Limited,INE703A01011,-,
BANKINDIA,EQ,-,10,Interim Dividend - 30%   Purpose Revised,13-Mar-2009,16-Mar-2009,-,-,-,Bank of India,INE084A01016,-,
VALUEIND,EQ,-,10,Agm/Div - 0.50 Per Share,13-Mar-2009,-,17-Mar-2009,30-Mar-2009,-,Value Industries Limited,INE352A01017,-,
SAKHTISUG,EQ,-,10,Annual General Meeting,13-Mar-2009,-,17-Mar-2009,31-Mar-2009,-,Sakthi Sugars Limited,INE623A01011,-,
INDOTECH,EQ,-,10,2nd Interim Dividend-39% Purpose Revised,13-Mar-2009,16-Mar-2009,-,-,-,Indo Tech Transformers Limited,INE332H01014,-,
GUJRATGAS,EQ,-,2,Dividend - 150%,16-Mar-2009,-,18-Mar-2009,20-Mar-2009,-,Gujarat Gas Company Limited,INE374A01029,-,
CHEMPLAST,EQ,-,1,Rght 2:3@Prem Rs.4 Per Shpurpose Revised,17-Mar-2009,24-Mar-2009,-,-,17-Mar-2009,Chemplast Sanmar Limited,INE488A01027,23-Mar-2009,
DWARKESH,EQ,-,1,Annual General Meeting,17-Mar-2009,-,19-Mar-2009,26-Mar-2009,-,Dwarikesh Sugar Industries Limited,INE366A01033,-,
GLAXO,EQ,-,10,Div Fin-Rs.22 + Spl-Rs.18,18-Mar-2009,-,20-Mar-2009,02-Apr-2009,-,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,-,
ALOKTEXT,EQ,-,10,Rht 83:40@Prem Re1 Per Sh,18-Mar-2009,25-Mar-2009,-,-,18-Mar-2009,Alok Industries Limited,INE270A01011,24-Mar-2009,
KMSUGAR,EQ,-,2,Annual General Meeting,19-Mar-2009,-,23-Mar-2009,26-Mar-2009,-,K.M.Sugar Mills Limited,INE157H01023,-,
KOPDRUGS,EQ,-,10,Annual General Meeting,19-Mar-2009,-,21-Mar-2009,26-Mar-2009,-,KDL Biotech Limited,INE746A01010,-,
EIDPARRY,EQ,-,1,Interim Dividend - 500%  Purpose Revised,20-Mar-2009,23-Mar-2009,-,-,-,EID Parry India Limited,INE126A01023,-,
CRISIL,EQ,-,1,Agm/Div-Rs.35/- Per Share,20-Mar-2009,-,24-Mar-2009,25-Mar-2009,-,CRISIL Limited,INE007A01017,-,
GRINDWELL,EQ,-,5,Agm/Div-Rs.4/- Per Share,20-Mar-2009,-,24-Mar-2009,26-Mar-2009,-,Grindwell Norton Limited,INE536A01023,-,
LAKSHMIEFL,EQ,-,2,Agm/Dividend - 25%,23-Mar-2009,-,25-Mar-2009,27-Mar-2009,-,Lakshmi Energy and Foods Limited,INE992B01026,-,
AMJLAND,EQ,-,2,Fv Split Rs.10/- To Rs.2/,23-Mar-2009,31-Mar-2009,-,-,23-Mar-2009,Amj Land Holdings Limited,INE606A01024,30-Mar-2009,
AUSTRAL,EQ,-,1,Interim Dividend - 10%,24-Mar-2009,25-Mar-2009,-,-,-,Austral Coke & Projects Limited,INE455J01027,-,
ACC,EQ,-,10,Agm/Div-Rs.10/- Per Share,24-Mar-2009,-,26-Mar-2009,08-Apr-2009,-,ACC Limited,INE012A01025,-,
WENDT,EQ,-,10,Interim Dividend-100%    Purpose Revised,25-Mar-2009,28-Mar-2009,-,-,-,Wendt (India) Limited,INE274C01019,-,
BFUTILITIE,EQ,-,5,Annual General Meeting,25-Mar-2009,-,30-Mar-2009,30-Mar-2009,-,BF Utilities Limited,INE243D01012,-,
HONAUT,EQ,-,10,Annual General Meeting,30-Mar-2009,-,02-Apr-2009,09-Apr-2009,-,Honeywell Automation India Limited,INE671A01010,-,
CGPOWER,EQ,-,2,3rd Interim Dividend-25% Purpose Revised,30-Mar-2009,31-Mar-2009,-,-,-,CG Power and Industrial Solutions Limited,INE067A01029,-,
SCHAEFFLER,EQ,-,2,Dividend-Rs. 4.50 Per Shr,30-Mar-2009,-,01-Apr-2009,03-Apr-2009,-,Schaeffler India Limited,INE513A01014,-,
SRF,EQ,-,10,2nd Interim Dividend-50% Purpose Revised,31-Mar-2009,03-Apr-2009,-,-,-,SRF Limited,INE647A01010,-,
FOSECOIND,EQ,-,10,Agm/Fin Div-Rs.1.50 Pr Shpurpose Revised,31-Mar-2009,-,06-Apr-2009,15-Apr-2009,-,Foseco India Limited,INE519A01011,-,
PFIZER,EQ,-,10,Dividend-Rs.12.50/ Per Sh,31-Mar-2009,-,06-Apr-2009,15-Apr-2009,-,Pfizer Limited,INE182A01018,-,
KSB,EQ,-,2,Agm/Dividend - 35%,02-Apr-2009,-,08-Apr-2009,21-Apr-2009,-,Ksb Limited,INE999A01015,-,
BLUEDART,EQ,-,10,Agm/Dividend - 10%,02-Apr-2009,-,08-Apr-2009,15-Apr-2009,-,Blue Dart Express Limited,INE233B01017,-,
SKFINDIA,EQ,-,10,Agm/Dividend - 45%,02-Apr-2009,-,07-Apr-2009,23-Apr-2009,-,SKF India Limited,INE640A01023,-,
SANOFI,EQ,-,10,Agm/Div-Rs.12.50 Per Shre,06-Apr-2009,-,09-Apr-2009,28-Apr-2009,-,Sanofi India Limited,INE058A01010,-,
CASTROL,EQ,-,10,Final Div-Rs.9 Per Share Purpose Revised,06-Apr-2009,-,09-Apr-2009,30-Apr-2009,-,Castrol India Limited,INE172A01019,-,
PGHL,EQ,-,10,Agm/Div-Rs.17.50 Per Shre,06-Apr-2009,-,09-Apr-2009,20-Apr-2009,-,Procter & Gamble Health Limited,INE199A01012,-,
ISMTLTD,EQ,-,5,Int Div-Re.0.50 Per Sharepurpose Revised,08-Apr-2009,10-Apr-2009,-,-,-,ISMT Limited,INE732F01019,-,
COLPAL,EQ,-,1,2nd Int Div-Rs.6/- Per Shpurpose Revised,08-Apr-2009,09-Apr-2009,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
STYRENIX,EQ,-,10,Agm/Dividend - 25%,08-Apr-2009,-,13-Apr-2009,17-Apr-2009,-,Styrenix Performance Materials Limited,INE189B01011,-,
ALFALAVAL,EQ,-,10,Agm/Dividend - 150%,09-Apr-2009,-,14-Apr-2009,28-Apr-2009,-,Alfa Laval (India) Limited,INE427A01017,-,
ESABINDIA,EQ,-,10,Agm/Dividend - 25%,09-Apr-2009,-,14-Apr-2009,22-Apr-2009,-,Esab India Limited,INE284A01012,-,
HEUBACHIND,EQ,-,10,Agm/Div-Rs19/- Per Share,09-Apr-2009,-,15-Apr-2009,29-Apr-2009,-,Heubach Colorants India Limited,INE492A01029,-,
GSKCONS,EQ,-,10,Agm/Div-Rs.5 Per Share,13-Apr-2009,-,16-Apr-2009,24-Apr-2009,-,GlaxoSmithKline Consumer Healthcare Limited,INE264A01014,-,
SEAMECLTD,EQ,-,10,Annual General Meeting,13-Apr-2009,-,16-Apr-2009,21-Apr-2009,-,Seamec Limited,INE497B01018,-,
TIMKEN,EQ,-,10,Annual General Meeting   Bc Start Date Revised,15-Apr-2009,-,17-Apr-2009,24-Apr-2009,-,Timken India Limited,INE325A01013,-,
PAGEIND,EQ,-,10,1st Interim Dividend-70% Purpose Revised,15-Apr-2009,16-Apr-2009,-,-,-,Page Industries Limited,INE761H01022,-,
RSYSTEMS,EQ,-,1,Agm/Dividend - 24%,16-Apr-2009,-,18-Apr-2009,27-Apr-2009,-,R Systems International Limited,INE411H01024,-,
STAR,EQ,-,10,Annual General Meeting,16-Apr-2009,-,18-Apr-2009,24-Apr-2009,-,Strides Pharma Science Limited,INE939A01011,-,
RSWM,EQ,-,10,Scheme Of Arrangement,17-Apr-2009,24-Apr-2009,-,-,17-Apr-2009,RSWM Limited,INE611A01016,23-Apr-2009,
VESUVIUS,EQ,-,1,Agm/Dividend - 20%,17-Apr-2009,-,21-Apr-2009,28-Apr-2009,-,Vesuvius India Limited,INE386A01015,-,
