bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Multi Commodity Exchange of India Limited,02-Jan-2026,2,-,INE745G01035,-,-,02-Jan-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,MCX
-,-,,Silgo Retail Limited,05-Jan-2026,10,-,INE01II01013,-,-,05-Jan-2026,EQ,Rights 3:10 @ Premium Rs 50/-,SILGO
-,-,,Fairchem Organics Limited,05-Jan-2026,10,-,INE0DNW01011,-,-,05-Jan-2026,EQ,Buy Back,FAIRCHEMOR
-,-,,Orient Technologies Limited,05-Jan-2026,10,-,INE0PPK01015,-,-,05-Jan-2026,EQ,Bonus 1:10,ORIENTTECH
-,-,,Government of India,06-Jan-2026,100,-,IN0020250042,-,-,06-Jan-2026,GS,Interest Payment,668GS2040
-,-,,GOVERNMENT OF INDIA,07-Jan-2026,100,-,IN0020170174,-,-,07-Jan-2026,GS,Interest Payment,717GS2028
-,-,,GOVERNMENT OF INDIA,08-Jan-2026,100,-,IN0020120039,-,-,08-Jan-2026,GS,Interest Payment,833GS2026
-,-,,SKM Egg Products Export (India) Limited,12-Jan-2026,5,-,INE411D01015,-,-,12-Jan-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,SKMEGGPROD
-,-,,Government of India,13-Jan-2026,100,-,IN0020250059,-,-,13-Jan-2026,GS,Interest Payment,628GS2032
-,-,,GOVERNMENT OF INDIA,13-Jan-2026,100,-,IN0020180454,-,-,13-Jan-2026,GS,Interest Payment,726GS2029
-,-,,Authum Investment & Infrastructure Limited,13-Jan-2026,1,-,INE206F01022,-,-,13-Jan-2026,EQ,Bonus 4:1,AIIL
-,-,,Ajmera Realty & Infra India Limited,14-Jan-2026,2,-,INE298G01027,-,-,15-Jan-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,AJMERA
-,-,,Kotak Mahindra Bank Limited,14-Jan-2026,1,-,INE237A01010,-,-,14-Jan-2026,EQ,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,KOTAKBANK
-,-,,Tata Consultancy Services Limited,16-Jan-2026,1,-,INE467B01029,-,-,17-Jan-2026,EQ,Interim Dividend Rs 11 Per Share/ Special Dividend Rs 46 Per Share,TCS
-,-,,HCL Technologies Limited,16-Jan-2026,2,-,INE860A01027,-,-,17-Jan-2026,EQ,Interim Dividend - Rs 12 Per Share,HCLTECH
-,-,,Tembo Global Industries Limited,16-Jan-2026,10,-,INE869Y01010,-,-,16-Jan-2026,EQ,Interim Dividend - Re 1 Per Share,TEMBO
-,-,,Jaro Institute of Technology Management and Research Limited,16-Jan-2026,10,-,INE00YJ01010,-,-,16-Jan-2026,EQ,Interim Dividend - Rs 2 Per Share,JARO
-,-,,GOVERNMENT OF INDIA,16-Jan-2026,100,-,IN0020080050,-,-,17-Jan-2026,GS,Interest Payment,683GS2039
-,-,,Best Agrolife Limited,16-Jan-2026,1,-,INE052T01013,-,-,16-Jan-2026,EQ,Bonus 1:2,BESTAGRO
-,-,,Best Agrolife Limited,16-Jan-2026,1,-,INE052T01013,-,-,16-Jan-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,BESTAGRO
-,-,,Bank of Maharashtra,20-Jan-2026,10,-,INE457A01014,-,-,20-Jan-2026,EQ,Interim Dividend - Re 1 Per Share,MAHABANK
-,-,,Government of India,20-Jan-2026,100,-,IN0020250067,-,-,20-Jan-2026,GS,Interest Payment,601GS2030
-,-,,NLC India Limited,20-Jan-2026,10,-,INE589A01014,-,-,20-Jan-2026,EQ,Interim Dividend - Rs 3.60 Per Share,NLCINDIA
-,-,,ICICI Prudential Asset Management Company Limited,21-Jan-2026,1,-,INE346A01027,-,-,21-Jan-2026,EQ,Interim Dividend - Rs 14.85 Per Share,ICICIAMC
-,-,,Angel One Limited,21-Jan-2026,1,-,INE732I01013,-,-,21-Jan-2026,EQ,Interim Dividend - Rs 23 Per Share,ANGELONE
-,-,,D.B.Corp Limited,22-Jan-2026,10,-,INE950I01011,-,-,22-Jan-2026,EQ,Interim Dividend - Rs 2 Per Share,DBCORP
-,-,,Central Bank of India,23-Jan-2026,10,-,INE483A01010,-,-,23-Jan-2026,EQ,Interim Dividend - Re 0.20 Per Share,CENTRALBK
-,-,,Havells India Limited,23-Jan-2026,1,-,INE176B01018,-,-,23-Jan-2026,EQ,Interim Dividend - Rs 4 Per Share,HAVELLS
-,-,,Suraj Limited,23-Jan-2026,10,-,INE713C01016,-,-,23-Jan-2026,EQ,Interim Dividend - Rs 1.50 Per Share,SURAJLTD
-,-,,Tips Music Limited,23-Jan-2026,1,-,INE716B01029,-,-,23-Jan-2026,EQ,Interim Dividend - Rs 5 Per Share,TIPSMUSIC
-,-,,DCM Shriram Limited,23-Jan-2026,2,-,INE499A01024,-,-,24-Jan-2026,EQ,Interim Dividend - Rs 3.60 Per Share,DCMSHRIRAM
-,-,,Oberoi Realty Limited,23-Jan-2026,10,-,INE093I01010,-,-,23-Jan-2026,EQ,Interim Dividend - Rs 2 Per Share,OBEROIRLTY
-,-,,Persistent Systems Limited,27-Jan-2026,5,-,INE262H01013,-,-,27-Jan-2026,EQ,Interim Dividend - Rs 22 Per Share,PERSISTENT
-,-,,Wipro Limited,27-Jan-2026,2,-,INE075A01022,-,-,27-Jan-2026,EQ,Interim Dividend - Rs 6 Per Share,WIPRO
-,-,,United Spirits Limited,27-Jan-2026,2,-,INE854D01024,-,-,27-Jan-2026,EQ,Interim Dividend - Rs 6 Per Share,UNITDSPR
-,-,,SRF Limited,27-Jan-2026,10,-,INE647A01010,-,-,27-Jan-2026,EQ,Interim Dividend - Rs 5 Per Share,SRF
-,-,,Ksolves India Limited,27-Jan-2026,5,-,INE0D6I01015,-,-,27-Jan-2026,EQ,Interim Dividend - Rs 5 Per Share,KSOLVES
-,-,,KPI Green Energy Limited,28-Jan-2026,5,-,INE542W01017,-,-,28-Jan-2026,EQ,Interim Dividend - Re 0.20 Per Share,KPIGREEN
-,-,,Wendt (India) Limited,28-Jan-2026,10,-,INE274C01019,-,-,28-Jan-2026,EQ,Interim Dividend - Rs 20 Per Share,WENDT
