symbol,company_name,industry_nse,sector_platform,theme_platform,market_cap_category,flagged_date
AARVI,Aarvi Encon Limited,DIVERSIFIED COMMERCIAL SERVICES,OTHER,,MICRO,2026-06-30
AKG,Akg Exim Limited,TRADING AND DISTRIBUTORS,OTHER,,MICRO,2026-06-30
DEVX,Dev Accelerator Limited,DIVERSIFIED COMMERCIAL SERVICES,OTHER,,MICRO,2026-06-30
KAPSTON,Kapston Services Limited,DIVERSIFIED COMMERCIAL SERVICES,OTHER,,SMALL,2026-06-30
KRYSTAL,Krystal Integrated Services Limited,DIVERSIFIED COMMERCIAL SERVICES,OTHER,,MICRO,2026-06-30
LANDSMILL,Landsmill Green Limited,TRADING AND DISTRIBUTORS,OTHER,,MICRO,2026-06-30
METROGLOBL,Metroglobal Limited,TRADING AND DISTRIBUTORS,OTHER,,MICRO,2026-06-30
QUESS,Quess Corp Limited,DIVERSIFIED COMMERCIAL SERVICES,OTHER,,SMALL,2026-06-30
SIS,SIS LIMITED,OTHER CONSUMER SERVICES,OTHER,,MICRO,2026-06-30
UDS,Updater Services Limited,DIVERSIFIED COMMERCIAL SERVICES,OTHER,,SMALL,2026-06-30
