SYMBOL,COMPANY_NAME,SERIES,LISTING_DATE,ISIN,FACE_VALUE,IS_ACTIVE
20MICRONS,20 Microns Limited,,,,,True
21STCENMGM,21st Century Management Services Limited,,,,,True
360ONE,360 ONE WAM LIMITED,,,,,True
3BBLACKBIO,3B Blackbio Dx Limited,,,,,True
3IINFOLTD,3i Infotech Limited,,,,,True
3MINDIA,3M India Limited,,,,,True
3PLAND,3P Land Holdings Limited,,,,,True
5PAISA,5Paisa Capital Limited,,,,,True
63MOONS,63 moons technologies limited,,,,,True
A2ZINFRA,A2Z Infra Engineering Limited,,,,,True
AAATECH,AAA Technologies Limited,,,,,True
AADHARHFC,Aadhar Housing Finance Limited,,,,,True
AAKASH,Aakash Exploration Services Limited,,,,,True
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,True
AARNAV,Aarnav Fashions Limited,,,,,True
AARON,Aaron Industries Limited,,,,,True
AARTECH,Aartech Solonics Limited,,,,,True
AARTIDRUGS,Aarti Drugs Limited,,,,,True
AARTIIND,Aarti Industries Limited,,,,,True
AARTIPHARM,Aarti Pharmalabs Limited,,,,,True
AARTISURF,Aarti Surfactants Limited,,,,,True
AARVI,Aarvi Encon Limited,,,,,True
AAVAS,Aavas Financiers Limited,,,,,True
ABANSENT,Abans Enterprises Limited,,,,,True
ABB,ABB India Limited,,,,,True
ABBOTINDIA,Abbott India Limited,,,,,True
ABCAPITAL,Aditya Birla Capital Limited,,,,,True
ABCOTS,A B Cotspin India Limited,,,,,True
ABDL,Allied Blenders and Distillers Limited,,,,,True
ABFRL,Aditya Birla Fashion and Retail Limited,,,,,True
ABINFRA,A B Infrabuild Limited,,,,,True
ABLBL,Aditya Birla Lifestyle Brands Limited,,,,,True
ABMINTLLTD,ABM International Limited,,,,,True
ABMKNO,ABM Knowledgeware Limited,,,,,True
ABREL,Aditya Birla Real Estate Limited,,,,,True
ABSLAMC,Aditya Birla Sun Life AMC Limited,,,,,True
ACC,ACC Limited,,,,,True
ACCELYA,Accelya Solutions India Limited,,,,,True
ACCURACY,Accuracy Shipping Limited,,,,,True
ACE,Action Construction Equipment Limited,,,,,True
ACEINTEG,Ace Integrated Solutions Limited,,,,,True
ACI,Archean Chemical Industries Limited,,,,,True
ACL,Andhra Cements Limited,,,,,True
ACMESOLAR,Acme Solar Holdings Limited,,,,,True
ACSTECH,ACS Technologies Limited,,,,,True
ACUTAAS,Acutaas Chemicals Limited,,,,,True
ADANIENSOL,Adani Energy Solutions Limited,,,,,True
ADANIENT,Adani Enterprises Limited,,,,,True
ADANIGREEN,Adani Green Energy Limited,,,,,True
ADANIPORTS,Adani Ports and Special Economic Zone Limited,,,,,True
ADANIPOWER,Adani Power Limited,,,,,True
ADFFOODS,ADF Foods Limited,,,,,True
ADL,Archidply Decor Limited,,,,,True
ADOR,Ador Welding Limited,,,,,True
ADROITINFO,Adroit Infotech Limited,,,,,True
ADSL,Allied Digital Services Limited,,,,,True
ADVAIT,Advait Energy Transitions Limited,,,,,True
ADVANCE,Advance Agrolife Limited,,,,,True
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,,,,,True
ADVENTHTL,Advent Hotels International Limited,,,,,True
ADVENZYMES,Advanced Enzyme Technologies Limited,,,,,True
AEGISLOG,Aegis Logistics Limited,,,,,True
AEGISVOPAK,Aegis Vopak Terminals Limited,,,,,True
AEPL,Artemis Electricals and Projects Limited,,,,,True
AEQUS,Aequs Limited,,,,,True
AEROENTER,Aeroflex Enterprises Limited,,,,,True
AEROFLEX,Aeroflex Industries Limited,,,,,True
AERONEU,Aeroflex Neu Limited,,,,,True
AETHER,Aether Industries Limited,,,,,True
AFCONS,Afcons Infrastructure Limited,,,,,True
AFFLE,Affle 3i Limited,,,,,True
AFFORDABLE,Affordable Robotic & Automation Limited,,,,,True
AFIL,Akme Fintrade (India) Limited,,,,,True
AFSL,Abans Financial Services Limited,,,,,True
AGARIND,Agarwal Industrial Corporation Limited,,,,,True
AGARWALEYE,Dr. Agarwal's Health Care Limited,,,,,True
AGI,AGI Greenpac Limited,,,,,True
AGIIL,Agi Infra Limited,,,,,True
AGRITECH,Agri-Tech (India) Limited,,,,,True
AGROPHOS,Agro Phos India Limited,,,,,True
AGSTRA,AGS Transact Technologies Limited,,,,,True
AHCL,Anlon Healthcare Limited,,,,,True
AHLADA,Ahlada Engineers Limited,,,,,True
AHLEAST,Asian Hotels (East) Limited,,,,,True
AHLUCONT,Ahluwalia Contracts (India) Limited,,,,,True
AHLWEST,Asian Hotels (West) Limited,,,,,True
AIAENG,AIA Engineering Limited,,,,,True
AIIL,Authum Investment & Infrastructure Limited,,,,,True
AIRAN,Airan Limited,,,,,True
AIROLAM,Airo Lam limited,,,,,True
AJANTPHARM,Ajanta Pharma Limited,,,,,True
AJAXENGG,Ajax Engineering Limited,,,,,True
AJMERA,Ajmera Realty & Infra India Limited,,,,,True
AJOONI,Ajooni Biotech Limited,,,,,True
AKASH,Akash Infra-Projects Limited,,,,,True
AKCAPIT,AK Capital Services Limited,,,,,True
AKG,Akg Exim Limited,,,,,True
AKI,AKI India Limited,,,,,True
AKSHAR,Akshar Spintex Limited,,,,,True
AKSHARCHEM,AksharChem India Limited,,,,,True
AKSHOPTFBR,Aksh Optifibre Limited,,,,,True
AKUMS,Akums Drugs and Pharmaceuticals Limited,,,,,True
ALANKIT,Alankit Limited,,,,,True
ALBERTDAVD,Albert David Limited,,,,,True
ALEMBICLTD,Alembic Limited,,,,,True
ALGOQUANT,Algoquant Fintech Limited,,,,,True
ALICON,Alicon Castalloy Limited,,,,,True
ALIVUS,Alivus Life Sciences Limited,,,,,True
ALKALI,Alkali Metals Limited,,,,,True
ALKEM,Alkem Laboratories Limited,,,,,True
ALKYLAMINE,Alkyl Amines Chemicals Limited,,,,,True
ALLCARGO,Allcargo Logistics Limited,,,,,True
ALLDIGI,Alldigi Tech Limited,,,,,True
ALLTIME,All Time Plastics Limited,,,,,True
ALMONDZ,Almondz Global Securities Limited,,,,,True
ALOKINDS,Alok Industries Limited,,,,,True
ALPA,Alpa Laboratories Limited,,,,,True
ALPHAGEO,Alphageo (India) Limited,,,,,True
AMAGI,Amagi Media Labs Limited,,,,,True
AMANTA,Amanta Healthcare Limited,,,,,True
AMBALALSA,Ambalal Sarabhai Enterprises Limited,,,,,True
AMBER,Amber Enterprises India Limited,,,,,True
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,,,,,True
AMBIKCO,Ambika Cotton Mills Limited,,,,,True
AMBUJACEM,Ambuja Cements Limited,,,,,True
AMDIND,AMD Industries Limited,,,,,True
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,,,,,True
AMJLAND,Amj Land Holdings Limited,,,,,True
AMNPLST,Amines & Plasticizers Limited,,,,,True
AMRUTANJAN,Amrutanjan Health Care Limited,,,,,True
ANANDRATHI,Anand Rathi Wealth Limited,,,,,True
ANANTRAJ,Anant Raj Limited,,,,,True
ANDHRAPAP,ANDHRA PAPER LIMITED,,,,,True
ANDHRSUGAR,The Andhra Sugars Limited,,,,,True
ANGELONE,Angel One Limited,,,,,True
ANIKINDS,Anik Industries Limited,,,,,True
ANKITMETAL,Ankit Metal & Power Limited,,,,,True
ANMOL,Anmol India Limited,,,,,True
ANSALAPI,Ansal Properties & Infrastructure Limited,,,,,True
ANTELOPUS,Antelopus Selan Energy Limited,,,,,True
ANTGRAPHIC,Antarctica Limited,,,,,True
ANTHEM,Anthem Biosciences Limited,,,,,True
ANUHPHR,Anuh Pharma Limited,,,,,True
ANUP,The Anup Engineering Limited,,,,,True
ANURAS,Anupam Rasayan India Limited,,,,,True
APARINDS,Apar Industries Limited,,,,,True
APCL,Anjani Portland Cement Limited,,,,,True
APCOTEXIND,Apcotex Industries Limited,,,,,True
APEX,Apex Frozen Foods Limited,,,,,True
APLAPOLLO,APL Apollo Tubes Limited,,,,,True
APLLTD,Alembic Pharmaceuticals Limited,,,,,True
APOLLO,Apollo Micro Systems Limited,,,,,True
APOLLOHOSP,Apollo Hospitals Enterprise Limited,,,,,True
APOLLOPIPE,Apollo Pipes Limited,,,,,True
APOLLOTYRE,Apollo Tyres Limited,,,,,True
APOLSINHOT,Apollo Sindoori Hotels Limited,,,,,True
APTECHT,Aptech Limited,,,,,True
APTUS,Aptus Value Housing Finance India Limited,,,,,True
AQYLON,Aqylon Nexus Limited,,,,,True
ARCHIDPLY,Archidply Industries Limited,,,,,True
ARCHIES,Archies Limited,,,,,True
ARE&M,Amara Raja Energy & Mobility Limited,,,,,True
ARENTERP,Rajdarshan Industries Limited,,,,,True
ARFIN,Arfin India Limited,,,,,True
ARIES,Aries Agro Limited,,,,,True
ARIHANT,Arihant Foundations & Housing Limited,,,,,True
ARIHANTCAP,Arihant Capital Markets Limited,,,,,True
ARIHANTSUP,Arihant Superstructures Limited,,,,,True
ARIS,Arisinfra Solutions Limited,,,,,True
ARKADE,Arkade Developers Limited,,,,,True
ARMANFIN,Arman Financial Services Limited,,,,,True
AROGRANITE,Aro Granite Industries Limited,,,,,True
ARROWGREEN,Arrow Greentech Limited,,,,,True
ARSHIYA,Arshiya Limited,,,,,True
ARSSBL,Anand Rathi Share and Stock Brokers Limited,,,,,True
ARTEMISMED,Artemis Medicare Services Limited,,,,,True
ARTNIRMAN,Art Nirman Limited,,,,,True
ARVEE,Arvee Laboratories (India) Limited,,,,,True
ARVIND,Arvind Limited,,,,,True
ARVINDFASN,Arvind Fashions Limited,,,,,True
ARVSMART,Arvind SmartSpaces Limited,,,,,True
