symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
COLPAL,EQ,-,1.0,Third Interim Dividend Rs 9/- Per Share (Purpose Revised),01-Apr-2014,03-Apr-2014,-,-,-,Colgate Palmolive (India) Limited,INE259A01022,-,
SIERRAOPT,EQ,-,10.0,Agm/Dividend-20%,01-Aug-2001,-,13-Aug-2001,17-Aug-2001,01-Aug-2001,Sierra Optima Limited,INE046B01013,08-Aug-2001,
IMPEXFERRO,EQ,-,10.0,Agm,01-Aug-2005,-,03-Aug-2005,10-Aug-2005,-,Impex Ferro Tech Limited,INE691G01015,-,
RAMCOCEM,EQ,-,1.0,Agm/Div-Rs.4/- Per Share,01-Aug-2005,-,03-Aug-2005,10-Aug-2005,-,The Ramco Cements Limited,INE331A01037,-,
RAMCOIND,EQ,-,1.0,Agm/Dividend-40%,01-Aug-2005,-,03-Aug-2005,10-Aug-2005,-,Ramco Industries Limited,INE614A01028,-,
ARE&M,EQ,-,1.0,Agm/Dividend-25%,01-Aug-2006,-,03-Aug-2006,14-Aug-2006,-,Amara Raja Energy & Mobility Limited,INE885A01032,-,
ASHAPURMIN,EQ,-,2.0,Agm/Div-Rs.1.50/- Per Sh,01-Aug-2006,-,03-Aug-2006,10-Aug-2006,-,Ashapura Minechem Limited,INE348A01023,-,
SORILINFRA,EQ,-,10.0,Agm,01-Aug-2006,-,03-Aug-2006,11-Aug-2006,-,SORIL Infra Resources Limited,INE034H01016,-,
MRPL,EQ,-,10.0,Agm/Div-Re.0.80 Per Sh,01-Aug-2007,-,03-Aug-2007,31-Aug-2007,-,Mangalore Refinery and Petrochemicals Limited,INE103A01014,-,
NELCO,EQ,-,10.0,Agm,01-Aug-2007,-,03-Aug-2007,09-Aug-2007,-,NELCO Limited,INE045B01015,-,
RSSOFTWARE,EQ,-,5.0,Annual Book Closure,01-Aug-2007,-,03-Aug-2007,10-Aug-2007,-,R. S. Software (India) Limited,INE165B01011,-,
TTKPRESTIG,EQ,-,1.0,Agm/Div-Rs.3/- Per Sh    Book Closure Revised,01-Aug-2007,-,03-Aug-2007,10-Aug-2007,-,TTK Prestige Limited,INE690A01010,-,
ALLCARGO,EQ,-,2.0,Agm/Dividend - 30%,01-Aug-2008,-,05-Aug-2008,12-Aug-2008,-,Allcargo Logistics Limited,INE418H01029,-,
BIRLANU,EQ,-,10.0,Agm/Dividend - 50%,01-Aug-2008,-,05-Aug-2008,12-Aug-2008,-,BirlaNu Limited,INE557A01011,-,
DCMSHRIRAM,EQ,-,2.0,Agm/Dividend - 20%,01-Aug-2008,-,05-Aug-2008,12-Aug-2008,-,DCM Shriram Limited,INE499A01024,-,
EIHAHOTELS,EQ,-,10.0,Agm/Dividend - 25%       Bc End Date Revised,01-Aug-2008,-,05-Aug-2008,18-Aug-2008,-,EIH Associated Hotels Limited,INE276C01014,-,
GODREJCP,EQ,-,1.0,Fin Div-75% + Int Div-75%Purpose Revised,01-Aug-2008,04-Aug-2008,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
GREENPLY,EQ,-,1.0,Agm/Dividend - 30%,01-Aug-2008,-,05-Aug-2008,07-Aug-2008,-,Greenply Industries Limited,INE461C01020,-,
LAKSHVILAS,EQ,-,10.0,Agm/Dividend - 15%,01-Aug-2008,-,05-Aug-2008,14-Aug-2008,-,Lakshmi Vilas Bank Limited,INE694C01018,-,
MORARJETEX,EQ,-,10.0,Annual General Meeting,01-Aug-2008,-,05-Aug-2008,11-Aug-2008,-,Morarjee Textiles Limited,INE161G01019,-,
MOTHERSON,EQ,-,1.0,Agm/Dividend - 135%,01-Aug-2008,-,05-Aug-2008,11-Aug-2008,-,Samvardhana Motherson International Limited,INE775A01035,-,
RAMCOCEM,EQ,-,1.0,Agm/Div-Rs10+Gld Jub-Rs10,01-Aug-2008,-,05-Aug-2008,11-Aug-2008,-,The Ramco Cements Limited,INE331A01037,-,
RAMCOIND,EQ,-,1.0,Agm/Dividend - 50%,01-Aug-2008,-,05-Aug-2008,11-Aug-2008,-,Ramco Industries Limited,INE614A01028,-,
TATACONSUM,EQ,-,1.0,Agm/Div-Rs.15 + Spl-Rs.20,01-Aug-2008,-,05-Aug-2008,22-Aug-2008,-,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,-,
THEMISMED,EQ,-,1.0,Agm/Dividend - 25%,01-Aug-2008,-,05-Aug-2008,09-Aug-2008,-,Themis Medicare Limited,INE083B01016,-,
BEDMUTHA,EQ,-,10.0,Annual General Meeting,01-Aug-2011,-,03-Aug-2011,10-Aug-2011,-,Bedmutha Industries Limited,INE844K01012,-,
BRIGADE,EQ,-,10.0,Dividend-Rs.1.50 Per Share,01-Aug-2011,-,03-Aug-2011,11-Aug-2011,-,Brigade Enterprises Limited,INE791I01019,-,
GILLANDERS,EQ,-,10.0,Annual General Meeting And Dividend Rs.4.50 Per Share,01-Aug-2011,-,03-Aug-2011,12-Aug-2011,-,Gillanders Arbuthnot & Company Limited,INE047B01011,-,
GOLDIAM,EQ,-,2.0,Annual General Meeting,01-Aug-2011,-,03-Aug-2011,10-Aug-2011,-,Goldiam International Limited,INE025B01017,-,
GREENPLY,EQ,-,1.0,Annual General Meeting And Dividend Re.1/- Per Share,01-Aug-2011,-,03-Aug-2011,05-Aug-2011,-,Greenply Industries Limited,INE461C01020,-,
PAGEIND,EQ,-,10.0,Annual General Meeting / Dividend - Rs.4/- Per Share,01-Aug-2011,-,03-Aug-2011,10-Aug-2011,-,Page Industries Limited,INE761H01022,-,
PIRGLASS,EQ,-,10.0,Dividend-Rs.3.50 Per Share,01-Aug-2011,-,03-Aug-2011,12-Aug-2011,-,Piramal Glass Limited,INE748E01018,-,
RAJSREESUG,EQ,-,10.0,Annual General Meeting,01-Aug-2011,-,03-Aug-2011,10-Aug-2011,-,Rajshree Sugars & Chemicals Limited,INE562B01019,-,
SUPREMETEX,EQ,-,5.0,Annual General Meeting,01-Aug-2011,-,03-Aug-2011,05-Aug-2011,-,Supreme Tex Mart Limited,INE651G01027,-,
SUVEN,EQ,-,1.0,Annual General Meeting And Dividend Re.0.25 Per Share,01-Aug-2011,-,03-Aug-2011,05-Aug-2011,-,Suven Life Sciences Limited,INE495B01038,-,
ACC,EQ,-,10.0,Interim Dividend Rs.11/- Per Share (Purpose Revised),01-Aug-2012,02-Aug-2012,-,-,-,ACC Limited,INE012A01025,-,
ASAHIINDIA,EQ,-,1.0,Annual General Meeting,01-Aug-2012,-,03-Aug-2012,08-Aug-2012,-,Asahi India Glass Limited,INE439A01020,-,
BHARATFIN,EQ,-,10.0,Annual General Meeting,01-Aug-2012,-,03-Aug-2012,10-Aug-2012,-,Bharat Financial Inclusion Limited,INE180K01011,-,
BVCL,EQ,-,10.0,Annual General Meeting,01-Aug-2012,-,03-Aug-2012,09-Aug-2012,-,Barak Valley Cements Limited,INE139I01011,-,
CIPLA,EQ,-,2.0,Annual General Meeting And Dividend - Rs.2/- Per Share,01-Aug-2012,-,03-Aug-2012,17-Aug-2012,-,Cipla Limited,INE059A01026,-,
DQE,EQ,-,10.0,Annual General Meeting,01-Aug-2012,-,03-Aug-2012,10-Aug-2012,-,DQ Entertainment (International) Limited,INE656K01010,-,
GILLANDERS,EQ,-,10.0,Annual General Meeting And Dividend - Re.0.50 Per Share,01-Aug-2012,-,03-Aug-2012,13-Aug-2012,-,Gillanders Arbuthnot & Company Limited,INE047B01011,-,
IIFL,EQ,-,2.0,Annual General Meeting,01-Aug-2012,-,03-Aug-2012,10-Aug-2012,-,IIFL Finance Limited,INE530B01024,-,
INDIANCARD,EQ,-,10.0,Annual General Meeting And Dividend Rs.3.50/- Per Share,01-Aug-2012,-,03-Aug-2012,10-Aug-2012,-,Indian Card Clothing Company Limited,INE061A01014,-,
