sector_raw,auc_equity_crore,net_inv_equity_crore,date,sector_normalized,source,fortnight_label
Automobiles & Auto                             Components,49309.0,-47.0,2012-04-15,AUTO,CDSL,"April 15, 2012"
Capital Goods,67024.0,339.0,2012-04-15,CAPITAL_GOODS,CDSL,"April 15, 2012"
Consumer                             Durables,7552.0,69.0,2012-04-15,CAPITAL_GOODS,CDSL,"April 15, 2012"
General                             Industrials,6524.0,-65.0,2012-04-15,CAPITAL_GOODS,CDSL,"April 15, 2012"
Construction                             Materials,20445.0,82.0,2012-04-15,CEMENT,CDSL,"April 15, 2012"
Chemicals &                             Petrochemicals,8082.0,-25.0,2012-04-15,CHEMICALS,CDSL,"April 15, 2012"
Forest                             Materials,438.0,8.0,2012-04-15,COMMODITIES,CDSL,"April 15, 2012"
Diversified,2721.0,20.0,2012-04-15,DIVERSIFIED,CDSL,"April 15, 2012"
Others,11727.0,9381.0,2012-04-15,DIVERSIFIED,CDSL,"April 15, 2012"
Coal,12275.0,21.0,2012-04-15,ENERGY,CDSL,"April 15, 2012"
Oil & Gas,64784.0,2118.0,2012-04-15,ENERGY,CDSL,"April 15, 2012"
Total  Financial Services,271191.0,6462.0,2012-04-15,FINANCIAL_SERVICES,CDSL,"April 15, 2012"
"Food, Beverages                             & Tobacco",53293.0,415.0,2012-04-15,FMCG,CDSL,"April 15, 2012"
Household &                             Personal Products,33117.0,-24.0,2012-04-15,FMCG,CDSL,"April 15, 2012"
Healthcare                             Equipment & Supplies,1646.0,-22.0,2012-04-15,HEALTHCARE,CDSL,"April 15, 2012"
Healthcare                             Services,3345.0,-6.0,2012-04-15,HEALTHCARE,CDSL,"April 15, 2012"
Utilities,36426.0,38.0,2012-04-15,INFRASTRUCTURE,CDSL,"April 15, 2012"
Hardware                             Technology & Equipment,325.0,-4.0,2012-04-15,IT,CDSL,"April 15, 2012"
Software &                             Services,110021.0,-298.0,2012-04-15,IT,CDSL,"April 15, 2012"
Transportation,10084.0,14.0,2012-04-15,LOGISTICS,CDSL,"April 15, 2012"
Media,8970.0,13.0,2012-04-15,MEDIA,CDSL,"April 15, 2012"
Metals &                             Mining,40556.0,-70.0,2012-04-15,METAL,CDSL,"April 15, 2012"
Pharmaceuticals                             & Biotechnology,48421.0,191.0,2012-04-15,PHARMA,CDSL,"April 15, 2012"
Realty,15766.0,39.0,2012-04-15,REALTY,CDSL,"April 15, 2012"
Commercial                             Services & Supplies,7373.0,15.0,2012-04-15,SERVICES,CDSL,"April 15, 2012"
Diversified                             Consumer Services,596.0,16.0,2012-04-15,SERVICES,CDSL,"April 15, 2012"
"Hotels,                             Restaurants & Tourism",4226.0,-7.0,2012-04-15,SERVICES,CDSL,"April 15, 2012"
Retailing,2527.0,14.0,2012-04-15,SERVICES,CDSL,"April 15, 2012"
Telecom                             Services,27665.0,144.0,2012-04-15,TELECOM,CDSL,"April 15, 2012"
Telecommunications                             Equipment,139.0,8.0,2012-04-15,TELECOM,CDSL,"April 15, 2012"
"Textiles,                             Apparels & Accessories",14146.0,236.0,2012-04-15,TEXTILES,CDSL,"April 15, 2012"
Automobiles & Auto                             Components,47347.0,697.0,2012-04-30,AUTO,CDSL,"April 30, 2012"
Capital Goods,64960.0,17.0,2012-04-30,CAPITAL_GOODS,CDSL,"April 30, 2012"
Consumer                             Durables,7145.0,144.0,2012-04-30,CAPITAL_GOODS,CDSL,"April 30, 2012"
General                             Industrials,6882.0,-211.0,2012-04-30,CAPITAL_GOODS,CDSL,"April 30, 2012"
Construction                             Materials,15839.0,114.0,2012-04-30,CEMENT,CDSL,"April 30, 2012"
Chemicals &                             Petrochemicals,8270.0,113.0,2012-04-30,CHEMICALS,CDSL,"April 30, 2012"
