"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 29-May-2026","1W AGO 
 22-May-2026","1M AGO 
 29-Apr-2026","1Y AGO 
 29-May-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY 50","23,366.70","-0.21","23,478.95","23,516.35","23,282.65","-","23,416.55","23,366.70","23,547.75","24,032.80","24,620.20","26,373.20","22,182.55",-2.77,-5.59
"NIFTY NEXT 50","70,191.95","0.26","70,311.50","70,568.95","69,814.80","-","70,010.95","70,191.95","71,073.65","70,627.30","66,866.60","72,442.15","59,896.10",-0.62,4.53
"NIFTY BANK","54,496.25","0.35","54,405.20","54,865.50","54,140.60","-","54,307.85","54,496.25","54,239.20","54,547.05","55,676.85","61,764.85","49,954.85",-0.09,-2.27
"NIFTY FINANCIAL SERVICES","25,056.80","0.10","25,085.60","25,355.10","24,950.65","-","25,031.25","25,056.80","25,354.00","25,716.90","26,264.55","28,562.50","23,373.95",-2.57,-5.04
"NIFTY MIDCAP SELECT","14,107.50","-0.56","14,227.45","14,292.75","14,066.55","-","14,186.30","14,107.50","14,474.90","13,950.25","12,822.10","14,770.50","6,054.20",1.13,8.92
"NIFTY 100","24,397.30","-0.12","24,500.20","24,544.60","24,301.50","-","24,427.70","24,397.30","24,608.45","24,990.30","25,240.65","26,975.15","22,720.45",-2.37,-3.83
"NIFTY 200","13,527.00","-0.17","13,591.50","13,618.45","13,473.55","-","13,549.85","13,527.00","13,663.70","13,768.65","13,772.05","14,700.95","12,396.10",-1.76,-2.3
"NIFTY 500","22,465.35","-0.14","22,569.45","22,614.65","22,379.05","-","22,497.70","22,465.35","22,657.00","22,808.25","22,807.85","24,144.20","20,385.65",-1.5,-2.05
"NIFTY MIDCAP 50","17,198.90","-0.38","17,323.50","17,382.05","17,129.00","-","17,264.65","17,198.90","17,490.55","16,997.60","16,195.40","17,859.10","14,804.55",1.18,5.54
"NIFTY MIDCAP 100","60,754.90","-0.35","61,179.00","61,359.15","60,508.15","-","60,966.65","60,754.90","61,723.80","60,264.50","57,924.65","62,907.50","52,032.85",0.81,4.21
"NIFTY SMALLCAP 100","18,110.30","-0.06","18,176.10","18,229.00","18,024.25","-","18,121.05","18,110.30","18,138.80","18,182.40","18,257.10","19,224.95","14,986.00",-0.4,-1.75
"INDIA VIX","15.79","-0.61","15.89","16.37","13.46","-","15.89","15.79","16.19","17.91","15.75","28.91","8.72",-11.84,4.71
"NIFTY MIDCAP 150","22,251.80","-0.29","22,399.45","22,461.40","22,172.60","-","22,315.95","22,251.80","22,571.40","22,180.25","21,334.60","23,007.10","19,218.00",0.32,3.61
"NIFTY SMALLCAP 50","8,909.55","-0.05","8,938.15","8,969.55","8,863.90","-","8,914.25","8,909.55","8,951.35","8,901.20","8,755.45","9,282.70","7,338.35",0.09,0.79
"NIFTY SMALLCAP 250","17,054.50","0.01","17,112.75","17,156.75","16,987.65","-","17,052.70","17,054.50","16,992.10","16,928.20","17,060.80","18,077.35","14,143.45",0.75,-0.69
"NIFTY MIDSMALLCAP 400","20,347.85","-0.19","20,460.65","20,513.65","20,272.95","-","20,385.90","20,347.85","20,515.85","20,253.50","19,810.60","20,886.30","17,390.85",0.47,2.04
"NIFTY500 MULTICAP 50:25:25","15,864.25","-0.13","15,937.60","15,970.50","15,803.70","-","15,885.10","15,864.25","15,974.95","16,004.25","15,943.45","17,112.15","8,254.50",-0.87,-1.08
"NIFTY LARGEMIDCAP 250","16,117.50","-0.21","16,205.70","16,242.25","16,057.35","-","16,151.25","16,117.50","16,304.65","16,279.50","16,044.10","17,095.20","8,318.55",-1,-0.13
"NIFTY TOTAL MARKET","12,664.25","-0.14","12,722.75","12,747.35","12,615.70","-","12,681.75","12,664.25","12,762.20","12,835.90","12,839.95","13,842.60","7,145.35",-1.34,-1.91
"NIFTY MICROCAP 250","23,892.75","-0.01","23,996.25","24,045.65","23,803.40","-","23,894.20","23,892.75","23,642.95","23,280.35","23,559.25","26,476.90","8,567.20",2.63,0.87
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","17,697.55","-0.13","17,781.75","17,820.00","17,630.65","-","17,721.25","17,697.55","17,811.30","17,767.65","17,623.70","18,330.05","14,479.00",-0.39,-0.19
"NIFTY INDIA FPI 150","1,513.90","-0.15","1,521.10","1,523.80","1,508.15","-","1,516.25","1,513.90","1,528.90","1,541.55","-","1,641.40","1,346.50",-1.79,0
"NIFTY SMALLCAP 500","19,366.10","0.02","19,435.15","19,483.05","19,293.20","-","19,362.80","-","-","-","-","20,338.25","15,960.20",0,0
"NIFTY MIDSMALLCAP400 50:50","19,765.00","-0.14","19,864.25","19,915.30","19,691.10","-","19,792.35","-","-","-","-","20,218.05","16,874.30",0,0
"NIFTY AUTO","26,165.95","0.08","26,279.95","26,349.90","25,997.75","-","26,144.35","26,165.95","26,338.45","26,192.10","23,332.60","29,179.10","22,915.65",-0.1,12.27
"NIFTY FINANCIAL SERVICES 25/50","27,327.85","0.12","27,359.55","27,654.60","27,222.65","-","27,294.20","27,327.85","27,671.10","28,098.50","28,169.90","-","-",-2.74,-3.45
"NIFTY FMCG","48,302.45","0.18","48,277.70","48,369.25","48,026.40","-","48,216.00","48,302.45","49,383.35","51,593.55","55,530.55","58,485.05","45,334.15",-6.38,-13.18
"NIFTY IT","29,010.30","-0.99","29,509.95","29,639.80","28,918.85","-","29,300.60","29,010.30","29,080.15","29,107.30","36,938.10","40,301.40","27,078.00",-0.33,-21.82
"NIFTY MEDIA","1,502.45","3.48","1,465.75","1,508.50","1,462.40","-","1,451.90","1,502.45","1,408.30","1,449.30","1,729.30","1,786.15","1,245.05",3.67,-12.92
"NIFTY METAL","13,221.65","-1.60","13,438.35","13,476.25","13,125.85","-","13,436.00","13,221.65","13,440.95","12,989.60","9,177.40","13,873.75","8,997.35",1.79,43.22
"NIFTY PHARMA","24,248.05","0.29","24,285.45","24,396.65","24,154.25","-","24,177.95","24,248.05","24,345.80","23,568.95","21,371.70","25,043.15","21,149.90",2.88,12.03
"NIFTY PSU BANK","8,259.05","0.48","8,239.65","8,361.75","8,200.35","-","8,219.35","8,259.05","8,156.15","8,439.25","7,100.85","9,918.65","6,709.10",-2.14,16.99
"NIFTY PRIVATE BANK","26,299.25","0.23","26,288.25","26,427.65","26,137.55","-","26,238.50","26,299.25","26,326.40","26,070.50","27,368.95","29,748.45","23,957.45",0.88,-3.82
"NIFTY REALTY","768.90","0.56","767.60","779.05","766.30","-","764.60","768.90","782.55","801.25","976.00","1,038.70","638.65",-4.04,-22.58
"NIFTY HEALTHCARE INDEX","15,409.35","0.56","15,395.90","15,474.20","15,339.60","-","15,323.15","15,409.35","15,392.75","15,095.70","13,892.60","16,002.70","7,249.70",2.08,9.75
"NIFTY CONSUMER DURABLES","35,464.55","0.12","35,666.10","35,721.85","35,349.40","-","35,422.40","35,464.55","34,943.55","37,053.80","36,999.85","44,426.55","21,967.45",-4.29,-4.17
"NIFTY OIL & GAS","11,106.20","-0.48","11,172.80","11,188.75","11,080.05","-","11,159.40","11,106.20","11,200.25","11,700.15","11,352.75","13,607.20","6,645.90",-5.08,-2.43
"NIFTY MIDSMALL HEALTHCARE","47,987.50","0.45","47,999.45","48,296.35","47,760.30","-","47,772.55","47,987.50","47,781.60","46,077.10","41,453.90","49,130.40","31,279.60",4.15,14.86
"NIFTY FINANCIAL SERVICES EX-BANK","30,138.30","0.18","30,142.95","30,694.00","29,996.20","-","30,083.90","30,138.30","31,163.40","31,423.25","29,235.20","32,654.20","23,850.75",-4.09,2.24
