symbol,index_names,index_slugs,sector_hints,index_count,dominant_sector_hint,last_updated
360ONE,NIFTY 200|NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400,nifty_200|nifty_500|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midsmallcap_400,,6,,2026-06-30
3MINDIA,NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400|NIFTY MNC,nifty_500|nifty_largemidcap_250|nifty_midcap_150|nifty_midsmallcap_400|nifty_mnc,,5,,2026-06-30
AADHARHFC,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
AARTIIND,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_100|nifty_smallcap_250,,4,,2026-06-30
AAVAS,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
ABB,NIFTY 100|NIFTY 200|NIFTY 500|NIFTY ENERGY|NIFTY LARGEMIDCAP 250|NIFTY MNC|NIFTY NEXT 50,nifty_100|nifty_200|nifty_500|nifty_energy|nifty_largemidcap_250|nifty_mnc|nifty_next_50,ENERGY,7,ENERGY,2026-06-30
ABBOTINDIA,NIFTY 500|NIFTY HEALTHCARE INDEX|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400|NIFTY MNC|NIFTY PHARMA,nifty_500|nifty_healthcare_index|nifty_largemidcap_250|nifty_midcap_150|nifty_midsmallcap_400|nifty_mnc|nifty_pharma,HEALTHCARE|PHARMA,7,HEALTHCARE,2026-06-30
ABCAPITAL,NIFTY 200|NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 100|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400,nifty_200|nifty_500|nifty_largemidcap_250|nifty_midcap_100|nifty_midcap_150|nifty_midsmallcap_400,,6,,2026-06-30
ABDL,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
ABFRL,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
ABLBL,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
ABREL,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY REALTY|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_realty|nifty_smallcap_100|nifty_smallcap_250,REALTY,5,REALTY,2026-06-30
ABSLAMC,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
ACC,NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY MIDCAP 150|NIFTY MIDSMALLCAP 400,nifty_500|nifty_largemidcap_250|nifty_midcap_150|nifty_midsmallcap_400,,4,,2026-06-30
ACE,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
ACMESOLAR,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
ACUTAAS,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
ADANIENSOL,NIFTY 100|NIFTY 200|NIFTY 500|NIFTY COMMODITIES|NIFTY ENERGY|NIFTY LARGEMIDCAP 250|NIFTY NEXT 50,nifty_100|nifty_200|nifty_500|nifty_commodities|nifty_energy|nifty_largemidcap_250|nifty_next_50,ENERGY,7,ENERGY,2026-06-30
ADANIENT,NIFTY 100|NIFTY 200|NIFTY 50|NIFTY 500|NIFTY LARGEMIDCAP 250|NIFTY METAL,nifty_100|nifty_200|nifty_50|nifty_500|nifty_largemidcap_250|nifty_metal,METAL,6,METAL,2026-06-30
ADANIGREEN,NIFTY 100|NIFTY 200|NIFTY 500|NIFTY COMMODITIES|NIFTY ENERGY|NIFTY LARGEMIDCAP 250|NIFTY NEXT 50,nifty_100|nifty_200|nifty_500|nifty_commodities|nifty_energy|nifty_largemidcap_250|nifty_next_50,ENERGY,7,ENERGY,2026-06-30
ADANIPORTS,NIFTY 100|NIFTY 200|NIFTY 50|NIFTY 500|NIFTY LARGEMIDCAP 250,nifty_100|nifty_200|nifty_50|nifty_500|nifty_largemidcap_250,,5,,2026-06-30
ADANIPOWER,NIFTY 100|NIFTY 200|NIFTY 500|NIFTY COMMODITIES|NIFTY ENERGY|NIFTY LARGEMIDCAP 250|NIFTY NEXT 50,nifty_100|nifty_200|nifty_500|nifty_commodities|nifty_energy|nifty_largemidcap_250|nifty_next_50,ENERGY,7,ENERGY,2026-06-30
