symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
360ONE,360 ONE WAM Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
ABB,ABB India Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
AUBANK,AU Small Finance Bank Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
ADANIENSOL,Adani Energy Solutions Ltd.,Power,NIFTY 200,nifty_200,,2026-06-30
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY 200,nifty_200,,2026-06-30
ADANIGREEN,Adani Green Energy Ltd.,Power,NIFTY 200,nifty_200,,2026-06-30
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,NIFTY 200,nifty_200,,2026-06-30
ADANIPOWER,Adani Power Ltd.,Power,NIFTY 200,nifty_200,,2026-06-30
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY 200,nifty_200,,2026-06-30
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
ALKEM,Alkem Laboratories Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,NIFTY 200,nifty_200,,2026-06-30
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,NIFTY 200,nifty_200,,2026-06-30
ASTRAL,Astral Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
DMART,Avenue Supermarts Ltd.,Consumer Services,NIFTY 200,nifty_200,,2026-06-30
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
BSE,BSE Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,NIFTY 200,nifty_200,,2026-06-30
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
BANKBARODA,Bank of Baroda,Financial Services,NIFTY 200,nifty_200,,2026-06-30
BANKINDIA,Bank of India,Financial Services,NIFTY 200,nifty_200,,2026-06-30
BDL,Bharat Dynamics Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
BEL,Bharat Electronics Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,NIFTY 200,nifty_200,,2026-06-30
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY 200,nifty_200,,2026-06-30
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,NIFTY 200,nifty_200,,2026-06-30
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
BIOCON,Biocon Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
BLUESTARCO,Blue Star Ltd.,Consumer Durables,NIFTY 200,nifty_200,,2026-06-30
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,NIFTY 200,nifty_200,,2026-06-30
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
CANBK,Canara Bank,Financial Services,NIFTY 200,nifty_200,,2026-06-30
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
CIPLA,Cipla Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,NIFTY 200,nifty_200,,2026-06-30
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
COFORGE,Coforge Ltd.,Information Technology,NIFTY 200,nifty_200,,2026-06-30
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
CONCOR,Container Corporation of India Ltd.,Services,NIFTY 200,nifty_200,,2026-06-30
COROMANDEL,Coromandel International Ltd.,Chemicals,NIFTY 200,nifty_200,,2026-06-30
CUMMINSIND,Cummins India Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
DLF,DLF Ltd.,Realty,NIFTY 200,nifty_200,,2026-06-30
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,NIFTY 200,nifty_200,,2026-06-30
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,NIFTY 200,nifty_200,,2026-06-30
