symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,NIFTY AUTO,nifty_auto,AUTO,2026-06-30
