symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
ADANIENSOL,Adani Energy Solutions Ltd.,Power,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
ADANIGREEN,Adani Green Energy Ltd.,Power,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
ADANIPOWER,Adani Power Ltd.,Power,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
JSWENERGY,JSW Energy Ltd.,Power,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
NHPC,NHPC Ltd.,Power,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
NMDC,NMDC Ltd.,Metals & Mining,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
NTPC,NTPC Ltd.,Power,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
PIIND,PI Industries Ltd.,Chemicals,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
PIDILITIND,Pidilite Industries Ltd.,Chemicals,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
SRF,SRF Ltd.,Chemicals,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
SHREECEM,Shree Cement Ltd.,Construction Materials,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
TATAPOWER,Tata Power Co. Ltd.,Power,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
TATASTEEL,Tata Steel Ltd.,Metals & Mining,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
TORNTPOWER,Torrent Power Ltd.,Power,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
UPL,UPL Ltd.,Chemicals,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
VEDL,Vedanta Ltd.,Metals & Mining,NIFTY COMMODITIES,nifty_commodities,,2026-06-30
