symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
AMBER,Amber Enterprises India Ltd.,Consumer Durables,NIFTY CONSUMER DURABLES,nifty_consumer_durables,FMCG,2026-06-30
BATAINDIA,Bata India Ltd.,Consumer Durables,NIFTY CONSUMER DURABLES,nifty_consumer_durables,FMCG,2026-06-30
BLUESTARCO,Blue Star Ltd.,Consumer Durables,NIFTY CONSUMER DURABLES,nifty_consumer_durables,FMCG,2026-06-30
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,NIFTY CONSUMER DURABLES,nifty_consumer_durables,FMCG,2026-06-30
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,NIFTY CONSUMER DURABLES,nifty_consumer_durables,FMCG,2026-06-30
HAVELLS,Havells India Ltd.,Consumer Durables,NIFTY CONSUMER DURABLES,nifty_consumer_durables,FMCG,2026-06-30
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,NIFTY CONSUMER DURABLES,nifty_consumer_durables,FMCG,2026-06-30
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,NIFTY CONSUMER DURABLES,nifty_consumer_durables,FMCG,2026-06-30
LGEINDIA,LG Electronics India Ltd.,Consumer Durables,NIFTY CONSUMER DURABLES,nifty_consumer_durables,FMCG,2026-06-30
PGEL,PG Electroplast Ltd.,Consumer Durables,NIFTY CONSUMER DURABLES,nifty_consumer_durables,FMCG,2026-06-30
TITAN,Titan Company Ltd.,Consumer Durables,NIFTY CONSUMER DURABLES,nifty_consumer_durables,FMCG,2026-06-30
VOLTAS,Voltas Ltd.,Consumer Durables,NIFTY CONSUMER DURABLES,nifty_consumer_durables,FMCG,2026-06-30
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,NIFTY CONSUMER DURABLES,nifty_consumer_durables,FMCG,2026-06-30
