symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
BEL,Bharat Electronics Ltd.,Capital Goods,NIFTY CPSE,nifty_cpse,,2026-06-30
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,NIFTY CPSE,nifty_cpse,,2026-06-30
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,NIFTY CPSE,nifty_cpse,,2026-06-30
NBCC,NBCC (India) Ltd.,Construction,NIFTY CPSE,nifty_cpse,,2026-06-30
NHPC,NHPC Ltd.,Power,NIFTY CPSE,nifty_cpse,,2026-06-30
NLCINDIA,NLC India Ltd.,Power,NIFTY CPSE,nifty_cpse,,2026-06-30
NTPC,NTPC Ltd.,Power,NIFTY CPSE,nifty_cpse,,2026-06-30
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY CPSE,nifty_cpse,,2026-06-30
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,NIFTY CPSE,nifty_cpse,,2026-06-30
POWERGRID,Power Grid Corporation of India Ltd.,Power,NIFTY CPSE,nifty_cpse,,2026-06-30
SJVN,SJVN Ltd.,Power,NIFTY CPSE,nifty_cpse,,2026-06-30
