symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
ABB,ABB India Ltd.,Capital Goods,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
ADANIENSOL,Adani Energy Solutions Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
ADANIGREEN,Adani Green Energy Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
ADANIPOWER,Adani Power Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
CESC,CESC Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
INOXWIND,Inox Wind Ltd.,Capital Goods,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
JSWENERGY,JSW Energy Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
NHPC,NHPC Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
NLCINDIA,NLC India Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
NTPCGREEN,NTPC Green Energy Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
NTPC,NTPC Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
NAVA,Nava Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
POWERGRID,Power Grid Corporation of India Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
RPOWER,Reliance Power Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
SJVN,SJVN Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
ENRIN,Siemens Energy India Ltd.,Capital Goods,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
SIEMENS,Siemens Ltd.,Capital Goods,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
SUZLON,Suzlon Energy Ltd.,Capital Goods,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
TATAPOWER,Tata Power Co. Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
THERMAX,Thermax Ltd.,Capital Goods,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
TORNTPOWER,Torrent Power Ltd.,Power,NIFTY ENERGY,nifty_energy,ENERGY,2026-06-30
