symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
BSE,BSE Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
HDFCBANK,HDFC Bank Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
ICICIBANK,ICICI Bank Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
JIOFIN,Jio Financial Services Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
MFSL,Max Financial Services Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
PFC,Power Finance Corporation Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
RECLTD,REC Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
SBIN,State Bank of India,Financial Services,NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,FINANCIAL_SERVICES,2026-06-30
