symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
ITC,ITC Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
MARICO,Marico Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,NIFTY FMCG,nifty_fmcg,FMCG,2026-06-30
