symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
COFORGE,Coforge Ltd.,Information Technology,NIFTY IT,nifty_it,IT,2026-06-30
HCLTECH,HCL Technologies Ltd.,Information Technology,NIFTY IT,nifty_it,IT,2026-06-30
INFY,Infosys Ltd.,Information Technology,NIFTY IT,nifty_it,IT,2026-06-30
LTM,LTM Ltd.,Information Technology,NIFTY IT,nifty_it,IT,2026-06-30
MPHASIS,MphasiS Ltd.,Information Technology,NIFTY IT,nifty_it,IT,2026-06-30
OFSS,Oracle Financial Services Software Ltd.,Information Technology,NIFTY IT,nifty_it,IT,2026-06-30
PERSISTENT,Persistent Systems Ltd.,Information Technology,NIFTY IT,nifty_it,IT,2026-06-30
TCS,Tata Consultancy Services Ltd.,Information Technology,NIFTY IT,nifty_it,IT,2026-06-30
TECHM,Tech Mahindra Ltd.,Information Technology,NIFTY IT,nifty_it,IT,2026-06-30
WIPRO,Wipro Ltd.,Information Technology,NIFTY IT,nifty_it,IT,2026-06-30
