symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,NIFTY METAL,nifty_metal,METAL,2026-06-30
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY METAL,nifty_metal,METAL,2026-06-30
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,NIFTY METAL,nifty_metal,METAL,2026-06-30
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,NIFTY METAL,nifty_metal,METAL,2026-06-30
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,NIFTY METAL,nifty_metal,METAL,2026-06-30
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,NIFTY METAL,nifty_metal,METAL,2026-06-30
JSL,Jindal Stainless Ltd.,Metals & Mining,NIFTY METAL,nifty_metal,METAL,2026-06-30
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,NIFTY METAL,nifty_metal,METAL,2026-06-30
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,NIFTY METAL,nifty_metal,METAL,2026-06-30
NMDC,NMDC Ltd.,Metals & Mining,NIFTY METAL,nifty_metal,METAL,2026-06-30
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,NIFTY METAL,nifty_metal,METAL,2026-06-30
SAIL,Steel Authority of India Ltd.,Metals & Mining,NIFTY METAL,nifty_metal,METAL,2026-06-30
TATASTEEL,Tata Steel Ltd.,Metals & Mining,NIFTY METAL,nifty_metal,METAL,2026-06-30
VEDL,Vedanta Ltd.,Metals & Mining,NIFTY METAL,nifty_metal,METAL,2026-06-30
WELCORP,Welspun Corp Ltd.,Capital Goods,NIFTY METAL,nifty_metal,METAL,2026-06-30
