symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
AUBANK,AU Small Finance Bank Ltd.,Financial Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
ALKEM,Alkem Laboratories Ltd.,Healthcare,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
BSE,BSE Ltd.,Financial Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
COFORGE,Coforge Ltd.,Information Technology,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
FEDERALBNK,Federal Bank Ltd.,Financial Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
FORTIS,Fortis Healthcare Ltd.,Healthcare,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
GMRAIRPORT,GMR Airports Ltd.,Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
GODREJPROP,Godrej Properties Ltd.,Realty,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
HAVELLS,Havells India Ltd.,Consumer Durables,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
INDUSTOWER,Indus Towers Ltd.,Telecommunication,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
NAUKRI,Info Edge (India) Ltd.,Consumer Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
LAURUSLABS,Laurus Labs Ltd.,Healthcare,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
LUPIN,Lupin Ltd.,Healthcare,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
MANKIND,Mankind Pharma Ltd.,Healthcare,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
MARICO,Marico Ltd.,Fast Moving Consumer Goods,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
MFSL,Max Financial Services Ltd.,Financial Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
MPHASIS,MphasiS Ltd.,Information Technology,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
NHPC,NHPC Ltd.,Power,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
NMDC,NMDC Ltd.,Metals & Mining,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
PAYTM,One 97 Communications Ltd.,Financial Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
POLICYBZR,PB Fintech Ltd.,Financial Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
PERSISTENT,Persistent Systems Ltd.,Information Technology,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
PHOENIXLTD,Phoenix Mills Ltd.,Realty,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
POLYCAB,Polycab India Ltd.,Capital Goods,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
PRESTIGE,Prestige Estates Projects Ltd.,Realty,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
SRF,SRF Ltd.,Chemicals,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
SUZLON,Suzlon Energy Ltd.,Capital Goods,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
SWIGGY,Swiggy Ltd.,Consumer Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
UPL,UPL Ltd.,Chemicals,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
WAAREEENER,Waaree Energies Ltd.,Capital Goods,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
YESBANK,Yes Bank Ltd.,Financial Services,NIFTY MIDCAP 50,nifty_midcap_50,,2026-06-30
