symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
360ONE,360 ONE WAM Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
3MINDIA,3M India Ltd.,Diversified,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
ACC,ACC Ltd.,Construction Materials,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
ACMESOLAR,ACME Solar Holdings Ltd.,Power,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
AIAENG,AIA Engineering Ltd.,Capital Goods,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
AUBANK,AU Small Finance Bank Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
AARTIIND,Aarti Industries Ltd.,Chemicals,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
AAVAS,Aavas Financiers Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
ABBOTINDIA,Abbott India Ltd.,Healthcare,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
ACE,Action Construction Equipment Ltd.,Capital Goods,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
