symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
3MINDIA,3M India Ltd.,Diversified,NIFTY MNC,nifty_mnc,,2026-06-30
ABB,ABB India Ltd.,Capital Goods,NIFTY MNC,nifty_mnc,,2026-06-30
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,NIFTY MNC,nifty_mnc,,2026-06-30
ABBOTINDIA,Abbott India Ltd.,Healthcare,NIFTY MNC,nifty_mnc,,2026-06-30
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,NIFTY MNC,nifty_mnc,,2026-06-30
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,NIFTY MNC,nifty_mnc,,2026-06-30
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,NIFTY MNC,nifty_mnc,,2026-06-30
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,NIFTY MNC,nifty_mnc,,2026-06-30
CRISIL,CRISIL Ltd.,Financial Services,NIFTY MNC,nifty_mnc,,2026-06-30
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,NIFTY MNC,nifty_mnc,,2026-06-30
COHANCE,Cohance Lifesciences Ltd.,Healthcare,NIFTY MNC,nifty_mnc,,2026-06-30
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,NIFTY MNC,nifty_mnc,,2026-06-30
CUMMINSIND,Cummins India Ltd.,Capital Goods,NIFTY MNC,nifty_mnc,,2026-06-30
ESCORTS,Escorts Kubota Ltd.,Capital Goods,NIFTY MNC,nifty_mnc,,2026-06-30
GLAND,Gland Pharma Ltd.,Healthcare,NIFTY MNC,nifty_mnc,,2026-06-30
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,NIFTY MNC,nifty_mnc,,2026-06-30
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,NIFTY MNC,nifty_mnc,,2026-06-30
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,NIFTY MNC,nifty_mnc,,2026-06-30
LINDEINDIA,Linde India Ltd.,Chemicals,NIFTY MNC,nifty_mnc,,2026-06-30
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,NIFTY MNC,nifty_mnc,,2026-06-30
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,NIFTY MNC,nifty_mnc,,2026-06-30
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,NIFTY MNC,nifty_mnc,,2026-06-30
OFSS,Oracle Financial Services Software Ltd.,Information Technology,NIFTY MNC,nifty_mnc,,2026-06-30
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,NIFTY MNC,nifty_mnc,,2026-06-30
ENRIN,Siemens Energy India Ltd.,Capital Goods,NIFTY MNC,nifty_mnc,,2026-06-30
SIEMENS,Siemens Ltd.,Capital Goods,NIFTY MNC,nifty_mnc,,2026-06-30
TIMKEN,Timken India Ltd.,Capital Goods,NIFTY MNC,nifty_mnc,,2026-06-30
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,NIFTY MNC,nifty_mnc,,2026-06-30
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,NIFTY MNC,nifty_mnc,,2026-06-30
VEDL,Vedanta Ltd.,Metals & Mining,NIFTY MNC,nifty_mnc,,2026-06-30
