symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
ABB,ABB India Ltd.,Capital Goods,NIFTY NEXT 50,nifty_next_50,,2026-06-30
ADANIENSOL,Adani Energy Solutions Ltd.,Power,NIFTY NEXT 50,nifty_next_50,,2026-06-30
ADANIGREEN,Adani Green Energy Ltd.,Power,NIFTY NEXT 50,nifty_next_50,,2026-06-30
ADANIPOWER,Adani Power Ltd.,Power,NIFTY NEXT 50,nifty_next_50,,2026-06-30
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,NIFTY NEXT 50,nifty_next_50,,2026-06-30
DMART,Avenue Supermarts Ltd.,Consumer Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
BANKBARODA,Bank of Baroda,Financial Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY NEXT 50,nifty_next_50,,2026-06-30
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,NIFTY NEXT 50,nifty_next_50,,2026-06-30
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,NIFTY NEXT 50,nifty_next_50,,2026-06-30
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,NIFTY NEXT 50,nifty_next_50,,2026-06-30
CANBK,Canara Bank,Financial Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
CUMMINSIND,Cummins India Ltd.,Capital Goods,NIFTY NEXT 50,nifty_next_50,,2026-06-30
DLF,DLF Ltd.,Realty,NIFTY NEXT 50,nifty_next_50,,2026-06-30
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,NIFTY NEXT 50,nifty_next_50,,2026-06-30
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,NIFTY NEXT 50,nifty_next_50,,2026-06-30
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,NIFTY NEXT 50,nifty_next_50,,2026-06-30
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
HAL,Hindustan Aeronautics Ltd.,Capital Goods,NIFTY NEXT 50,nifty_next_50,,2026-06-30
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,NIFTY NEXT 50,nifty_next_50,,2026-06-30
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,NIFTY NEXT 50,nifty_next_50,,2026-06-30
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY NEXT 50,nifty_next_50,,2026-06-30
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,NIFTY NEXT 50,nifty_next_50,,2026-06-30
LTM,LTM Ltd.,Information Technology,NIFTY NEXT 50,nifty_next_50,,2026-06-30
LODHA,Lodha Developers Ltd.,Realty,NIFTY NEXT 50,nifty_next_50,,2026-06-30
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,NIFTY NEXT 50,nifty_next_50,,2026-06-30
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
PIDILITIND,Pidilite Industries Ltd.,Chemicals,NIFTY NEXT 50,nifty_next_50,,2026-06-30
PFC,Power Finance Corporation Ltd.,Financial Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
PNB,Punjab National Bank,Financial Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
RECLTD,REC Ltd.,Financial Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,NIFTY NEXT 50,nifty_next_50,,2026-06-30
SHREECEM,Shree Cement Ltd.,Construction Materials,NIFTY NEXT 50,nifty_next_50,,2026-06-30
ENRIN,Siemens Energy India Ltd.,Capital Goods,NIFTY NEXT 50,nifty_next_50,,2026-06-30
SIEMENS,Siemens Ltd.,Capital Goods,NIFTY NEXT 50,nifty_next_50,,2026-06-30
SOLARINDS,Solar Industries India Ltd.,Chemicals,NIFTY NEXT 50,nifty_next_50,,2026-06-30
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,NIFTY NEXT 50,nifty_next_50,,2026-06-30
TATACAP,Tata Capital Ltd.,Financial Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
TMCV,Tata Motors Ltd.,Capital Goods,NIFTY NEXT 50,nifty_next_50,,2026-06-30
TATAPOWER,Tata Power Co. Ltd.,Power,NIFTY NEXT 50,nifty_next_50,,2026-06-30
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,NIFTY NEXT 50,nifty_next_50,,2026-06-30
UNIONBANK,Union Bank of India,Financial Services,NIFTY NEXT 50,nifty_next_50,,2026-06-30
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,NIFTY NEXT 50,nifty_next_50,,2026-06-30
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,NIFTY NEXT 50,nifty_next_50,,2026-06-30
VEDL,Vedanta Ltd.,Metals & Mining,NIFTY NEXT 50,nifty_next_50,,2026-06-30
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,NIFTY NEXT 50,nifty_next_50,,2026-06-30
