symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
BEL,Bharat Electronics Ltd.,Capital Goods,NIFTY PSE,nifty_pse,,2026-06-30
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,NIFTY PSE,nifty_pse,,2026-06-30
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY PSE,nifty_pse,,2026-06-30
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,NIFTY PSE,nifty_pse,,2026-06-30
CONCOR,Container Corporation of India Ltd.,Services,NIFTY PSE,nifty_pse,,2026-06-30
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,NIFTY PSE,nifty_pse,,2026-06-30
HAL,Hindustan Aeronautics Ltd.,Capital Goods,NIFTY PSE,nifty_pse,,2026-06-30
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY PSE,nifty_pse,,2026-06-30
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY PSE,nifty_pse,,2026-06-30
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,NIFTY PSE,nifty_pse,,2026-06-30
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,NIFTY PSE,nifty_pse,,2026-06-30
NHPC,NHPC Ltd.,Power,NIFTY PSE,nifty_pse,,2026-06-30
NMDC,NMDC Ltd.,Metals & Mining,NIFTY PSE,nifty_pse,,2026-06-30
NTPC,NTPC Ltd.,Power,NIFTY PSE,nifty_pse,,2026-06-30
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY PSE,nifty_pse,,2026-06-30
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,NIFTY PSE,nifty_pse,,2026-06-30
PFC,Power Finance Corporation Ltd.,Financial Services,NIFTY PSE,nifty_pse,,2026-06-30
POWERGRID,Power Grid Corporation of India Ltd.,Power,NIFTY PSE,nifty_pse,,2026-06-30
RECLTD,REC Ltd.,Financial Services,NIFTY PSE,nifty_pse,,2026-06-30
RVNL,Rail Vikas Nigam Ltd.,Construction,NIFTY PSE,nifty_pse,,2026-06-30
