symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
ABREL,Aditya Birla Real Estate Ltd.,Realty,NIFTY REALTY,nifty_realty,REALTY,2026-06-30
ANANTRAJ,Anant Raj Ltd.,Realty,NIFTY REALTY,nifty_realty,REALTY,2026-06-30
BRIGADE,Brigade Enterprises Ltd.,Realty,NIFTY REALTY,nifty_realty,REALTY,2026-06-30
DLF,DLF Ltd.,Realty,NIFTY REALTY,nifty_realty,REALTY,2026-06-30
GODREJPROP,Godrej Properties Ltd.,Realty,NIFTY REALTY,nifty_realty,REALTY,2026-06-30
LODHA,Lodha Developers Ltd.,Realty,NIFTY REALTY,nifty_realty,REALTY,2026-06-30
OBEROIRLTY,Oberoi Realty Ltd.,Realty,NIFTY REALTY,nifty_realty,REALTY,2026-06-30
PHOENIXLTD,Phoenix Mills Ltd.,Realty,NIFTY REALTY,nifty_realty,REALTY,2026-06-30
PRESTIGE,Prestige Estates Projects Ltd.,Realty,NIFTY REALTY,nifty_realty,REALTY,2026-06-30
SOBHA,Sobha Ltd.,Realty,NIFTY REALTY,nifty_realty,REALTY,2026-06-30
