symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
ACMESOLAR,ACME Solar Holdings Ltd.,Power,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
AARTIIND,Aarti Industries Ltd.,Chemicals,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
AAVAS,Aavas Financiers Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
ACE,Action Construction Equipment Ltd.,Capital Goods,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
ABREL,Aditya Birla Real Estate Ltd.,Realty,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
CPPLUS,Aditya Infotech Ltd.,Capital Goods,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
AFCONS,Afcons Infrastructure Ltd.,Construction,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
AFFLE,Affle 3i Ltd.,Information Technology,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
AMBER,Amber Enterprises India Ltd.,Consumer Durables,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
