index_name,index_slug,filename,status,constituent_count,sector_hint,downloaded_date,error
NIFTY 50,nifty_50,ind_nifty50list.csv,SUCCESS,50,,2026-06-30,
NIFTY NEXT 50,nifty_next_50,ind_niftynext50list.csv,SUCCESS,50,,2026-06-30,
NIFTY 100,nifty_100,ind_nifty100list.csv,SUCCESS,100,,2026-06-30,
NIFTY 200,nifty_200,ind_nifty200list.csv,SUCCESS,200,,2026-06-30,
NIFTY 500,nifty_500,ind_nifty500list.csv,SUCCESS,500,,2026-06-30,
NIFTY MIDCAP 50,nifty_midcap_50,ind_niftymidcap50list.csv,SUCCESS,50,,2026-06-30,
NIFTY MIDCAP 100,nifty_midcap_100,ind_niftymidcap100list.csv,SUCCESS,100,,2026-06-30,
NIFTY MIDCAP 150,nifty_midcap_150,ind_niftymidcap150list.csv,SUCCESS,150,,2026-06-30,
NIFTY SMALLCAP 100,nifty_smallcap_100,ind_niftysmallcap100list.csv,SUCCESS,100,,2026-06-30,
NIFTY SMALLCAP 250,nifty_smallcap_250,ind_niftysmallcap250list.csv,SUCCESS,250,,2026-06-30,
NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,ind_niftylargemidcap250list.csv,SUCCESS,250,,2026-06-30,
NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,ind_niftymidsmallcap400list.csv,SUCCESS,400,,2026-06-30,
NIFTY AUTO,nifty_auto,ind_niftyautolist.csv,SUCCESS,15,AUTO,2026-06-30,
NIFTY PHARMA,nifty_pharma,ind_niftypharmalist.csv,SUCCESS,20,PHARMA,2026-06-30,
NIFTY IT,nifty_it,ind_niftyitlist.csv,SUCCESS,10,IT,2026-06-30,
NIFTY METAL,nifty_metal,ind_niftymetallist.csv,SUCCESS,15,METAL,2026-06-30,
NIFTY FMCG,nifty_fmcg,ind_niftyfmcglist.csv,SUCCESS,15,FMCG,2026-06-30,
NIFTY MEDIA,nifty_media,ind_niftymedialist.csv,SUCCESS,9,MEDIA,2026-06-30,
NIFTY REALTY,nifty_realty,ind_niftyrealtylist.csv,SUCCESS,10,REALTY,2026-06-30,
NIFTY BANK,nifty_bank,ind_niftybanklist.csv,SUCCESS,14,BANKING,2026-06-30,
NIFTY PSU BANK,nifty_psu_bank,ind_niftypsubanklist.csv,SUCCESS,12,BANKING,2026-06-30,
NIFTY HEALTHCARE INDEX,nifty_healthcare_index,ind_niftyhealthcarelist.csv,SUCCESS,20,HEALTHCARE,2026-06-30,
NIFTY OIL & GAS,nifty_oil_gas,ind_niftyoilgaslist.csv,SUCCESS,15,ENERGY,2026-06-30,
NIFTY ENERGY,nifty_energy,ind_niftyenergylist.csv,SUCCESS,40,ENERGY,2026-06-30,
NIFTY FINANCIAL SERVICES 25/50,nifty_financial_services_25_50,ind_niftyfinancialservices25-50list.csv,SUCCESS,20,FINANCIAL_SERVICES,2026-06-30,
NIFTY CONSUMER DURABLES,nifty_consumer_durables,ind_niftyconsumerdurableslist.csv,SUCCESS,13,FMCG,2026-06-30,
NIFTY COMMODITIES,nifty_commodities,ind_niftycommoditieslist.csv,SUCCESS,30,,2026-06-30,
NIFTY MNC,nifty_mnc,ind_niftymnclist.csv,SUCCESS,30,,2026-06-30,
NIFTY CPSE,nifty_cpse,ind_niftycpselist.csv,SUCCESS,11,,2026-06-30,
NIFTY PSE,nifty_pse,ind_niftypselist.csv,SUCCESS,20,,2026-06-30,
