symbol,opm_pct,roce_pct,book_value_per_share,total_equity_cr,equity_share_capital_cr,capital_employed_cr,ebitda_cr_latest,ebit_cr_latest,sales_growth_cagr_pct,sales_growth_years,as_of_date,data_quarters
20MICRONS,12.46,16.34,137.05,483.62,,539.12,26.7478,22.02,12.8,4.3,2024-12-31,19
21STCENMGM,29.62,49.93,31.49,33.06,,33.2,4.1517,4.1438,23.44,3.7,2024-12-31,20
360ONE,544.3,2.04,242.17,9835.55,,26142.37,137.6,133.21,29.93,1.8,2024-12-31,9
3IINFOLTD,25.2,14.89,18.38,381.18,,415.9,21.61,15.48,12.4,3.3,2024-12-31,14
3IINFOTECH,-1.44,,,,,,-2.3,-5.2,128.03,0.7,2021-06-30,4
3MINDIA,15.68,31.82,1569.6,1768.15,,1972.22,170.9112,156.8972,11.35,4.3,2024-12-31,18
3PLAND,56.38,,58.14,104.66,,,0.5252,0.5143,28.01,4.0,2024-12-31,18
4THDIM,15.29,,,,,,1.5061,1.4235,,,2023-03-31,3
5PAISA,35.25,5.84,207.74,649.22,,1847.57,30.0592,26.9593,14.52,4.0,2024-12-31,18
63MOONS,-12.71,-0.4,770.81,3551.83,,3680.59,-0.8439,-3.6731,-25.95,4.3,2024-12-31,18
8KMILES,13.22,,,,,,11.768,6.4,,,2020-09-30,1
A2ZINFRA,1.99,2.96,2.51,44.18,,70.85,1.6804,0.5246,-7.95,4.3,2024-12-31,18
AAATECH,12.45,9.68,24.14,30.96,,30.96,0.8635,0.7493,26.3,2.0,2024-12-31,9
AADHARHFC,76.61,8.88,173.07,7540.89,,27231.8,611.03,604.55,20.81,0.8,2024-12-31,4
AAKASH,10.74,4.11,6.31,63.88,,70.54,2.508,0.7252,8.98,4.3,2024-12-31,17
AAREYDRUGS,2.15,6.05,52.86,150.42,,152.17,2.8805,2.3,9.44,3.5,2024-12-31,15
AARON,18.09,17.5,,48.61,,65.23,3.3171,2.8542,29.34,4.0,2024-12-31,16
AARTECH,17.56,17.8,11.05,35.1,,35.72,1.7184,1.5894,32.9,1.5,2024-12-31,7
AARTIDRUGS,13.23,12.64,169.7,1548.86,,1893.0,73.63,59.83,-0.89,4.3,2024-12-31,20
AARTIIND,12.83,6.07,164.23,5955.0,,8261.0,236.08,125.43,11.18,4.3,2024-12-31,17
AARTIPHARM,26.95,16.65,234.35,2124.6,,2544.14,126.926,105.8828,6.06,1.8,2024-12-31,8
AARTISURF,5.39,5.56,289.34,244.93,,319.11,8.7788,4.4347,9.22,4.3,2024-12-31,19
AARVEEDEN,0.4,,,,,,0.0237,-0.9415,-37.42,4.3,2024-12-31,18
AARVI,2.57,6.9,95.92,142.07,,151.37,3.0807,2.6116,24.91,4.3,2024-12-31,18
AAVAS,76.47,8.44,637.07,5050.85,,21199.89,456.3241,447.1018,17.79,4.0,2024-12-31,19
ABAN,14.46,,,,,,16.823,9.621,-19.57,4.3,2024-12-31,19
ABB,22.11,35.94,369.78,7835.99,,7905.03,743.96,710.26,18.89,4.3,2024-12-31,19
ABCAPITAL,62.58,,131.41,34423.11,,,20.54,20.33,338.48,4.3,2024-12-31,17
ABCOTS,,,69.76,153.22,,217.2,,,,,2022-09-30,1
ABDL,5.12,21.8,59.44,1662.67,,1973.26,120.0403,107.5351,46.46,0.8,2024-12-31,5
ABFRL,15.87,6.46,47.99,5839.06,,13043.46,683.02,210.76,40.04,4.3,2024-12-31,19
ABHISHEK,114.57,,,,,,1.4186,0.8229,-29.4,4.3,2024-12-31,18
ABINFRA,13.35,16.9,2.65,169.28,,203.52,10.0187,8.5983,,,2024-12-31,2
ABMINTLLTD,-11.69,-59.05,13.85,13.03,,13.28,-1.9505,-1.9605,-17.79,3.3,2024-12-31,14
ABMINTLTD,-2.86,,,,,,-1.3099,-1.351,251.05,0.7,2021-06-30,4
ABREL,1.82,-1.93,334.68,3700.81,,7947.74,17.39,-38.35,,,2024-12-31,2
ABSLAMC,70.8,27.6,139.94,4041.66,,4340.1,310.39,299.52,9.44,3.3,2024-12-31,15
ACC,29.74,27.63,1094.35,20550.54,,21763.74,1753.26,1503.51,9.36,4.0,2024-12-31,18
ACCELYA,39.28,53.37,176.09,262.83,,317.3,48.8148,42.3327,22.84,4.3,2024-12-31,18
ACCURACY,2.97,10.45,8.28,124.71,,177.66,7.5482,4.6434,22.3,4.0,2024-12-31,18
ACE,18.86,31.06,168.96,2010.99,,2033.63,165.06,157.89,32.05,4.3,2024-12-31,19
ACEINTEG,-16.08,-6.44,16.36,16.69,,16.76,-0.23,-0.27,-32.39,2.3,2024-12-31,11
ACI,36.65,12.33,156.68,1934.39,,2226.43,88.7998,68.6551,-18.5,2.0,2024-12-31,9
ACL,-9.59,-8.71,8.76,80.74,,1135.52,-6.36,-24.72,192.16,1.5,2024-12-31,8
ACLGATI,5.53,,,,,,24.37,6.03,3.78,1.0,2024-12-31,5
ACMESOLAR,100.89,4.46,83.61,5061.48,,25320.15,352.111,282.449,,,2024-12-31,2
ACRYSIL,17.69,,,,,,14.5728,9.2774,-3.38,1.7,2022-09-30,8
ADANIENSOL,39.37,9.47,211.67,25427.54,,77388.64,2295.3,1832.92,999.0,1.3,2024-12-31,7
ADANIENT,16.29,5.36,626.03,80925.95,,202688.1,3722.53,2716.88,67.08,4.3,2024-12-31,18
ADANIGAS,47.05,,,,,,207.58,192.56,,,2020-09-30,1
ADANIGREEN,78.22,3.99,121.21,19965.0,,123865.0,1850.0,1235.0,37.43,4.3,2024-12-31,19
ADANIPORTS,99.21,4.72,417.22,96125.3,,169554.41,2164.87,2001.52,-6.49,4.3,2024-12-31,18
ADANIPOWER,45.24,16.45,33.67,64936.88,,121951.71,6185.18,5015.17,14.28,4.3,2024-12-31,19
ADANITRANS,45.89,,,,,,1681.46,1262.58,999.0,2.7,2023-06-30,12
ADFFOODS,20.57,16.07,52.06,571.93,,639.67,30.3334,25.7005,11.1,4.3,2024-12-31,19
ADHUNIKIND,2.32,,,,,,3.4501,2.0265,,,2020-12-31,2
ADL,8.73,4.42,91.32,50.83,,52.92,1.0474,0.5843,14.17,4.3,2024-12-31,18
ADORWELD,9.85,,,,,,26.98,22.35,27.99,4.3,2024-12-31,18
ADROITINFO,15.96,3.52,13.54,77.55,,83.89,1.2256,0.7381,41.02,4.0,2024-12-31,18
ADSL,12.4,12.04,108.58,613.61,,747.09,27.34,22.49,23.98,4.3,2024-12-31,20
ADVANIHOTR,47.79,12.27,55.73,515.16,,523.64,16.7926,16.065,741.39,4.3,2024-12-31,18
ADVENZYMES,23.29,4.76,145.81,1631.96,,1732.04,23.491,20.603,8.14,4.3,2024-12-31,18
AEGISCHEM,22.88,,,,,,165.05,161.78,101.78,3.5,2024-03-31,16
AEGISLOG,17.16,9.27,172.51,6055.02,,11022.36,292.86,255.53,13.52,0.5,2024-12-31,4
AEROFLEX,22.31,17.39,33.8,447.27,,454.31,22.2657,19.7528,13.08,1.5,2024-12-31,7
AETHER,34.44,10.16,185.1,2455.89,,2544.09,75.66,64.604,22.08,2.3,2024-12-31,11
AFCONS,15.12,16.17,148.18,5449.8,,9119.45,485.62,368.55,,,2024-12-31,2
AFFLE,25.31,13.73,259.76,3652.21,,3686.83,152.291,126.53,42.13,4.3,2024-12-31,18
AFFORDABLE,16.78,15.39,98.12,110.35,,141.97,5.8319,5.463,,,2024-12-31,1
AFIL,74.12,8.86,9.93,423.87,,933.18,20.8071,20.6603,56.32,0.8,2024-12-31,6
AGARIND,10.29,19.89,460.63,689.01,,818.91,55.7574,40.7273,50.57,4.3,2024-12-31,18
AGARWALEYE,27.8,4.08,63.93,2025.46,,3480.27,74.48,35.48,,,2024-12-31,1
AGCNET,3.9,,,,,,52.517,27.847,999.0,1.0,2021-09-30,5
AGI,28.03,19.92,372.1,2407.35,,2818.04,184.59,140.34,16.55,2.8,2024-12-31,13
AGIIL,34.14,16.95,37.18,464.8,,611.27,31.2092,25.9056,57.87,0.5,2024-12-31,3
AGRITECH,-385.31,-0.44,167.14,99.28,,99.34,-0.1102,-0.1102,80.9,4.3,2024-12-31,17
AGROPHOS,18.46,20.11,34.8,70.55,,74.02,4.2102,3.7218,19.75,4.3,2024-12-31,18
AGSTRA,-81.2,,,,,,-170.185,-213.975,-24.38,3.0,2024-12-31,14
AHL,89.9,,,,,,18.8298,18.8298,122.41,2.0,2024-12-31,9
