symbol,date_end,date_start,window_label,filing_date,revenue_cr,net_profit_cr,eps,pbt_cr,finance_costs_cr,depreciation_cr,total_assets_cr,current_liab_cr,equity_capital_cr,other_equity_cr,_date
ROLTA,2023-09-30,2023-07-01,Q3FY25,21-Mar-202,0.0,-7.27,-0.44,-7.27,0.19,7.93,,7366.61,165.89,-5250.55,2023-09-30
WINSOME,2024-12-31,2024-10-01,Q3FY25,26-Mar-202,1.14,-3.9,-0.55,-3.9,0.0,2.46,,,,,2024-12-31
DOLPHIN,2024-12-31,2024-10-01,Q3FY25,11-Mar-202,28.5006,15.5594,3.89,16.4873,0.2738,0.0686,,,,,2024-12-31
OMAXAUTO,2024-12-31,2024-10-01,Q3FY25,12-Mar-202,92.2757,2.8668,1.34,3.6192,4.912,4.552,,,,,2024-12-31
SKIPPER,2024-12-31,2024-10-01,Q3FY25,20-Mar-202,1135.247,35.914,3.33,48.254,49.727,16.648,,,,,2024-12-31
STANLEY,2024-12-31,2024-10-01,Q3FY25,21-Mar-202,58.1,5.7,1.01,7.6,1.0,3.1,,,,,2024-12-31
PRABHA,2024-12-31,2024-10-01,Q3FY25,21-Mar-202,1.0151,-0.1609,-0.01,-0.1651,0.0217,0.12,,,,,2024-12-31
SALZERELEC,2024-12-31,2024-10-01,Q3FY25,17-Mar-202,341.4609,15.5006,8.77,21.2153,10.5631,6.1767,,,,,2024-12-31
ARCHIES,2024-12-31,2024-10-01,Q3FY25,20-Mar-202,17.8209,0.0283,0.01,0.1681,1.2359,1.9349,,,,,2024-12-31
SCHAEFFLER,2024-12-31,2024-10-01,Q3FY25,25-Mar-202,2082.31,249.33,16.0,338.73,0.61,74.8,,1465.59,31.26,5352.04,2024-12-31
WINSOME,2024-09-30,2024-07-01,Q3FY25,26-Mar-202,1.46,-5.06,-0.72,-5.06,0.0,2.45,,639.66,70.71,-500.36,2024-09-30
PRIMESECU,2024-12-31,2024-10-01,Q3FY25,21-Mar-202,13.49,6.13,1.83,7.29,0.01,0.22,,,,,2024-12-31
KBCGLOBAL,2024-12-31,2024-10-01,Q3FY25,28-Mar-202,1.0896,-20.027,-0.02,-20.0185,-3.1255,0.0263,,,,,2024-12-31
QPOWER,2024-12-31,2024-10-01,Q3FY25,16-Mar-202,35.865,7.413,1.03,9.722,0.38,0.505,,,,,2024-12-31
