symbol,date_start,date_end,quarter_label,window_label,filing_date,revenue_cr,net_profit_cr,eps,rounding,standalone_or_consolidated,source
20MICRONS,2020-07-01,2020-09-30,Half yearly,Q2FY21,11-Nov-202,128.6431,8.4672,2.81,Lakhs,Consolidated,nselib_xbrl
20MICRONS,2020-10-01,2020-12-31,Third quarter,Q3FY21,12-Feb-202,149.7544,5.6715,1.6,Lakhs,Consolidated,nselib_xbrl
20MICRONS,2021-01-01,2021-03-31,Yearly,Q4FY21,30-Jun-202,140.9163,8.1493,2.31,Lakhs,Consolidated,nselib_xbrl
20MICRONS,2021-04-01,2021-06-30,First quarter,Q1FY22,10-Aug-202,99.9996,6.1083,1.73,Lakhs,Standalone,nselib_xbrl
20MICRONS,2021-07-01,2021-09-30,Half yearly,Q2FY22,21-Oct-202,162.2782,6.5795,1.85,Lakhs,Consolidated,nselib_xbrl
20MICRONS,2021-10-01,2021-12-31,Third quarter,Q3FY22,21-Jan-202,161.2547,11.6948,4.94,Lakhs,Consolidated,nselib_xbrl
20MICRONS,2022-01-01,2022-03-31,Yearly,Q4FY22,03-May-202,172.4128,10.6672,3.01,Lakhs,Consolidated,nselib_xbrl
20MICRONS,2022-04-01,2022-06-30,First quarter,Q4FY22,22-Jul-202,185.9114,13.3019,3.758,Lakhs,Consolidated,nselib_xbrl
20MICRONS,2022-07-01,2022-09-30,Half yearly,Q2FY23,12-Nov-202,159.2142,9.8569,2.79,Lakhs,Standalone,nselib_xbrl
20MICRONS,2022-10-01,2022-12-31,Third quarter,Q3FY23,27-Jan-202,154.7142,7.3818,2.09,Lakhs,Consolidated,nselib_xbrl
20MICRONS,2023-01-01,2023-03-31,Yearly,Q4FY23,17-May-202,173.2841,9.3188,2.64,Lakhs,Consolidated,nselib_xbrl
20MICRONS,2023-04-01,2023-06-30,First quarter,Q4FY23,21-Jul-202,161.8336,13.8621,3.93,Lakhs,Standalone,nselib_xbrl
20MICRONS,2023-07-01,2023-09-30,Half yearly,Q2FY24,26-Oct-202,199.7025,16.0537,4.54,Lakhs,Consolidated,nselib_xbrl
20MICRONS,2023-10-01,2023-12-31,Third quarter,Q3FY24,25-Jan-202,174.889,11.5054,3.25,Lakhs,Consolidated,nselib_xbrl
20MICRONS,2024-01-01,2024-03-31,Yearly,Q4FY24,17-May-202,212.3426,13.6665,3.87,Lakhs,Consolidated,nselib_xbrl
20MICRONS,2024-04-01,2024-06-30,First quarter,Q4FY24,26-Jul-202,200.7587,16.2721,4.61,Lakhs,Standalone,nselib_xbrl
20MICRONS,2024-07-01,2024-09-30,Half yearly,Q2FY25,25-Oct-202,240.1794,16.4473,4.65,Lakhs,Consolidated,nselib_xbrl
20MICRONS,2024-10-01,2024-12-31,Third quarter,Q3FY25,23-Jan-202,214.6504,12.9214,3.65,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2020-07-01,2020-09-30,Half yearly,Q2FY21,06-Nov-202,-1.4614,,-1.85,Lakhs,Standalone,nselib_xbrl
21STCENMGM,2020-10-01,2020-12-31,Third quarter,Q3FY21,04-Feb-202,6.365,5.952,5.67,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2021-01-01,2021-03-31,Yearly,Q4FY21,12-Jun-202,-2.1548,-2.6442,-2.52,Lakhs,Standalone,nselib_xbrl
21STCENMGM,2021-04-01,2021-06-30,First quarter,Q4FY21,27-Jul-202,80.6969,10.3083,9.82,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2021-07-01,2021-09-30,Half yearly,Q2FY22,21-Oct-202,192.5504,30.5086,29.06,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2021-10-01,2021-12-31,Third quarter,Q3FY22,27-Jan-202,-4.4151,-16.4435,-15.66,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2022-01-01,2022-03-31,Yearly,Q4FY22,26-May-202,-8.9948,-9.7156,-9.25,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2022-04-01,2022-06-30,First quarter,Q1FY23,11-Aug-202,-3.9189,-4.4991,-4.28,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2022-07-01,2022-09-30,Half yearly,Q2FY23,10-Nov-202,-1.3065,-1.6617,-1.58,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2022-10-01,2022-12-31,Third quarter,Q3FY23,09-Feb-202,-3.5966,-4.0641,-3.87,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2023-01-01,2023-03-31,Yearly,Q4FY23,25-May-202,-0.3476,-7.8387,-7.47,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2023-04-01,2023-06-30,First quarter,Q1FY24,10-Aug-202,1.0056,-2.7747,-2.64,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2023-07-01,2023-09-30,Half yearly,Q2FY24,09-Nov-202,2.7871,2.3,2.19,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2023-10-01,2023-12-31,Third quarter,Q3FY24,08-Feb-202,16.577,16.0619,15.3,Lakhs,Standalone,nselib_xbrl
21STCENMGM,2024-01-01,2024-03-31,Yearly,Q4FY24,28-May-202,18.1845,16.616,15.82,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2024-04-01,2024-06-30,First quarter,Q4FY24,25-Jul-202,14.4297,13.9019,13.24,Lakhs,Standalone,nselib_xbrl
21STCENMGM,2024-07-01,2024-09-30,Half yearly,Q2FY25,07-Nov-202,14.0143,2.4136,2.3,Lakhs,Consolidated,nselib_xbrl
21STCENMGM,2024-10-01,2024-12-31,Third quarter,Q3FY25,07-Feb-202,-2.1813,-3.7157,-3.54,Lakhs,Consolidated,nselib_xbrl
360ONE,2023-01-01,2023-03-31,Yearly,Q4FY23,05-May-202,479.91,155.41,4.37,Crores,Consolidated,nselib_xbrl
360ONE,2023-04-01,2023-06-30,First quarter,Q4FY23,21-Jul-202,558.96,183.58,5.15,Crores,Consolidated,nselib_xbrl
360ONE,2023-07-01,2023-09-30,Half yearly,Q2FY24,03-Nov-202,554.6,185.91,5.21,Crores,Consolidated,nselib_xbrl
360ONE,2023-10-01,2023-12-31,Third quarter,Q3FY24,19-Jan-202,647.68,192.11,5.36,Crores,Consolidated,nselib_xbrl
360ONE,2024-01-01,2024-03-31,Yearly,Q4FY24,24-Apr-202,12.43,200.68,5.6,Crores,Standalone,nselib_xbrl
360ONE,2024-04-01,2024-06-30,First quarter,Q4FY24,31-Jul-202,12.43,26.7,0.74,Crores,Standalone,nselib_xbrl
360ONE,2024-07-01,2024-09-30,Half yearly,Q2FY25,22-Oct-202,862.76,245.49,6.75,Crores,Consolidated,nselib_xbrl
360ONE,2024-10-01,2024-12-31,Third quarter,Q3FY25,28-Jan-202,759.83,276.47,7.26,Crores,Consolidated,nselib_xbrl
3IINFOLTD,2021-07-01,2021-09-30,Half yearly,Q2FY22,09-Nov-202,58.63,-12.42,-0.77,Lakhs,Standalone,nselib_xbrl
3IINFOLTD,2021-10-01,2021-12-31,Third quarter,Q3FY22,09-Feb-202,165.7,-22.63,-1.37,Lakhs,Consolidated,nselib_xbrl
3IINFOLTD,2022-01-01,2022-03-31,Yearly,Q4FY22,09-May-202,175.63,-3.9,-0.23,Lakhs,Consolidated,nselib_xbrl
3IINFOLTD,2022-04-01,2022-06-30,First quarter,Q4FY22,29-Jul-202,62.58,25.54,1.52,Lakhs,Standalone,nselib_xbrl
3IINFOLTD,2022-07-01,2022-09-30,Half yearly,Q2FY23,31-Oct-202,177.13,17.11,1.02,Lakhs,Consolidated,nselib_xbrl
3IINFOLTD,2022-10-01,2022-12-31,Third quarter,Q3FY23,03-Feb-202,69.64,41.5,2.47,Lakhs,Standalone,nselib_xbrl
3IINFOLTD,2023-01-01,2023-03-31,Yearly,Q4FY23,06-May-202,75.4,-21.56,-1.28,Lakhs,Standalone,nselib_xbrl
3IINFOLTD,2023-04-01,2023-06-30,First quarter,Q4FY23,28-Jul-202,194.38,-15.59,-0.93,Lakhs,Consolidated,nselib_xbrl
3IINFOLTD,2023-07-01,2023-09-30,Half yearly,Q2FY24,08-Nov-202,210.28,-154.16,-9.15,Lakhs,Consolidated,nselib_xbrl
3IINFOLTD,2023-10-01,2023-12-31,Third quarter,Q3FY24,07-Feb-202,212.18,-29.44,-1.74,Lakhs,Consolidated,nselib_xbrl
3IINFOLTD,2024-01-01,2024-03-31,Yearly,Q4FY24,31-May-202,197.04,-99.08,-5.87,Lakhs,Consolidated,nselib_xbrl
3IINFOLTD,2024-04-01,2024-06-30,First quarter,Q1FY25,14-Aug-202,179.75,-8.53,-0.5,Lakhs,Consolidated,nselib_xbrl
3IINFOLTD,2024-07-01,2024-09-30,Half yearly,Q2FY25,30-Oct-202,89.4,13.53,0.8,Lakhs,Standalone,nselib_xbrl
3IINFOLTD,2024-10-01,2024-12-31,Third quarter,Q3FY25,29-Jan-202,85.75,13.64,0.81,Lakhs,Standalone,nselib_xbrl
3IINFOTECH,2020-07-01,2020-09-30,Half yearly,Q2FY21,23-Oct-202,86.33,2.58,0.02,Lakhs,Standalone,nselib_xbrl
3IINFOTECH,2020-10-01,2020-12-31,Third quarter,Q3FY21,28-Jan-202,273.31,21.87,0.14,Lakhs,Consolidated,nselib_xbrl
3IINFOTECH,2021-01-01,2021-03-31,Yearly,Q4FY21,18-May-202,149.18,434.9,1.87,Lakhs,Consolidated,nselib_xbrl
3IINFOTECH,2021-04-01,2021-06-30,First quarter,Q1FY22,11-Aug-202,159.86,-7.87,-0.05,Lakhs,Consolidated,nselib_xbrl
3MINDIA,2020-07-01,2020-09-30,Half yearly,Q2FY21,13-Nov-202,690.0048,75.0373,66.61,Lakhs,Consolidated,nselib_xbrl
3MINDIA,2020-10-01,2020-12-31,Third quarter,Q3FY21,10-Feb-202,741.4406,59.3871,52.72,Lakhs,Consolidated,nselib_xbrl
3MINDIA,2021-01-01,2021-03-31,Yearly,Q4FY21,28-May-202,827.2066,70.4696,62.56,Lakhs,Consolidated,nselib_xbrl
