symbol,sector,pe_ratio,pb_ratio,roe_pct,pe_score,roe_score,growth_score,valuation_score,valuation_label,revenue_ttm_cr,profit_ttm_cr,yoy_revenue_pct,yoy_profit_pct,as_of_date
20MICRONS,METAL,12.14,,6.46,89.16893429093992,25.840000000000003,100.0,66.0,FAIR_VALUE,454.83,29.37,,,2024-12-31
21STCENMGM,FINANCIAL_SERVICES,,,-10.99,50.0,0.0,100.0,40.0,MODERATE,11.83,-1.3,,,2024-12-31
360ONE,FINANCIAL_SERVICES,39.2,,32.17,65.02654235624749,100.0,100.0,86.01,CHEAP_QUALITY,1622.59,521.96,,,2024-12-31
3IINFOLTD,IT,5.32,,15.51,95.2536021769193,62.03999999999999,100.0,82.92,CHEAP_QUALITY,175.15,27.17,,,2024-12-31
3MINDIA,DIVERSIFIED,74.86,,11.25,33.2114020609359,45.0,100.0,51.28,MODERATE,2200.75,247.55,,,2024-12-31
3PLAND,FINANCIAL_SERVICES,14.73,,55.17,86.85818798233484,100.0,100.0,94.74,CHEAP_QUALITY,1.74,0.96,,,2024-09-30
5PAISA,FINANCIAL_SERVICES,12.68,,21.73,88.68715706829639,86.92,100.0,90.24,CHEAP_QUALITY,100.79,21.9,,,2024-09-30
63MOONS,IT,,,-94.13,50.0,0.0,100.0,40.0,MODERATE,50.23,-47.28,,,2024-12-31
A2ZINFRA,INFRASTRUCTURE,,,0.25,50.0,1.0,100.0,40.4,MODERATE,162.97,0.41,,,2024-12-31
AAATECH,IT,36.78,,15.03,67.18561805772406,60.12,100.0,70.92,FAIR_VALUE,11.31,1.7,,,2024-12-31
AADHARHFC,FINANCIAL_SERVICES,23.18,,30.01,79.31926662800554,100.0,100.0,91.73,CHEAP_QUALITY,797.61,239.34,,,2024-12-31
AAKASH,OTHER,100.84,,0.8,10.032564571530534,3.2,100.0,25.29,EXPENSIVE_OR_WEAK,46.41,0.37,,,2024-12-31
AAREYDRUGS,,54.25,,0.97,51.59923272516394,3.88,100.0,42.19,MODERATE,238.93,2.31,,,2024-12-31
AARON,CAPITAL_GOODS,16.96,,9.88,84.86862648882546,39.52,100.0,69.76,FAIR_VALUE,36.63,3.62,,,2024-12-31
AARTECH,CAPITAL_GOODS,22.57,,17.46,79.86349645358433,69.84,100.0,79.88,CHEAP_QUALITY,19.19,3.35,,,2024-12-31
AARTIDRUGS,PHARMA,23.27,,6.66,79.23897042423161,26.640000000000004,100.0,62.35,FAIR_VALUE,556.6,37.09,,,2024-12-31
AARTIIND,CHEMICALS,84.38,,2.84,24.717848061738867,11.36,100.0,34.43,EXPENSIVE_OR_WEAK,3467.88,98.32,,,2024-12-31
AARTIPHARM,PHARMA,23.97,,12.92,78.61444439487889,51.68000000000001,100.0,72.12,FAIR_VALUE,995.8,128.61,,,2024-12-31
AARTISURF,CHEMICALS,44.28,,1.2,60.49426774323059,4.8,100.0,46.12,MODERATE,150.84,1.81,,,2024-09-30
AARVEEDEN,,,,6.16,50.0,24.64,100.0,49.86,MODERATE,21.42,1.32,,,2024-12-31
AARVI,OTHER,25.42,,1.74,77.32078333407682,6.959999999999999,100.0,53.71,MODERATE,120.96,2.11,,,2024-09-30
AAVAS,FINANCIAL_SERVICES,20.45,,25.03,81.75491814248115,100.0,100.0,92.7,CHEAP_QUALITY,1175.9,294.33,,,2024-12-31
ABAN,,,,-169.26,50.0,0.0,100.0,40.0,MODERATE,231.51,-391.86,,,2024-12-31
ABB,CAPITAL_GOODS,76.39,,15.43,31.84636659677923,61.72,100.0,57.43,FAIR_VALUE,6277.09,968.86,,,2024-12-31
ABCAPITAL,FINANCIAL_SERVICES,36.02,,7.72,67.86367488959272,30.879999999999995,100.0,59.5,FAIR_VALUE,9381.35,724.38,,,2024-12-31
ABDL,FMCG,89.14,,2.4,20.471071062140346,9.6,100.0,32.03,EXPENSIVE_OR_WEAK,4371.49,105.03,,,2024-12-31
ABFRL,RETAIL,,,-5.89,50.0,0.0,100.0,40.0,MODERATE,3643.86,-214.7,,,2024-09-30
ABHISHEK,,,,-39.93,50.0,0.0,100.0,40.0,MODERATE,2.68,-1.07,,,2024-12-31
ABINFRA,INFRASTRUCTURE,3.49,,7.24,96.8862916536557,28.96,100.0,70.34,FAIR_VALUE,122.27,8.85,,,2024-12-31
ABMINTLLTD,TEXTILES,,,-12.35,50.0,0.0,100.0,40.0,MODERATE,16.68,-2.06,,,2024-12-31
ABREL,REALTY,,,-1.9,50.0,0.0,100.0,40.0,MODERATE,2084.26,-39.55,,,2024-12-31
ABSLAMC,RETAIL,37.1,,50.43,66.90012044430567,100.0,100.0,86.76,CHEAP_QUALITY,445.11,224.47,,,2024-12-31
ACC,CEMENT,5.71,,18.42,94.90565196056563,73.68,100.0,87.43,CHEAP_QUALITY,5927.38,1091.79,,,2024-12-31
ACCELYA,IT,13.07,,25.7,88.33920685194272,100.0,100.0,95.34,CHEAP_QUALITY,244.07,62.72,,,2024-12-31
ACCURACY,LOGISTICS,30.44,,0.28,72.84203952357586,1.12,100.0,49.58,MODERATE,507.39,1.41,,,2024-12-31
ACE,AUTO,29.52,,12.65,73.66284516215373,50.6,100.0,69.71,FAIR_VALUE,1631.8,206.5,,,2024-12-31
ACEINTEG,DEFENCE,,,-4.79,50.0,0.0,100.0,40.0,MODERATE,4.59,-0.22,,,2024-12-31
ACI,CHEMICALS,33.57,,19.74,70.04951599232724,78.96,100.0,79.6,CHEAP_QUALITY,242.29,47.82,,,2024-12-31
ACL,CEMENT,,,-64.87,50.0,0.0,100.0,40.0,MODERATE,121.19,-78.61,,,2024-12-31
ACLGATI,,,,-0.08,50.0,0.0,100.0,40.0,MODERATE,866.9,-0.66,,,2024-12-31
ACMESOLAR,POWER,80.1,,20.93,28.536378641209804,83.72,100.0,64.9,FAIR_VALUE,608.6,127.36,,,2024-12-31
ADANIENSOL,POWER,61.22,,12.51,45.38073783289468,50.03999999999999,100.0,58.17,FAIR_VALUE,6183.7,773.39,,,2024-09-30
ADANIENT,INFRASTRUCTURE,10842.86,,1.0,0.0,4.0,100.0,21.6,EXPENSIVE_OR_WEAK,22848.42,228.64,,,2024-12-31
