symbol,series,date,announcement_type,text_snippet
360ONE,EQ,2026-04-27,DIVIDEND,Interim Dividend - Rs 6 Per Share
5PAISA,EQ,2026-03-17,FUNDRAISE,Rights 1:2 @ Premium Rs 290/-
AARTIDRUGS,EQ,2026-02-09,DIVIDEND,Interim Dividend - Rs 2 Per Share
AARTIPHARM,EQ,2026-02-16,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
ABB,EQ,2026-05-02,DIVIDEND,Dividend - Rs 29.59 Per Share
ABDL,EQ,2026-06-26,DIVIDEND,Dividend - Rs 5.40 Per Share
ACC,EQ,2026-06-12,DIVIDEND,Dividend - Rs 7.50 Per Share
ACCELYA,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 45 Per Share
ACI,EQ,2026-06-05,DIVIDEND,Dividend - Rs 2.50 Per Share
ACMESOLAR,EQ,2026-02-06,DIVIDEND,Interim Dividend - Re 0.20 Per Share
ADANIENT,EQ,2026-06-12,DIVIDEND,Dividend - Rs 1.30 Per Share
ADANIPORTS,EQ,2026-06-12,DIVIDEND,Dividend - Rs 7.50 Per Share
ADVANIHOTR,EQ,2026-05-29,DIVIDEND,Interim Dividend - Rs 0.80 Per Share
ADVANIHOTR,EQ,2026-01-30,DIVIDEND,Interim Dividend - Re 1 Per Share
AHCL,EQ,2026-04-24,BONUS,Bonus 1:1
AHCL,EQ,2026-04-24,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
AIIL,EQ,2026-01-13,BONUS,Bonus 4:1
AJMERA,EQ,2026-01-15,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
ALICON,EQ,2026-05-19,DIVIDEND,Interim Dividend - Rs 2 Per Share
ALKEM,EQ,2026-02-20,DIVIDEND,Interim Dividend - Rs 43 Per Share
ALKYLAMINE,EQ,2026-06-26,DIVIDEND,Dividend - Rs 10 Per Share
ALLDIGI,EQ,2026-02-04,DIVIDEND,Interim Dividend - Rs 30 Per Share
AMBUJACEM,EQ,2026-06-12,DIVIDEND,Dividend - Rs 2 Per Share
AMRUTANJAN,EQ,2026-02-07,DIVIDEND,Interim Dividend - Re 1 Per Share
ANANDRATHI,EQ,2026-06-03,BONUS,Bonus 1:1
ANANDRATHI,EQ,2026-05-15,DIVIDEND,Dividend - Rs 7 Per Share
ANGELONE,EQ,2026-03-27,DIVIDEND,Interim Dividend - Rs  1.75 Per Share
ANGELONE,EQ,2026-02-26,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
ANGELONE,EQ,2026-01-21,DIVIDEND,Interim Dividend - Rs 23 Per Share
ANTHEM,EQ,2026-06-26,DIVIDEND,Dividend - Rs 2 Per Share
APCOTEXIND,EQ,2026-06-12,DIVIDEND,Dividend - Rs 5.50 Per Share
APCOTEXIND,EQ,2026-02-04,DIVIDEND,Interim Dividend - Rs 2.50 Per Sh
APOLLOHOSP,EQ,2026-02-16,DIVIDEND,Interim Dividend - Rs 10 Per Sh
APOLLOTYRE,EQ,2026-02-10,DIVIDEND,Interim Dividend - Rs 3.50 Per Share
APTECHT,EQ,2026-05-28,DIVIDEND,Interim Dividend - Rs. 4.5 Per Share
APTUS,EQ,2026-05-15,DIVIDEND,Interim Dividend - Rs 2.50 Per Share
AQYLON,EQ,2026-03-05,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
ARSSBL,EQ,2026-06-23,DIVIDEND,Dividend - Rs 5 Per Share
ASHIANA,EQ,2026-02-19,DIVIDEND,Interim Dividend - Re 1 Per Share
ASHOKLEY,EQ,2026-06-03,DIVIDEND,Interim Dividend - Rs 2.50 Per Share
ASIANPAINT,EQ,2026-06-23,DIVIDEND,Dividend - Rs 23 Per Share
ASTERDM,EQ,2026-04-03,DIVIDEND,Interim Dividend - Rs 3 Per Share
ATGL,EQ,2026-06-12,DIVIDEND,Dividend - Rs 0.25 Per Share
AUROPHARMA,EQ,2026-04-17,BUYBACK,Buy Back
AVANTEL,EQ,2026-06-12,DIVIDEND,Dividend - Rs 0.20 Per Share
AVG,EQ,2026-05-21,FUNDRAISE,Rights 8:33 @ Premium Rs 135/-
AVROIND,EQ,2026-05-05,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
AVTNPL,EQ,2026-02-19,DIVIDEND,Interim Dividend - Re 0.35 Per Share
AWL,EQ,2026-06-19,DIVIDEND,Dividend - Re 1 Per Share
AXITA,EQ,2026-02-13,BONUS,Bonus 1:10
BAJAJ-AUTO,EQ,2026-06-24,BUYBACK,Buy Back
BAJAJ-AUTO,EQ,2026-05-29,DIVIDEND,Dividend - Rs 150 Per Share
BAJAJFINSV,EQ,2026-06-30,DIVIDEND,Dividend - Rs 1.50 Per Share
BAJAJHLDNG,EQ,2026-06-30,DIVIDEND,Dividend - Rs 130 Per Share
BAJFINANCE,EQ,2026-06-30,DIVIDEND,Dividend - Rs 6 Per Share
BALKRISIND,EQ,2026-02-02,DIVIDEND,Interim Dividend - Rs 4 Per Share
BALMLAWRIE,EQ,2026-03-11,DIVIDEND,Interim Dividend - Rs 4.25 Per Share
BANCOINDIA,EQ,2026-03-19,DIVIDEND,Interim Dividend - Rs 8 Per Share
BANKBARODA,EQ,2026-06-05,DIVIDEND,Dividend - Rs 8.50 Per Share
BANKINDIA,EQ,2026-05-29,DIVIDEND,Dividend - Rs 4.65 Per Share
BBTC,EQ,2026-02-20,DIVIDEND,Interim Dividend - Rs 17 Per Share
BCPL,EQ,2026-05-29,DIVIDEND,Dividend - Rs 1  Per Share
BDL,EQ,2026-02-09,DIVIDEND,Interim Dividend - Rs 4.50 Per Share
BECTORFOOD,EQ,2026-02-17,DIVIDEND,Interim Dividend - Rs 0.60 Per Share
BEL,EQ,2026-03-06,DIVIDEND,Interim Dividend - Rs 1.95 Per Share
BEML,EQ,2026-06-05,DIVIDEND,Interim Dividend - Rs 2.30 Per Share
BEML,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 2.50 Per Share
BEPL,EQ,2026-02-19,DIVIDEND,Interim Dividend - Re 1 Per Share
BESTAGRO,EQ,2026-01-16,BONUS,Bonus 1:2
BESTAGRO,EQ,2026-01-16,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
BHANDARI,EQ,2026-02-25,FUNDRAISE,Rights 4:5 @ Premium Rs 1.56/-
BHARATFORG,EQ,2026-02-18,DIVIDEND,Interim Dividend - Rs 2 Per Share
BLISSGVS,EQ,2026-02-18,DIVIDEND,Interim Dividend - Re 0.50 Per Share
BLS,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 2 Per Share
BLSE,EQ,2026-02-13,DIVIDEND,Interim Dividend - Re 0.50 Per Share
BMWVENTLTD,EQ,2026-02-10,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
BPCL,EQ,2026-02-02,DIVIDEND,Interim Dividend - Rs 10 Per Share
BRIGADE,EQ,2026-06-17,BONUS,Bonus 1:3
BUILDPRO,EQ,2026-06-24,DIVIDEND,Dividend - Rs 5 Per Share
CAMS,EQ,2026-01-30,DIVIDEND,Interim Dividend - Rs 3.50 Per Share
CANBK,EQ,2026-06-12,DIVIDEND,Dividend - Rs 4.20 Per Share
CANTABIL,EQ,2026-02-20,DIVIDEND,Interim Dividend - Re 0.75 Per Share
CAPITALSFB,EQ,2026-06-18,DIVIDEND,Dividend - Rs 5 Per Share
CAPLIPOINT,EQ,2026-05-30,DIVIDEND,Interim Dividend - Rs 4 Per Share
CARBORUNIV,EQ,2026-02-04,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
CARERATING,EQ,2026-06-26,DIVIDEND,Dividend - Rs 14 Per Share
CASTROLIND,EQ,2026-03-23,DIVIDEND,Dividend - Rs 5.25 Per Share
CCL,EQ,2026-02-10,DIVIDEND,Interim Dividend - Rs 2.75 Per Share
CEMPRO,EQ,2026-06-12,DIVIDEND,Dividend - Rs 3 Per Share
CENTRALBK,EQ,2026-05-08,DIVIDEND,Interim Dividend - Rs 0.60 Per Share
CENTRALBK,EQ,2026-01-23,DIVIDEND,Interim Dividend - Re 0.20 Per Share
CGPOWER,EQ,2026-02-01,DIVIDEND,Interim Dividend - Rs 1.30 Per Share
CHEMCON,EQ,2026-05-28,DIVIDEND,Interim Dividend - Rs 6.50 Per Share
CHENNPETRO,EQ,2026-04-02,DIVIDEND,Interim Dividend - Rs 8 Per Share
CHOLAFIN,EQ,2026-02-05,DIVIDEND,Interim Dividend - Rs 1.30 Per Share
