symbol,period,quarter_end_date,promoter_pct,fii_pct,dii_pct,public_pct,promoter_delta,fii_delta,dii_delta,conviction_signal,as_of_date,source,submission_date
20MICRONS,Q1FY25,30-JUN-2024,44.95,0.78,0.06,55.05,,,,STABLE,2026-07-08,nse_xbrl,11-JUL-2024
20MICRONS,Q2FY25,30-SEP-2024,44.99,1.0,0.02,55.01,0.04,0.22,-0.04,STABLE,2026-07-08,nse_xbrl,15-OCT-2024
20MICRONS,Q3FY25,31-DEC-2024,45.04,0.87,0.02,54.96,0.05,-0.13,0.0,STABLE,2026-07-08,nse_xbrl,17-JAN-2025
20MICRONS,Q4FY25,31-MAR-2025,45.04,0.84,0.15,54.96,0.0,-0.03,0.13,STABLE,2026-07-08,nse_xbrl,18-APR-2025
20MICRONS,Q1FY26,30-JUN-2025,45.04,0.88,0.15,54.96,0.0,0.04,0.0,STABLE,2026-07-08,nse_xbrl,15-JUL-2025
20MICRONS,Q2FY26,30-SEP-2025,45.04,0.26,0.18,54.96,0.0,-0.62,0.03,STABLE,2026-07-08,nse_xbrl,17-OCT-2025
20MICRONS,Q3FY26,31-DEC-2025,45.04,0.26,0.0699999999999999,54.96,0.0,0.0,-0.11,STABLE,2026-07-08,nse_xbrl,16-JAN-2026
20MICRONS,Q4FY26,31-MAR-2026,45.04,0.41,0.11,54.96,0.0,0.15,0.04,STABLE,2026-07-08,nse_xbrl,17-APR-2026
21STCENMGM,Q2FY23,30-SEP-2022,61.29,1.73,0.15,38.71,,,,STABLE,2026-07-08,nse_xbrl,18-OCT-2022
21STCENMGM,Q1FY25,30-JUN-2024,64.3,0.0,0.0,35.7,,,,STABLE,2026-07-08,nse_xbrl,05-JUL-2024
21STCENMGM,Q2FY25,30-SEP-2024,64.09,0.0,0.0,35.91,-0.21,0.0,0.0,STABLE,2026-07-08,nse_xbrl,10-OCT-2024
21STCENMGM,Q3FY25,31-DEC-2024,64.09,0.0,0.0,35.91,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,13-JAN-2025
21STCENMGM,Q4FY25,31-MAR-2025,64.43,0.0,0.0,35.57,0.34,0.0,0.0,STABLE,2026-07-08,nse_xbrl,05-APR-2025
21STCENMGM,Q1FY26,30-JUN-2025,64.43,0.0,0.0,35.57,0.0,0.0,0.0,STABLE,2026-07-08,screener,17-JUL-2025
360ONE,Q1FY25,30-JUN-2024,15.79,64.56,8.72,84.21,,,,STABLE,2026-07-08,nse_xbrl,19-JUL-2024
360ONE,Q2FY25,30-SEP-2024,15.71,65.58,8.46,84.29,-0.08,1.02,-0.26,FII_ACCUMULATION,2026-07-08,nse_xbrl,10-OCT-2024
360ONE,Q3FY25,29-OCT-2024,14.78,65.38,9.92,85.22,-0.93,-0.2,1.46,DII_ACCUMULATION,2026-07-08,nse_xbrl,05-NOV-2024
360ONE,Q4FY25,31-MAR-2025,14.2,67.22,8.49,85.8,-0.58,1.84,-1.43,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,18-APR-2025
360ONE,Q1FY26,27-MAY-2025,7.08,66.78,7.59,92.92,-7.12,-0.44,-0.9,PROMOTER_SELLING,2026-07-08,nse_xbrl,08-JUN-2025
360ONE,Q2FY26,30-SEP-2025,6.260000000000001,65.86999999999999,10.68,93.74,-0.82,-0.91,3.09,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,20-OCT-2025
360ONE,Q3FY26,31-DEC-2025,6.25,65.52,10.82,93.75,-0.01,-0.35,0.14,STABLE,2026-07-08,nse_xbrl,21-JAN-2026
360ONE,Q4FY26,31-MAR-2026,6.239999999999999,63.33,12.75,93.76,-0.01,-2.19,1.93,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,21-APR-2026
3IINFOLTD,Q1FY25,30-JUN-2024,0.0,1.0,8.75,100.0,,,,STABLE,2026-07-08,nse_xbrl,20-JUL-2024
3IINFOLTD,Q2FY25,30-SEP-2024,0.0,0.81,7.78,100.0,0.0,-0.19,-0.97,STABLE,2026-07-08,nse_xbrl,18-OCT-2024
3IINFOLTD,Q3FY25,31-DEC-2024,0.0,0.78,7.2,100.0,0.0,-0.03,-0.58,STABLE,2026-07-08,nse_xbrl,21-JAN-2025
3IINFOLTD,Q4FY25,31-MAR-2025,0.0,0.46,6.57,100.0,0.0,-0.32,-0.63,STABLE,2026-07-08,nse_xbrl,08-APR-2025
3IINFOLTD,Q1FY26,30-JUN-2025,0.0,0.7,6.57,100.0,0.0,0.24,0.0,STABLE,2026-07-08,nse_xbrl,21-JUL-2025
3IINFOLTD,Q2FY26,30-SEP-2025,0.0,0.35,16.97,100.0,0.0,-0.35,10.4,DII_ACCUMULATION,2026-07-08,nse_xbrl,18-OCT-2025
3IINFOLTD,Q3FY26,28-OCT-2025,0.0,0.3899999999999999,14.330000000000002,100.0,0.0,0.04,-2.64,STABLE,2026-07-08,nse_xbrl,06-NOV-2025
3IINFOLTD,Q4FY26,31-MAR-2026,0.0,0.31,14.26,100.0,0.0,-0.08,-0.07,STABLE,2026-07-08,nse_xbrl,20-APR-2026
3MINDIA,Q1FY25,30-JUN-2024,75.0,3.77,8.3,25.0,,,,STABLE,2026-07-08,nse_xbrl,19-JUL-2024
