symbol,holding_signal,holding_score,announcement_score,ai_tone_score,management_score,management_label,announcement_types,as_of_date
20MICRONS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
21STCENMGM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
360ONE,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
3IINFOLTD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
3MINDIA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
3PLAND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
5PAISA,STABLE,50.0,45.0,,48.0,NEUTRAL,FUNDRAISE,2026-08-18
63MOONS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
A2ZINFRA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AAATECH,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
AADHARHFC,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
AAKASH,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AARON,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AARTECH,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AARTIDRUGS,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
AARTIIND,FII_DII_ACCUMULATION,75.0,50.0,,65.0,POSITIVE,,2026-08-18
AARTIPHARM,FII_ACCUMULATION,60.0,70.0,,64.0,POSITIVE,DIVIDEND,2026-08-18
AARTISURF,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AARVI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AAVAS,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
ABB,FII_ACCUMULATION,60.0,70.0,,64.0,POSITIVE,DIVIDEND,2026-08-18
ABCAPITAL,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
ABCOTS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ABDL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ABFRL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ABINFRA,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
ABLBL,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
ABMINTLLTD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ABREL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ABSLAMC,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
ACC,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ACCELYA,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ACCURACY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ACE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ACEINTEG,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ACI,DII_ACCUMULATION,55.0,70.0,,61.0,POSITIVE,DIVIDEND,2026-08-18
ACL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ACMESOLAR,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ACUTAAS,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
ADANIENSOL,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
ADANIENT,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ADANIGREEN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ADANIPORTS,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ADANIPOWER,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ADFFOODS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ADL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ADOR,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ADROITINFO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ADSL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ADVAIT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ADVANCE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ADVANIHOTR,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND|DIVIDEND,2026-08-18
ADVENTHTL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ADVENZYMES,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AEGISLOG,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
AEGISVOPAK,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AEPL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AEQUS,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
AEROENTER,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AEROFLEX,PROMOTER_SELLING,20.0,50.0,,32.0,WEAK,,2026-08-18
AERONEU,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AETHER,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AFCONS,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
AFFLE,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
AFSL,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
AGARIND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
