symbol,quarter_end_date,submission_date,window_label,promoter_pct,fii_pct,dii_pct,public_pct,source
20MICRONS,30-JUN-2025,15-JUL-2025,Q1FY26,45.04,0.88,0.15,54.96,nse_xbrl
21STCENMGM,30-JUN-2025,17-JUL-2025,Q1FY26,64.43,0.0,0.0,35.57,screener
3IINFOLTD,30-JUN-2025,21-JUL-2025,Q1FY26,0.0,0.7,6.57,100.0,nse_xbrl
3MINDIA,30-JUN-2025,21-JUL-2025,Q1FY26,75.0,3.84,8.11,25.0,nse_xbrl
3PLAND,30-JUN-2025,18-JUL-2025,Q1FY26,73.3,,0.0,26.7,screener
5PAISA,30-JUN-2025,21-JUL-2025,Q1FY26,32.75,21.62,0.26,67.24,nse_xbrl
63MOONS,30-JUN-2025,18-JUL-2025,Q1FY26,45.63,2.2,0.01,54.37,nse_xbrl
A2ZINFRA,30-JUN-2025,21-JUL-2025,Q1FY26,28.14,0.9,0.1,71.86,nse_xbrl
AAATECH,30-JUN-2025,18-JUL-2025,Q1FY26,34.38,35.2,,28.49,screener
AADHARHFC,30-JUN-2025,17-JUL-2025,Q1FY26,75.5,5.58,8.44,24.5,nse_xbrl
AAKASH,30-JUN-2025,17-JUL-2025,Q1FY26,66.54,0.0,,33.46,screener
AARON,30-JUN-2025,07-JUL-2025,Q1FY26,73.06,0.0,0.43,26.94,nse_xbrl
AARTECH,30-JUN-2025,17-JUL-2025,Q1FY26,52.72,0.0,1.38,47.28,nse_xbrl
AARTIDRUGS,30-JUN-2025,17-JUL-2025,Q1FY26,55.22,2.26,9.94,44.78,nse_xbrl
AARTIIND,30-JUN-2025,21-JUL-2025,Q1FY26,42.24,6.44,20.38,57.76,nse_xbrl
AARTIPHARM,30-JUN-2025,18-JUL-2025,Q1FY26,43.72,7.35,7.79,56.28,nse_xbrl
AARTISURF,30-JUN-2025,21-JUL-2025,Q1FY26,49.92,0.0,0.8,50.08,nse_xbrl
AARVI,30-JUN-2025,14-JUL-2025,Q1FY26,73.53,0.0,,26.53,screener
AAVAS,30-JUN-2025,21-JUL-2025,Q1FY26,48.96,29.77,11.51,51.04,nse_xbrl
ABB,30-JUN-2025,15-JUL-2025,Q1FY26,75.0,9.25,7.66,25.0,nse_xbrl
ABCAPITAL,30-JUN-2025,21-JUL-2025,Q1FY26,68.76,7.16,12.06,31.24,nse_xbrl
ABDL,30-JUN-2025,18-JUL-2025,Q1FY26,80.91,2.82,4.74,19.09,nse_xbrl
ABFRL,30-JUN-2025,21-JUL-2025,Q1FY26,46.57,17.63,12.14,53.07,nse_xbrl
ABMINTLLTD,30-JUN-2025,21-JUL-2025,Q1FY26,74.7,,,25.3,screener
ABREL,30-JUN-2025,21-JUL-2025,Q1FY26,50.21,9.11,16.74,48.75,nse_xbrl
ABSLAMC,30-JUN-2025,21-JUL-2025,Q1FY26,74.88,5.53,10.79,25.12,nse_xbrl
ACC,30-JUN-2025,21-JUL-2025,Q1FY26,56.69,4.66,24.12,43.31,nse_xbrl
ACCELYA,30-JUN-2025,09-JUL-2025,Q1FY26,74.66,2.34,0.34,25.34,nse_xbrl
ACCURACY,30-JUN-2025,18-JUL-2025,Q1FY26,63.69,0.0,0.0,36.31,screener
ACE,30-JUN-2025,19-JUL-2025,Q1FY26,65.41,11.44,2.05,34.52,nse_xbrl
ACEINTEG,30-JUN-2025,13-JUL-2025,Q1FY26,73.53,,,26.47,screener
ACI,30-JUN-2025,19-JUL-2025,Q1FY26,53.44,11.05,24.68,46.56,nse_xbrl
ACL,30-JUN-2025,16-JUL-2025,Q1FY26,75.0,0.0,0.34,10.0,screener
ACMESOLAR,30-JUN-2025,19-JUL-2025,Q1FY26,83.41,5.76,6.61,16.59,nse_xbrl
ACUTAAS,30-JUN-2025,21-JUL-2025,Q1FY26,32.66,16.94,22.38,67.34,nse_xbrl
ADANIENSOL,30-JUN-2025,21-JUL-2025,Q1FY26,71.19,15.85,6.89,28.81,nse_xbrl
ADANIENT,30-JUN-2025,21-JUL-2025,Q1FY26,73.97,11.54,7.04,26.03,nse_xbrl
ADANIGREEN,30-JUN-2025,21-JUL-2025,Q1FY26,61.91,11.58,2.86,38.09,nse_xbrl
ADANIPORTS,30-JUN-2025,21-JUL-2025,Q1FY26,65.89,13.52,15.14,34.11,nse_xbrl
ADANIPOWER,30-JUN-2025,10-JUL-2025,Q1FY26,74.96000000000001,12.46,1.76,25.040000000000003,nse_xbrl
ADFFOODS,30-JUN-2025,18-JUL-2025,Q1FY26,36.13,11.29,22.71,63.87,nse_xbrl
ADL,30-JUN-2025,21-JUL-2025,Q1FY26,72.97,,0.0,27.04,screener
ADOR,30-JUN-2025,21-JUL-2025,Q1FY26,53.7,0.07,11.85,46.3,nse_xbrl
