YEAR,TOTAL_FILES,FIRST_DATE,LAST_DATE,STATUS
1995,221,19950102,19951229,AVAILABLE
1996,235,19960101,19961231,AVAILABLE
1997,242,19970101,19971231,AVAILABLE
1998,246,19980101,19981231,AVAILABLE
1999,249,19990101,19991230,AVAILABLE
2000,250,20000103,20001229,AVAILABLE
2001,248,20010101,20011231,AVAILABLE
2002,251,20020101,20021231,AVAILABLE
2003,251,20030101,20031231,AVAILABLE
2004,252,20040101,20041231,AVAILABLE
2005,249,20050103,20051230,AVAILABLE
2006,247,20060102,20061229,AVAILABLE
2007,249,20070102,20071231,AVAILABLE
2008,246,20080101,20081231,AVAILABLE
2009,242,20090101,20091231,AVAILABLE
2010,251,20100104,20101231,AVAILABLE
2011,247,20110103,20111230,AVAILABLE
2012,247,20120102,20121231,AVAILABLE
2013,248,20130101,20131231,AVAILABLE
2014,243,20140101,20141231,AVAILABLE
2015,247,20150101,20151231,AVAILABLE
2016,246,20160101,20161230,AVAILABLE
2017,248,20170102,20171229,AVAILABLE
2018,246,20180101,20181231,AVAILABLE
2019,244,20190101,20191231,AVAILABLE
2020,261,20200101,20201231,AVAILABLE
2021,261,20210101,20211231,AVAILABLE
2022,258,20220103,20221230,AVAILABLE
2023,260,20230102,20231229,AVAILABLE
2024,262,20240101,20241231,AVAILABLE
2025,251,20250101,20251231,AVAILABLE
2026,2,20260605,20260610,AVAILABLE
