SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TRADE_DATE
20MICRONS,EQ,172.95,173.85,168.3,170.55,48787,2024-01-22
360ONE,EQ,638.15,643.75,630.1,637.65,77610,2024-01-22
3IINFOLTD,EQ,54.0,56.85,53.4,55.6,2109841,2024-01-22
3MINDIA,EQ,34260.0,34260.0,33500.0,33829.5,2358,2024-01-22
3PLAND,EQ,36.4,37.45,35.7,37.4,111463,2024-01-22
5PAISA,EQ,645.0,649.0,625.0,626.8,87537,2024-01-22
AARON,EQ,285.25,289.85,279.05,284.1,9000,2024-01-22
AARTECH,EQ,140.05,146.45,137.95,144.8,37070,2024-01-22
AARTIDRUGS,EQ,535.2,538.5,531.0,536.9,194071,2024-01-22
AARTIIND,EQ,684.6,688.95,659.05,670.15,3267220,2024-01-22
AARTIPHARM,EQ,535.0,539.0,519.1,524.4,76658,2024-01-22
AARTISURF,EQ,757.5,810.0,740.0,754.95,431168,2024-01-22
AARVEEDEN,EQ,29.15,29.95,28.85,29.2,23773,2024-01-22
AARVI,EQ,153.2,154.1,151.1,151.6,18419,2024-01-22
AAVAS,EQ,1496.2,1540.0,1496.05,1525.65,60704,2024-01-22
ABB,EQ,4845.0,4845.0,4730.0,4750.95,49467,2024-01-22
ABBOTINDIA,EQ,25899.95,25949.9,24832.05,25204.55,22332,2024-01-22
ABCAPITAL,EQ,175.7,176.1,173.7,174.1,1350702,2024-01-22
ABFRL,EQ,224.7,226.6,223.95,225.75,1389852,2024-01-22
ABSLAMC,EQ,484.0,492.4,479.3,489.1,67483,2024-01-22
ABSLBANETF,EQ,46.57,46.58,46.0,46.49,253219,2024-01-22
ABSLLIQUID,EQ,1000.0,1000.0,999.99,1000.0,521,2024-01-22
ABSLNN50ET,EQ,57.3,58.0,56.26,56.53,3554,2024-01-22
ACC,EQ,2279.0,2310.0,2250.05,2290.1,254530,2024-01-22
ACCELYA,EQ,1820.0,1829.95,1753.95,1767.25,47098,2024-01-22
ACE,EQ,918.7,919.05,901.05,906.05,90509,2024-01-22
ACEINTEG,EQ,39.55,41.35,39.55,40.45,6833,2024-01-22
ACI,EQ,621.0,626.85,618.8,622.7,128599,2024-01-22
ACL,EQ,124.0,124.0,120.0,121.65,39809,2024-01-22
ACLGATI,EQ,127.0,127.4,126.0,126.35,201218,2024-01-22
ADANIENSOL,EQ,1055.0,1150.0,1045.4,1129.05,1689974,2024-01-22
ADANIENT,EQ,2930.0,3015.85,2890.5,2987.9,1878793,2024-01-22
ADANIGREEN,EQ,1580.0,1700.0,1575.4,1678.3,1094274,2024-01-22
ADANIPORTS,EQ,1158.9,1198.75,1150.0,1193.0,2521107,2024-01-22
ADFFOODS,EQ,203.4,205.95,200.85,201.6,91562,2024-01-22
ADORWELD,EQ,1595.0,1633.45,1542.1,1555.25,30099,2024-01-22
ADSL,EQ,188.2,193.0,181.05,187.35,1377943,2024-01-22
ADVANIHOTR,EQ,114.75,119.0,113.55,118.3,154264,2024-01-22
ADVENZYMES,EQ,381.5,384.0,376.0,378.5,95323,2024-01-22
AEGISCHEM,EQ,384.4,385.4,366.25,370.75,310705,2024-01-22
AEROFLEX,EQ,161.8,167.8,161.0,164.5,881539,2024-01-22
AETHER,EQ,874.55,878.8,867.05,870.1,38482,2024-01-22
AFFLE,EQ,1266.0,1285.0,1220.0,1234.3,145021,2024-01-22
AGARIND,EQ,1073.0,1081.7,1043.0,1055.2,52885,2024-01-22
AGI,EQ,792.0,800.7,765.2,771.95,429457,2024-01-22
AGRITECH,EQ,226.45,226.45,215.8,217.35,25832,2024-01-22
AGROPHOS,EQ,48.1,49.45,46.6,47.7,231511,2024-01-22
AGSTRA,EQ,116.45,119.75,113.15,118.15,583268,2024-01-22
AHL,EQ,342.45,346.35,341.1,342.8,49952,2024-01-22
AHLADA,EQ,139.55,144.85,139.55,140.55,35992,2024-01-22
AHLEAST,EQ,169.9,171.0,162.1,164.0,19150,2024-01-22
AHLUCONT,EQ,820.3,827.55,811.0,815.2,8775,2024-01-22
AIAENG,EQ,3739.75,3739.75,3661.55,3673.75,7015,2024-01-22
AIROLAM,EQ,142.0,143.75,137.25,138.85,9928,2024-01-22
AJANTPHARM,EQ,2201.0,2225.95,2200.0,2204.1,7485,2024-01-22
AJMERA,EQ,593.75,605.9,578.35,583.85,181918,2024-01-22
AKG,EQ,23.9,23.9,23.25,23.5,138777,2024-01-22
AKSHARCHEM,EQ,287.25,288.4,280.7,281.9,11589,2024-01-22
AKZOINDIA,EQ,2719.45,2719.8,2666.6,2680.6,4958,2024-01-22
ALBERTDAVD,EQ,1236.15,1288.95,1192.8,1271.45,50619,2024-01-22
ALEMBICLTD,EQ,94.8,95.4,93.65,93.9,572266,2024-01-22
ALICON,EQ,990.0,997.0,975.0,980.65,15319,2024-01-22
ALKALI,EQ,136.65,139.9,134.25,138.15,11618,2024-01-22
ALKEM,EQ,4966.0,4979.0,4849.0,4878.7,24505,2024-01-22
ALKYLAMINE,EQ,2380.0,2454.85,2351.0,2357.45,43453,2024-01-22
ALLCARGO,EQ,79.95,80.2,78.05,78.3,1243324,2024-01-22
ALLSEC,EQ,685.25,690.0,665.05,668.6,14849,2024-01-22
ALOKINDS,EQ,32.5,32.55,31.4,31.65,10789226,2024-01-22
