date,FPI_buy_cr,FPI_sell_cr,FPI_net_cr,MF_buy_cr,MF_sell_cr,MF_net_cr,INSURANCE_buy_cr,INSURANCE_sell_cr,INSURANCE_net_cr,RETAIL_buy_cr,RETAIL_sell_cr,RETAIL_net_cr,OTHERS_buy_cr,OTHERS_sell_cr,OTHERS_net_cr
2024-01-01,1277.19,2165.49,-888.2999999999997,5537.35,4730.51,806.8400000000001,960.94,1156.2,-195.26,,,,,,
2024-01-02,9757.73,8419.37,1338.3599999999988,6695.38,7886.44,-1191.0599999999995,1418.86,1928.63,-509.7700000000002,,,,,,
2024-01-03,8591.92,9477.9,-885.9799999999996,8099.73,8548.47,-448.7399999999998,1675.07,2170.48,-495.4100000000001,,,,,,
2024-01-04,14639.44,13374.51,1264.9300000000003,8950.11,10226.83,-1276.7199999999993,2490.12,2388.82,101.29999999999973,,,,,,
2024-01-05,12200.54,10845.34,1355.2000000000007,7511.95,10280.21,-2768.2599999999993,1752.47,2203.93,-451.4599999999998,,,,,,
2024-01-08,10059.0,9877.62,181.3799999999992,7747.48,7087.94,659.54,1226.89,1852.84,-625.9499999999998,,,,,,
2024-01-09,9604.53,10805.84,-1201.3099999999995,7707.2,7519.07,188.1300000000001,2104.88,2094.72,10.16000000000031,,,,,,
2024-01-10,9275.8,11111.05,-1835.25,7944.75,5612.87,2331.88,1899.02,2111.38,-212.36000000000013,,,,,,
2024-01-11,11263.46,12149.64,-886.1800000000003,9970.92,8507.1,1463.8199999999997,2391.85,2154.43,237.42000000000007,,,,,,
2024-01-12,10928.07,11326.62,-398.5500000000011,9344.57,7799.3,1545.2699999999995,2573.55,1555.24,1018.3100000000002,,,,,,
2024-01-15,11943.93,10927.99,1015.9400000000005,8390.68,9116.18,-725.5,1721.54,1754.75,-33.210000000000036,,,,,,
2024-01-16,11909.05,11354.04,555.0099999999984,7087.25,7671.25,-584.0,2447.39,1892.93,554.4599999999998,,,,,,
2024-01-17,17015.236173942,27482.475471481004,-10467.239297539003,12589.94242936,8519.483781226001,4070.4586481339993,2064.22317149,1902.170893768,162.05227772199987,,,,,,
