Date,Theme,Open,High,Low,Close,Volume,Daily_Change
2016-05-30,NIFTY INFRA,2755.050048828125,2781.75,2753.60009765625,2778.35009765625,1022700,0.85
2016-05-31,NIFTY INFRA,2781.699951171875,2781.699951171875,2749.550048828125,2753.550048828125,2888600,-1.01
2016-06-01,NIFTY INFRA,2758.25,2783.10009765625,2753.89990234375,2769.14990234375,1305200,0.4
2016-06-02,NIFTY INFRA,2763.25,2794.449951171875,2749.64990234375,2787.14990234375,1083000,0.86
2016-06-03,NIFTY INFRA,2786.699951171875,2787.699951171875,2754.75,2759.5,2940000,-0.98
2016-06-06,NIFTY INFRA,2759.800048828125,2764.300048828125,2741.800048828125,2747.60009765625,950500,-0.44
2016-06-07,NIFTY INFRA,2758.550048828125,2781.199951171875,2745.39990234375,2768.35009765625,942700,0.36
2016-06-08,NIFTY INFRA,2784.64990234375,2805.550048828125,2778.550048828125,2801.699951171875,1227600,0.61
2016-06-09,NIFTY INFRA,2810.699951171875,2820.10009765625,2787.199951171875,2790.449951171875,924500,-0.72
2016-06-10,NIFTY INFRA,2784.300048828125,2817.75,2779.050048828125,2792.14990234375,1035400,0.28
2016-06-13,NIFTY INFRA,2769.199951171875,2769.199951171875,2742.050048828125,2752.949951171875,920600,-0.59
2016-06-14,NIFTY INFRA,2758.39990234375,2762.89990234375,2743.449951171875,2756.39990234375,941900,-0.07
2016-06-15,NIFTY INFRA,2768.10009765625,2813.699951171875,2768.10009765625,2812.64990234375,923000,1.61
2016-06-16,NIFTY INFRA,2809.60009765625,2809.60009765625,2759.300048828125,2783.699951171875,1155900,-0.92
2016-06-17,NIFTY INFRA,2793.35009765625,2798.85009765625,2764.050048828125,2784.800048828125,1186200,-0.31
2016-06-20,NIFTY INFRA,2761.64990234375,2821.75,2757.75,2817.60009765625,868400,2.03
2016-06-21,NIFTY INFRA,2818.85009765625,2822.85009765625,2794.800048828125,2798.699951171875,851400,-0.71
2016-06-22,NIFTY INFRA,2802.449951171875,2807.5,2781.89990234375,2793.5,810200,-0.32
2016-06-23,NIFTY INFRA,2783.5,2796.35009765625,2761.699951171875,2788.14990234375,1130500,0.17
2016-06-24,NIFTY INFRA,2714.449951171875,2724.050048828125,2664.60009765625,2720.14990234375,1345500,0.21
2016-06-27,NIFTY INFRA,2706.35009765625,2747.699951171875,2706.35009765625,2740.550048828125,815100,1.26
2016-06-28,NIFTY INFRA,2751.699951171875,2778.0,2751.699951171875,2766.64990234375,969800,0.54
2016-06-29,NIFTY INFRA,2782.449951171875,2803.949951171875,2782.449951171875,2798.699951171875,945000,0.58
2016-06-30,NIFTY INFRA,2812.85009765625,2849.449951171875,2812.85009765625,2845.699951171875,2742100,1.17
2016-07-01,NIFTY INFRA,2851.300048828125,2890.0,2851.25,2882.35009765625,1240300,1.09
2016-07-04,NIFTY INFRA,2895.800048828125,2924.35009765625,2895.199951171875,2918.199951171875,1069700,0.77
2016-07-05,NIFTY INFRA,2920.300048828125,2921.5,2899.5,2909.5,1490800,-0.37
2016-07-07,NIFTY INFRA,2911.0,2915.85009765625,2885.300048828125,2888.25,964500,-0.78
2016-07-08,NIFTY INFRA,2885.300048828125,2886.449951171875,2845.64990234375,2857.199951171875,803000,-0.97
2016-07-11,NIFTY INFRA,2900.39990234375,2920.5,2897.39990234375,2904.89990234375,775100,0.16
2016-07-12,NIFTY INFRA,2918.050048828125,2919.5,2902.699951171875,2915.050048828125,1021100,-0.1
2016-07-13,NIFTY INFRA,2923.10009765625,2923.10009765625,2889.39990234375,2897.25,1363000,-0.88
2016-07-14,NIFTY INFRA,2899.64990234375,2923.300048828125,2890.89990234375,2919.300048828125,900900,0.68
2016-07-15,NIFTY INFRA,2896.64990234375,2947.0,2896.64990234375,2938.60009765625,1177400,1.45
2016-07-18,NIFTY INFRA,2944.699951171875,2953.449951171875,2893.60009765625,2897.800048828125,876400,-1.59
2016-07-19,NIFTY INFRA,2895.699951171875,2917.5,2887.60009765625,2910.0,811700,0.49
2016-07-20,NIFTY INFRA,2912.14990234375,2929.5,2911.39990234375,2926.449951171875,910500,0.49
2016-07-21,NIFTY INFRA,2936.449951171875,2936.449951171875,2898.35009765625,2900.89990234375,917100,-1.21
2016-07-22,NIFTY INFRA,2906.550048828125,2938.050048828125,2900.300048828125,2933.800048828125,802700,0.94
2016-07-25,NIFTY INFRA,2930.10009765625,2964.25,2930.10009765625,2962.699951171875,834100,1.11
2016-07-26,NIFTY INFRA,2966.949951171875,2974.550048828125,2955.14990234375,2961.699951171875,1007800,-0.18
2016-07-27,NIFTY INFRA,2972.5,2993.699951171875,2963.050048828125,2983.050048828125,985900,0.35
2016-07-28,NIFTY INFRA,2997.64990234375,2997.64990234375,2966.35009765625,2979.5,1441900,-0.61
2016-07-29,NIFTY INFRA,2990.800048828125,2990.800048828125,2960.14990234375,2966.5,1120600,-0.81
2016-08-01,NIFTY INFRA,2975.050048828125,2999.199951171875,2918.75,2929.39990234375,1034600,-1.53
2016-08-02,NIFTY INFRA,2934.64990234375,2949.449951171875,2910.75,2915.85009765625,874000,-0.64
2016-08-03,NIFTY INFRA,2920.64990234375,2921.60009765625,2873.199951171875,2877.75,818400,-1.47
2016-08-04,NIFTY INFRA,2899.550048828125,2899.550048828125,2867.050048828125,2888.699951171875,814600,-0.37
2016-08-05,NIFTY INFRA,2904.35009765625,2931.14990234375,2904.35009765625,2928.800048828125,916600,0.84
2016-08-08,NIFTY INFRA,2940.300048828125,2941.699951171875,2910.050048828125,2922.949951171875,984700,-0.59
2016-08-09,NIFTY INFRA,2922.5,2929.699951171875,2898.39990234375,2912.449951171875,1230500,-0.34
2016-08-10,NIFTY INFRA,2917.89990234375,2923.60009765625,2881.89990234375,2888.39990234375,1222100,-1.01
2016-08-11,NIFTY INFRA,2887.25,2889.60009765625,2859.75,2882.800048828125,987000,-0.15
2016-08-12,NIFTY INFRA,2886.85009765625,2911.14990234375,2886.85009765625,2904.35009765625,913500,0.61
2016-08-16,NIFTY INFRA,2909.85009765625,2927.10009765625,2896.949951171875,2918.5,1262900,0.3
2016-08-17,NIFTY INFRA,2918.85009765625,2933.10009765625,2901.800048828125,2914.5,959900,-0.15
2016-08-18,NIFTY INFRA,2919.699951171875,2941.800048828125,2917.449951171875,2938.25,1082700,0.64
2016-08-19,NIFTY INFRA,2947.550048828125,2951.14990234375,2928.800048828125,2946.60009765625,882300,-0.03
2016-08-22,NIFTY INFRA,2953.14990234375,2964.550048828125,2924.39990234375,2935.64990234375,886700,-0.59
2016-08-23,NIFTY INFRA,2933.85009765625,2935.10009765625,2894.60009765625,2924.449951171875,1275000,-0.32
2016-08-24,NIFTY INFRA,2922.35009765625,2937.199951171875,2916.25,2930.949951171875,1053800,0.29
2016-08-25,NIFTY INFRA,2933.35009765625,2937.75,2890.5,2897.39990234375,1818600,-1.23
2016-08-26,NIFTY INFRA,2901.89990234375,2909.25,2865.89990234375,2877.0,1197900,-0.86
2016-08-29,NIFTY INFRA,2880.5,2901.050048828125,2859.449951171875,2899.449951171875,983600,0.66
2016-08-30,NIFTY INFRA,2910.550048828125,2915.14990234375,2891.64990234375,2912.449951171875,774200,0.07
2016-08-31,NIFTY INFRA,2910.64990234375,2944.10009765625,2910.14990234375,2934.89990234375,1468500,0.83
2016-09-01,NIFTY INFRA,2936.050048828125,2941.75,2879.800048828125,2885.64990234375,2415200,-1.72
2016-09-02,NIFTY INFRA,2884.300048828125,2916.39990234375,2871.699951171875,2907.89990234375,1595200,0.82
2016-09-06,NIFTY INFRA,2919.050048828125,2937.75,2914.85009765625,2934.14990234375,1132600,0.52
2016-09-07,NIFTY INFRA,2932.35009765625,2959.449951171875,2915.699951171875,2940.5,1720400,0.28
2016-09-08,NIFTY INFRA,2940.64990234375,2973.449951171875,2937.35009765625,2967.64990234375,1747600,0.92
2016-09-09,NIFTY INFRA,2968.14990234375,2969.14990234375,2929.550048828125,2935.300048828125,1320900,-1.11
2016-09-12,NIFTY INFRA,2891.5,2891.5,2838.10009765625,2842.050048828125,1069700,-1.71
2016-09-14,NIFTY INFRA,2840.050048828125,2872.75,2839.89990234375,2867.60009765625,1079400,0.97
2016-09-15,NIFTY INFRA,2874.60009765625,2877.0,2845.300048828125,2857.14990234375,1205400,-0.61
2016-09-16,NIFTY INFRA,2872.10009765625,2904.25,2858.300048828125,2864.64990234375,1549300,-0.26
2016-09-19,NIFTY INFRA,2868.300048828125,2887.949951171875,2857.10009765625,2885.10009765625,781400,0.59
2016-09-20,NIFTY INFRA,2887.35009765625,2888.550048828125,2864.75,2867.39990234375,707400,-0.69
2016-09-21,NIFTY INFRA,2875.949951171875,2890.949951171875,2860.199951171875,2870.300048828125,752900,-0.2
2016-09-22,NIFTY INFRA,2902.64990234375,2916.050048828125,2890.5,2912.75,842900,0.35
2016-09-23,NIFTY INFRA,2916.449951171875,2931.64990234375,2897.5,2902.64990234375,893800,-0.47
2016-09-26,NIFTY INFRA,2893.050048828125,2910.0,2849.0,2854.0,826900,-1.35
2016-09-27,NIFTY INFRA,2863.64990234375,2869.699951171875,2819.0,2823.949951171875,910500,-1.39
2016-09-28,NIFTY INFRA,2827.85009765625,2870.39990234375,2827.35009765625,2861.449951171875,792000,1.19
2016-09-29,NIFTY INFRA,2872.5,2879.25,2766.89990234375,2780.5,2078600,-3.2
2016-09-30,NIFTY INFRA,2779.25,2798.60009765625,2756.75,2793.39990234375,1562500,0.51
2016-10-03,NIFTY INFRA,2808.199951171875,2859.449951171875,2804.199951171875,2855.35009765625,870700,1.68
2016-10-04,NIFTY INFRA,2864.85009765625,2867.14990234375,2838.199951171875,2858.10009765625,725000,-0.24
2016-10-05,NIFTY INFRA,2869.35009765625,2874.64990234375,2853.85009765625,2861.800048828125,800900,-0.26
2016-10-06,NIFTY INFRA,2876.35009765625,2884.199951171875,2839.050048828125,2848.5,855000,-0.97
2016-10-07,NIFTY INFRA,2851.60009765625,2854.64990234375,2831.0,2846.39990234375,834800,-0.18
2016-10-10,NIFTY INFRA,2854.550048828125,2860.0,2833.949951171875,2837.199951171875,659800,-0.61
2016-10-13,NIFTY INFRA,2823.10009765625,2824.10009765625,2777.550048828125,2782.85009765625,1039400,-1.43
2016-10-14,NIFTY INFRA,2792.699951171875,2815.5,2778.89990234375,2811.25,962800,0.66
2016-10-17,NIFTY INFRA,2813.14990234375,2818.800048828125,2771.449951171875,2776.25,1082300,-1.31
2016-10-18,NIFTY INFRA,2788.35009765625,2833.199951171875,2784.800048828125,2830.25,928600,1.5
2016-10-19,NIFTY INFRA,2837.60009765625,2861.35009765625,2825.050048828125,2853.050048828125,1080200,0.54
2016-10-20,NIFTY INFRA,2864.75,2882.89990234375,2855.75,2879.64990234375,928500,0.52
2016-10-21,NIFTY INFRA,2883.800048828125,2892.800048828125,2865.39990234375,2889.550048828125,1272600,0.2
2016-10-24,NIFTY INFRA,2890.699951171875,2900.64990234375,2873.25,2876.75,1137300,-0.48
2016-10-25,NIFTY INFRA,2873.550048828125,2897.449951171875,2857.5,2895.800048828125,1355700,0.77
2016-10-26,NIFTY INFRA,2893.550048828125,2900.85009765625,2869.800048828125,2879.25,1134200,-0.49
2016-10-27,NIFTY INFRA,2864.25,2870.5,2839.89990234375,2864.64990234375,2809300,0.01
2016-10-28,NIFTY INFRA,2865.75,2883.5,2852.550048828125,2869.75,1361300,0.14
2016-11-01,NIFTY INFRA,2872.550048828125,2890.699951171875,2859.199951171875,2867.300048828125,777500,-0.18
2016-11-02,NIFTY INFRA,2841.5,2851.14990234375,2828.800048828125,2834.75,935200,-0.24
2016-11-03,NIFTY INFRA,2829.35009765625,2849.800048828125,2811.199951171875,2814.0,843300,-0.54
2016-11-04,NIFTY INFRA,2805.75,2811.050048828125,2759.75,2774.39990234375,1193300,-1.12
2016-11-07,NIFTY INFRA,2802.0,2804.60009765625,2768.449951171875,2774.39990234375,874800,-0.99
2016-11-08,NIFTY INFRA,2786.14990234375,2788.0,2761.60009765625,2779.300048828125,935600,-0.25
2016-11-09,NIFTY INFRA,2628.64990234375,2765.39990234375,2580.449951171875,2745.60009765625,1870100,4.45
2016-11-10,NIFTY INFRA,2784.800048828125,2826.64990234375,2782.949951171875,2816.85009765625,966300,1.15
2016-11-11,NIFTY INFRA,2785.10009765625,2790.050048828125,2736.39990234375,2741.75,877400,-1.56
2016-11-15,NIFTY INFRA,2737.300048828125,2744.199951171875,2680.699951171875,2700.449951171875,955900,-1.35
2016-11-16,NIFTY INFRA,2730.050048828125,2731.25,2686.050048828125,2711.25,815700,-0.69
2016-11-17,NIFTY INFRA,2716.550048828125,2728.050048828125,2679.199951171875,2702.75,787700,-0.51
2016-11-18,NIFTY INFRA,2709.39990234375,2729.949951171875,2693.75,2718.199951171875,948000,0.32
2016-11-21,NIFTY INFRA,2729.300048828125,2729.949951171875,2656.5,2661.300048828125,1022600,-2.49
2016-11-22,NIFTY INFRA,2678.300048828125,2681.050048828125,2623.39990234375,2653.300048828125,1120800,-0.93
2016-11-23,NIFTY INFRA,2679.949951171875,2695.0,2661.89990234375,2680.300048828125,1065600,0.01
2016-11-24,NIFTY INFRA,2673.5,2687.449951171875,2655.10009765625,2671.300048828125,1213200,-0.08
2016-11-25,NIFTY INFRA,2684.550048828125,2711.14990234375,2669.10009765625,2707.050048828125,820500,0.84
2016-11-28,NIFTY INFRA,2703.449951171875,2756.800048828125,2698.85009765625,2748.0,1037400,1.65
2016-11-29,NIFTY INFRA,2757.300048828125,2774.449951171875,2750.699951171875,2759.25,1173000,0.07
2016-11-30,NIFTY INFRA,2774.5,2795.449951171875,2755.89990234375,2791.949951171875,1238400,0.63
2016-12-01,NIFTY INFRA,2798.14990234375,2798.14990234375,2762.75,2767.39990234375,1216300,-1.1
2016-12-02,NIFTY INFRA,2753.14990234375,2757.35009765625,2730.550048828125,2737.800048828125,916100,-0.56
2016-12-05,NIFTY INFRA,2733.800048828125,2756.550048828125,2728.5,2748.449951171875,1015600,0.54
2016-12-06,NIFTY INFRA,2760.64990234375,2778.199951171875,2752.35009765625,2759.25,1109200,-0.05
2016-12-07,NIFTY INFRA,2772.300048828125,2777.300048828125,2744.14990234375,2752.39990234375,1260800,-0.72
2016-12-08,NIFTY INFRA,2773.800048828125,2789.64990234375,2769.60009765625,2782.89990234375,1184100,0.33
2016-12-09,NIFTY INFRA,2795.85009765625,2797.60009765625,2769.050048828125,2780.0,777200,-0.57
2016-12-12,NIFTY INFRA,2775.89990234375,2783.85009765625,2763.300048828125,2770.949951171875,727400,-0.18
2016-12-13,NIFTY INFRA,2774.949951171875,2786.75,2766.64990234375,2783.25,695200,0.3
2016-12-14,NIFTY INFRA,2787.699951171875,2787.699951171875,2754.949951171875,2757.449951171875,682200,-1.09
2016-12-15,NIFTY INFRA,2742.39990234375,2772.75,2737.75,2748.949951171875,907200,0.24
2016-12-16,NIFTY INFRA,2755.0,2756.449951171875,2731.64990234375,2736.050048828125,826500,-0.69
2016-12-19,NIFTY INFRA,2738.25,2739.0,2714.35009765625,2717.75,665800,-0.75
2016-12-20,NIFTY INFRA,2721.35009765625,2723.949951171875,2698.800048828125,2706.35009765625,693200,-0.55
