symbol,date,announcement_type,governance_risk,governance_score,dividend_signal,capex_confirm,management_change,sentiment,sentiment_score,key_decision,processed_at,as_of_date
GSPCROP,2026-07-02,BOARD_OUTCOME,LOW,70,NONE,NO,NO,NEUTRAL,0,Board approved Scheme of Arrangement.,2026-07-03 05:07,2026-07-03
SHADOWFAX,2026-07-02,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,Grant of Employee Stock Options under Shadowfax Technologies Limited- Employee Stock Option Plan - 2016.,2026-07-03 05:07,2026-07-03
TIRUPATIFL,2026-07-02,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,Company informed the exchange regarding the issuance of securities.,2026-07-03 05:13,2026-07-03
SWSOLAR,2026-07-02,MANAGEMENT_CHANGE,HIGH,20,NONE,NO,YES,NEGATIVE,-1,The company informed the exchange regarding the resignation of its Statutory Auditor.,2026-07-03 05:13,2026-07-03
NECCLTD,2026-07-02,ACQUISITION,MEDIUM,50,NONE,NO,NO,NEUTRAL,0,Promoter and Director Mr. Utkarsh Jain acquired SG Green Logistics Private Limited individually.,2026-07-03 05:13,2026-07-03
GUJTHEM,2026-07-02,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Submission of disclosure under SEBI Substantial Acquisition of Shares and Takeovers Regulations.,2026-07-03 05:13,2026-07-03
GRPLTD,2026-07-02,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,"Appointment of Ms Sonal Jaju as Company Secretary & Compliance Officer effective July 02, 2026.",2026-07-03 05:14,2026-07-03
HDBFS,2026-07-02,FUNDRAISE,LOW,70,NONE,NO,NO,POSITIVE,1,"Board approved the allotment of 100,000 Non Convertible Securities.",2026-07-03 05:14,2026-07-03
KHADIM,2026-07-02,BOARD_OUTCOME,LOW,70,NONE,NO,NO,POSITIVE,1,Board met to discuss and approve fund raising activities.,2026-07-03 05:14,2026-07-03
NEWGEN,2026-07-02,BOARD_OUTCOME,LOW,70,NONE,NO,NO,NEUTRAL,0,"Board meeting held on July 02, 2026; no specific outcomes disclosed in the text.",2026-07-03 05:14,2026-07-03
KAYNES,2026-07-02,BOARD_OUTCOME,LOW,70,NONE,NO,NO,NEUTRAL,0,Board approved the appointment of the Internal Auditor for FY 2026-27.,2026-07-03 05:14,2026-07-03
RENUKA,2026-07-02,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Mr. Jean-Luc Bohbot resigned as Non-Executive Director effective July 2, 2026.",2026-07-03 05:15,2026-07-03
