symbol,latest_date,dominant_type,score_30d,count_30d,count_90d,high_signal_30d
M&M,2026-08-15,PRESS_RELEASE,2270,38,82,11
SAMMAANCAP,2026-08-17,PRESS_RELEASE,2270,41,115,5
INDIAMART,2026-08-17,ANALYST_MEET,2260,28,49,25
VEDL,2026-08-14,PRESS_RELEASE,2157,34,68,14
MOTHERSON,2026-08-17,PRESS_RELEASE,2067,32,87,14
ESCORTS,2026-08-14,PRESS_RELEASE,1982,30,71,13
LT,2026-08-17,ORDER_WIN,1860,26,53,17
HEG,2026-08-14,PRESS_RELEASE,1785,30,60,12
SHRIRAMFIN,2026-08-14,ANALYST_MEET,1780,27,60,16
APOLLO,2026-08-17,PRESS_RELEASE,1775,29,61,11
GODREJCP,2026-08-14,ANALYST_MEET,1735,28,45,11
PAISALO,2026-08-17,PRESS_RELEASE,1717,30,42,7
STARHEALTH,2026-08-14,ANALYST_MEET,1705,25,49,14
INDUSINDBK,2026-08-17,PRESS_RELEASE,1690,26,56,11
KIRLOSIND,2026-08-13,PRESS_RELEASE,1675,31,69,2
CANFINHOME,2026-08-13,ANALYST_MEET,1645,25,52,11
ZENTEC,2026-08-14,ANALYST_MEET,1636,26,44,11
ULTRACEMCO,2026-08-17,PRESS_RELEASE,1581,28,49,7
PHOENIXLTD,2026-08-17,ANALYST_MEET,1555,20,42,16
JSWENERGY,2026-08-14,PRESS_RELEASE,1515,27,70,5
MPSLTD,2026-08-14,PRESS_RELEASE,1510,25,41,9
TCIEXP,2026-08-17,PRESS_RELEASE,1500,25,58,7
ABCAPITAL,2026-08-17,ANALYST_MEET,1495,24,55,12
VENUSPIPES,2026-08-17,MANAGEMENT_CHANGE,1477,23,43,9
MANYAVAR,2026-08-11,ANALYST_MEET,1476,20,40,14
WESTLIFE,2026-08-14,PRESS_RELEASE,1471,24,29,9
DEEPINDS,2026-08-10,ANALYST_MEET,1470,23,29,13
NAZARA,2026-08-13,PRESS_RELEASE,1470,28,45,7
HIRECT,2026-08-17,PRESS_RELEASE,1469,25,49,8
COALINDIA,2026-08-14,PRESS_RELEASE,1467,27,50,3
3IINFOLTD,2026-08-12,PRESS_RELEASE,1463,23,35,10
SHRIPISTON,2026-08-17,PRESS_RELEASE,1455,23,54,9
POWERICA,2026-08-14,MANAGEMENT_CHANGE,1454,23,58,9
NAUKRI,2026-08-14,PRESS_RELEASE,1445,23,65,9
VAML,2026-08-13,ANALYST_MEET,1437,22,32,12
JSL,2026-08-13,ANALYST_MEET,1435,22,40,11
GAIL,2026-08-15,PRESS_RELEASE,1420,25,47,8
ATHERENERG,2026-08-14,PRESS_RELEASE,1420,24,52,10
UNOMINDA,2026-08-17,ANALYST_MEET,1412,21,47,13
TVSMOTOR,2026-08-14,PRESS_RELEASE,1412,23,52,8
KPITTECH,2026-08-13,ANALYST_MEET,1410,21,42,11
TRUALT,2026-08-13,REGULATORY,1405,28,44,7
RAMBHAJO,2026-08-14,ANALYST_MEET,1395,21,24,9
ZYDUSLIFE,2026-08-17,PRESS_RELEASE,1395,22,57,9
MANAPPURAM,2026-08-17,REGULATORY,1390,25,42,11
POWERGRID,2026-08-14,PRESS_RELEASE,1385,23,57,8
BSE,2026-08-13,ANALYST_MEET,1385,20,56,12
JINDALSTEL,2026-08-13,ANALYST_MEET,1382,22,38,8
CSBBANK,2026-08-15,PRESS_RELEASE,1382,23,44,8
AUROPHARMA,2026-08-17,PRESS_RELEASE,1380,21,52,9
WAAREEENER,2026-08-13,PRESS_RELEASE,1376,20,37,11
UTIAMC,2026-08-13,ANALYST_MEET,1375,20,46,11
BIOCON,2026-08-11,ANALYST_MEET,1375,22,44,9
GLAND,2026-08-17,PRESS_RELEASE,1367,22,40,8
RAINBOW,2026-08-14,ANALYST_MEET,1366,21,45,13
SASKEN,2026-08-17,ANALYST_MEET,1355,21,42,10
INTERARCH,2026-08-14,PRESS_RELEASE,1354,23,36,10
ARSHIYA,2026-08-14,RESULT_UPDATE,1350,15,40,15
URBANCO,2026-08-17,ANALYST_MEET,1350,19,37,12
FEDERALBNK,2026-08-16,ANALYST_MEET,1345,19,65,11
JSLL,2026-08-17,CAPEX_EXPANSION,1336,19,52,13
BANKBARODA,2026-08-17,PRESS_RELEASE,1335,24,56,1
GNFC,2026-08-12,PRESS_RELEASE,1332,23,32,5
SUZLON,2026-08-15,ANALYST_MEET,1332,19,43,14
HFCL,2026-08-15,ANALYST_MEET,1328,19,43,12
SHYAMMETL,2026-08-07,PRESS_RELEASE,1325,23,47,7
HINDALCO,2026-08-13,ANALYST_MEET,1319,20,49,10
SBICARD,2026-08-17,ANALYST_MEET,1307,19,44,11
RAILTEL,2026-08-14,PRESS_RELEASE,1307,20,43,10
IGIL,2026-08-17,ANALYST_MEET,1305,20,39,11
CGCL,2026-08-10,ANALYST_MEET,1304,18,42,11
GRAVITA,2026-08-17,ANALYST_MEET,1300,17,49,14
ICICIBANK,2026-08-17,PRESS_RELEASE,1299,23,67,3
SBIN,2026-08-17,PRESS_RELEASE,1297,20,60,8
LICI,2026-08-17,PRESS_RELEASE,1295,23,60,4
LEMONTREE,2026-08-14,PRESS_RELEASE,1292,19,45,9
GABRIEL,2026-08-07,ANALYST_MEET,1292,22,41,8
COFORGE,2026-08-11,PRESS_RELEASE,1290,22,44,6
MACPOWER,2026-08-17,ANALYST_MEET,1281,17,37,13
ACE,2026-08-10,ANALYST_MEET,1280,17,44,12
SYMPHONY,2026-08-12,ANALYST_MEET,1280,20,35,10
AXISBANK,2026-08-17,ANALYST_MEET,1279,21,77,6
DELHIVERY,2026-08-13,ANALYST_MEET,1275,21,38,8
UPL,2026-08-15,ANALYST_MEET,1272,20,31,10
THOMASCOOK,2026-08-17,PRESS_RELEASE,1270,22,42,6
HINDZINC,2026-08-15,PRESS_RELEASE,1267,21,53,8
HCLTECH,2026-08-17,PRESS_RELEASE,1260,24,76,0
CREDITACC,2026-08-13,ANALYST_MEET,1255,16,42,13
IVALUE,2026-08-07,ANALYST_MEET,1255,20,36,8
ECLERX,2026-08-17,PRESS_RELEASE,1251,19,40,10
FIVESTAR,2026-08-12,PRESS_RELEASE,1250,21,40,6
VARROC,2026-08-14,PRESS_RELEASE,1245,20,54,8
MEDPLUS,2026-08-17,PRESS_RELEASE,1245,21,58,6
POWERINDIA,2026-08-17,ANALYST_MEET,1240,19,38,10
THELEELA,2026-08-14,PRESS_RELEASE,1240,19,31,9
TRANSRAILL,2026-08-14,PRESS_RELEASE,1237,21,47,8
DABUR,2026-08-12,PRESS_RELEASE,1237,24,43,6
VMART,2026-08-13,ANALYST_MEET,1235,19,33,9
GSPCROP,2026-08-17,MANAGEMENT_CHANGE,1231,21,39,8
LENSKART,2026-08-17,PRESS_RELEASE,1230,19,42,9
SANGINITA,2026-08-15,MANAGEMENT_CHANGE,1230,24,46,1
AURUM,2026-08-17,PRESS_RELEASE,1225,23,41,7
SPANDANA,2026-08-17,PRESS_RELEASE,1220,21,34,8
AEQUS,2026-08-14,ANALYST_MEET,1215,20,42,9
SHREEPUSHK,2026-08-17,MANAGEMENT_CHANGE,1214,20,25,8
TRIVENI,2026-08-17,PRESS_RELEASE,1210,19,46,7
ARVSMART,2026-08-14,MANAGEMENT_CHANGE,1210,19,44,8
VISHNU,2026-08-17,PRESS_RELEASE,1210,19,30,8
KAJARIACER,2026-08-14,PRESS_RELEASE,1207,19,44,8
BANDHANBNK,2026-08-17,ANALYST_MEET,1205,18,49,10
LOTUSDEV,2026-08-17,PRESS_RELEASE,1201,18,26,9
RHIM,2026-08-17,PRESS_RELEASE,1200,18,45,8
CAMS,2026-08-12,ANALYST_MEET,1200,17,38,11
DIXON,2026-08-14,ANALYST_MEET,1195,16,36,13
FUSION,2026-08-17,PRESS_RELEASE,1195,21,42,7
CAPILLARY,2026-08-10,ANALYST_MEET,1195,19,29,9
MARUTI,2026-08-14,PRESS_RELEASE,1192,20,44,5
NBCC,2026-08-17,PRESS_RELEASE,1190,20,43,6
SARDAEN,2026-08-14,ANALYST_MEET,1186,18,34,9
SIYSIL,2026-08-10,ANALYST_MEET,1185,18,36,11
BHARTIARTL,2026-08-17,OTHER,1185,26,68,7
ZENSARTECH,2026-08-14,ANALYST_MEET,1182,18,36,9
PREMIERENE,2026-08-17,ANALYST_MEET,1182,17,31,10
BANKINDIA,2026-08-14,ANALYST_MEET,1177,18,52,7
JSWSTEEL,2026-08-12,PRESS_RELEASE,1176,21,58,4
JUBLFOOD,2026-08-14,PRESS_RELEASE,1175,20,42,4
CENTENKA,2026-08-11,PRESS_RELEASE,1170,18,37,8
GREAVESCOT,2026-08-17,PRESS_RELEASE,1170,18,40,9
RELIGARE,2026-08-14,PRESS_RELEASE,1170,19,35,6
SAMBHV,2026-08-17,ANALYST_MEET,1169,20,39,9
NEOGEN,2026-08-01,REGULATORY,1165,21,29,9
AAVAS,2026-08-11,ANALYST_MEET,1165,16,31,11
AYE,2026-08-11,PRESS_RELEASE,1165,18,33,9
SHADOWFAX,2026-08-12,ANALYST_MEET,1165,17,31,10
CESC,2026-08-15,PRESS_RELEASE,1159,19,37,8
APARINDS,2026-08-13,PRESS_RELEASE,1155,19,44,8
CRIZAC,2026-08-11,PRESS_RELEASE,1155,17,35,8
NH,2026-08-17,ANALYST_MEET,1155,18,40,9
REFEX,2026-08-14,ANALYST_MEET,1151,19,50,9
MAXESTATES,2026-08-17,PRESS_RELEASE,1147,21,43,5
SULA,2026-08-14,ANALYST_MEET,1146,16,27,10
GLENMARK,2026-08-15,PRESS_RELEASE,1145,19,40,6
ADANIPOWER,2026-08-17,ANALYST_MEET,1145,17,34,11
KROSS,2026-08-13,ANALYST_MEET,1145,17,20,8
GESHIP,2026-08-13,PRESS_RELEASE,1140,18,38,8
KIRLOSENG,2026-08-13,PRESS_RELEASE,1140,20,52,6
KEC,2026-08-14,PRESS_RELEASE,1132,19,35,8
QUESS,2026-08-06,PRESS_RELEASE,1132,18,28,7
TI,2026-08-15,ANALYST_MEET,1125,18,47,7
HEROMOTOCO,2026-08-17,PRESS_RELEASE,1125,17,42,8
ABDL,2026-08-17,ANALYST_MEET,1122,16,46,9
IKS,2026-08-13,ANALYST_MEET,1120,16,39,11
ROUTE,2026-08-11,PRESS_RELEASE,1120,20,34,5
GUJENERGY,2026-08-17,PRESS_RELEASE,1117,18,51,7
JSWINFRA,2026-08-14,PRESS_RELEASE,1115,19,44,7
KISSHT,2026-08-17,ANALYST_MEET,1115,17,41,9
MASFIN,2026-08-10,PRESS_RELEASE,1115,19,32,8
TATASTEEL,2026-08-14,PRESS_RELEASE,1115,17,52,8
OLAELEC,2026-08-17,PRESS_RELEASE,1112,18,40,6
SHAREINDIA,2026-08-12,PRESS_RELEASE,1110,18,39,10
YESBANK,2026-08-17,PRESS_RELEASE,1109,18,50,5
AFCONS,2026-08-13,PRESS_RELEASE,1109,17,35,9
RBLBANK,2026-08-14,ANALYST_MEET,1107,17,74,8
INTELLECT,2026-08-13,PRESS_RELEASE,1105,18,46,7
HMAAGRO,2026-08-17,PRESS_RELEASE,1105,16,40,8
NYKAA,2026-08-12,PRESS_RELEASE,1105,17,36,8
BANSALWIRE,2026-08-12,BOARD_OUTCOME,1105,18,26,9
EMCURE,2026-08-12,ANALYST_MEET,1105,16,33,9
GHCLTEXTIL,2026-08-12,ANALYST_MEET,1105,16,30,9
CLEANMAX,2026-08-17,ANALYST_MEET,1105,21,55,8
AGI,2026-08-17,ANALYST_MEET,1105,16,28,10
GODREJAGRO,2026-08-12,ANALYST_MEET,1102,18,33,7
TITAN,2026-08-17,ANALYST_MEET,1102,18,50,8
HINDPETRO,2026-08-17,PRESS_RELEASE,1100,17,37,7
EFCIL,2026-08-17,ANALYST_MEET,1100,17,39,9
AWHCL,2026-08-17,PRESS_RELEASE,1097,17,32,8
MUTHOOTMF,2026-08-17,PRESS_RELEASE,1095,18,37,6
BEML,2026-08-14,ANALYST_MEET,1091,16,36,8
UDS,2026-08-11,ANALYST_MEET,1090,17,33,9
DRREDDY,2026-08-14,PRESS_RELEASE,1090,19,44,3
LATENTVIEW,2026-08-10,ANALYST_MEET,1090,18,38,7
MBEL,2026-08-14,PRESS_RELEASE,1087,18,23,8
JAINREC,2026-08-12,ANALYST_MEET,1087,21,37,6
WHIRLPOOL,2026-08-17,PRESS_RELEASE,1085,20,39,5
SAGILITY,2026-08-10,ANALYST_MEET,1085,17,36,8
NTPC,2026-08-07,PRESS_RELEASE,1080,18,47,6
SUMEETINDS,2026-08-17,PRESS_RELEASE,1080,17,33,7
SBIFUNDS,2026-08-12,PRESS_RELEASE,1080,18,18,7
BAJAJFINSV,2026-08-17,ANALYST_MEET,1075,15,27,11
SBCL,2026-08-13,PRESS_RELEASE,1075,19,32,5
RADICO,2026-08-13,ANALYST_MEET,1070,17,39,7
SANOFI,2026-08-13,MANAGEMENT_CHANGE,1070,17,26,5
CDSL,2026-08-13,PRESS_RELEASE,1070,17,36,7
RPGLIFE,2026-08-15,PRESS_RELEASE,1070,20,37,3
INDIGO,2026-08-03,PRESS_RELEASE,1070,19,44,5
PNBHOUSING,2026-08-17,ANALYST_MEET,1070,17,41,7
HYUNDAI,2026-08-14,PRESS_RELEASE,1070,17,31,7
HEXAGON,2026-08-17,ANALYST_MEET,1067,17,41,8
