date,symbol,company,deal_type,client_name,participant,direction,qty,price,value_cr,seq_id
2026-01-12,FORCEMOT,Force Motors Limited,BLOCK,POONAWALLA AVIATION PRIVATE LIMITED,RETAIL,BUY,38740.0,19790.0,76.6665,0
2026-01-12,FORCEMOT,Force Motors Limited,BLOCK,SERUM INSTITUTE OF INDIA PRIVATE LIMITED,RETAIL,SELL,38740.0,19790.0,76.6665,1
2026-01-12,AUSOMENT,Ausom Enterprise Limited,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,BUY,75509.0,144.77,1.0931,681
2026-01-12,AUSOMENT,Ausom Enterprise Limited,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,SELL,75509.0,145.0,1.0949,682
2026-01-12,BAGDIGITAL,B.A.G.Convergence Limited,BULK,ABUNDANTIA CAPITAL VCC - ABUNDANTIA CAPITAL III,RETAIL,SELL,600000.0,110.45,6.627,683
2026-01-12,BAGDIGITAL,B.A.G.Convergence Limited,BULK,RAMAN  TALWAR,RETAIL,BUY,443200.0,110.25,4.8863,684
2026-01-12,DAVANGERE,Davangere Sugar Company L,BULK,ARIHANT CAPITAL MARKETS LIMITED,RETAIL,SELL,4977982.0,4.45,2.2152,685
2026-01-12,DAVANGERE,Davangere Sugar Company L,BULK,ARIHANT CAPITAL MARKETS LIMITED,RETAIL,BUY,8125325.0,4.46,3.6239,686
2026-01-12,IEX,Indian Energy Exc Ltd,BULK,GRAVITON RESEARCH CAPITAL LLP,RETAIL,BUY,5954333.0,141.27,84.1169,687
2026-01-12,IEX,Indian Energy Exc Ltd,BULK,GRAVITON RESEARCH CAPITAL LLP,RETAIL,SELL,5954333.0,141.39,84.1883,688
2026-01-12,JTLIND,JTL INDUSTRIES LIMITED,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,BUY,1991321.0,58.89,11.7269,689
2026-01-12,JTLIND,JTL INDUSTRIES LIMITED,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,SELL,1994201.0,58.94,11.7538,690
2026-01-12,KESORAMIND,KESORAM INDUSTRIES LTD,BULK,ANJANI AGARWAL,RETAIL,BUY,3000000.0,9.95,2.985,691
2026-01-12,KESORAMIND,KESORAM INDUSTRIES LTD,BULK,NEO APEX VENTURE LLP,RETAIL,SELL,1584993.0,10.15,1.6088,692
2026-01-12,MAITHANALL,Maithan Alloys Ltd,BULK,MICROCURVES TRADING PRIVATE LIMITED,RETAIL,SELL,230240.0,1088.12,25.0529,693
2026-01-12,MAITHANALL,Maithan Alloys Ltd,BULK,MICROCURVES TRADING PRIVATE LIMITED,RETAIL,BUY,230240.0,1087.24,25.0326,694
2026-01-12,MAITHANALL,Maithan Alloys Ltd,BULK,MUSIGMA SECURITIES,RETAIL,BUY,278425.0,1077.59,30.0028,695
2026-01-12,MAITHANALL,Maithan Alloys Ltd,BULK,MUSIGMA SECURITIES,RETAIL,SELL,278425.0,1078.31,30.0228,696
2026-01-12,MAITHANALL,Maithan Alloys Ltd,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,SELL,304202.0,1078.75,32.8158,697
2026-01-12,MAITHANALL,Maithan Alloys Ltd,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,BUY,304202.0,1078.25,32.8006,698
2026-01-12,MANGALAM,Mangalam Drug & Chem Ltd.,BULK,ASHUTOSH TAPARIA,RETAIL,SELL,200000.0,40.61,0.8122,699
2026-01-12,MANGALAM,Mangalam Drug & Chem Ltd.,BULK,SHIVKUMAR  DAMANI,RETAIL,SELL,81999.0,40.61,0.333,700
2026-01-12,MCL,Madhav Copper Limited,BULK,NEO APEX VENTURE LLP,RETAIL,SELL,291731.0,70.87,2.0675,701
2026-01-12,MIRCELECTR,Mirc Electronics Ltd.,BULK,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,RETAIL,BUY,379209.0,30.9,1.1718,702
2026-01-12,MIRCELECTR,Mirc Electronics Ltd.,BULK,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,RETAIL,SELL,1808266.0,30.81,5.5713,703
2026-01-12,MIRCELECTR,Mirc Electronics Ltd.,BULK,SAHASTRAA ADVISORS PRIVATE LIMITED,RETAIL,BUY,1877470.0,30.8,5.7826,704
2026-01-12,ORIENTTECH,Orient Technologies Ltd,BULK,HRTI PRIVATE LIMITED,RETAIL,BUY,691314.0,363.36,25.1196,705
2026-01-12,ORIENTTECH,Orient Technologies Ltd,BULK,HRTI PRIVATE LIMITED,RETAIL,SELL,700121.0,366.6,25.6664,706
2026-01-12,ORIENTTECH,Orient Technologies Ltd,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,SELL,572587.0,365.89,20.9504,707
2026-01-12,ORIENTTECH,Orient Technologies Ltd,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,BUY,573198.0,365.69,20.9613,708
2026-01-12,SHREEJISPG,Shreeji Shipping Global L,BULK,MOHAMED IRFAN MOHAMED LATIF SHAIKH,RETAIL,BUY,121303.0,369.37,4.4806,709
2026-01-12,SHREEJISPG,Shreeji Shipping Global L,BULK,MOHAMED IRFAN MOHAMED LATIF SHAIKH,RETAIL,SELL,945877.0,367.33,34.7449,710
2026-01-12,SINDHUTRAD,Sindhu Trade Links Ltd,BULK,MEGHDOOT VANIJYA PRIVATE LIMITED,RETAIL,SELL,10000000.0,19.0,19.0,711
2026-01-12,SPRL,SP Refractories Limited,BULK,MANGLA SHANTILAL GADA,RETAIL,SELL,19200.0,143.7,0.2759,712
2026-01-12,SPRL,SP Refractories Limited,BULK,NIRAV SHANTILAL GADA,RETAIL,BUY,19200.0,143.7,0.2759,713
2026-01-12,TEJASNET,Tejas Networks Limited,BULK,GRAVITON RESEARCH CAPITAL LLP,RETAIL,SELL,907240.0,383.6,34.8017,714
2026-01-12,TEJASNET,Tejas Networks Limited,BULK,GRAVITON RESEARCH CAPITAL LLP,RETAIL,BUY,907269.0,383.45,34.7892,715
2026-01-13,ASHWINI,Ashwini Container Mover L,BULK,VARADA TRADING PRIVATE LIMITED,RETAIL,BUY,100000.0,156.74,1.5674,716
2026-01-13,BALAMINES,Balaji Amines Limited,BULK,ALPHAGREP SECURITIES PRIVATE LIMITED,RETAIL,SELL,191416.0,1217.66,23.308,717
2026-01-13,BALAMINES,Balaji Amines Limited,BULK,ALPHAGREP SECURITIES PRIVATE LIMITED,RETAIL,BUY,191416.0,1216.87,23.2928,718
