metric_type,key,count,share_pct,avg_latency_ms,last_seen,run_date
INTENT,RESEARCH,103,78.6,19579.0,2026-08-02 20:28:45,2026-08-03
INTENT,STOCK,13,9.9,12801.0,2026-08-03 09:07:40,2026-08-03
INTENT,GREETING,5,3.8,1354.0,2026-07-28 08:20:39,2026-08-03
INTENT,KUNDLI,4,3.1,11884.0,2026-07-15 08:07:43,2026-08-03
INTENT,MARKET,3,2.3,13065.0,2026-07-15 00:34:01,2026-08-03
INTENT,ASTRO,1,0.8,14489.0,2026-07-15 02:58:12,2026-08-03
INTENT,MARKET_REGIME,1,0.8,3200.0,2026-07-10 18:34:39,2026-08-03
INTENT,SECTOR,1,0.8,12507.0,2026-07-15 02:54:58,2026-08-03
LANGUAGE,hi,90,68.7,21086.0,2026-08-03 09:07:40,2026-08-03
LANGUAGE,en,41,31.3,9975.0,2026-07-28 08:20:39,2026-08-03
MODE,voice,106,80.9,18963.0,2026-08-02 20:28:45,2026-08-03
MODE,text,25,19.1,11864.0,2026-08-03 09:07:40,2026-08-03
HOUR_IST,00:00,8,6.1,,,2026-08-03
HOUR_IST,01:00,38,29.0,,,2026-08-03
HOUR_IST,02:00,6,4.6,,,2026-08-03
HOUR_IST,03:00,2,1.5,,,2026-08-03
HOUR_IST,06:00,6,4.6,,,2026-08-03
HOUR_IST,07:00,10,7.6,,,2026-08-03
HOUR_IST,08:00,23,17.6,,,2026-08-03
HOUR_IST,11:00,8,6.1,,,2026-08-03
HOUR_IST,12:00,2,1.5,,,2026-08-03
HOUR_IST,13:00,7,5.3,,,2026-08-03
HOUR_IST,14:00,2,1.5,,,2026-08-03
HOUR_IST,15:00,2,1.5,,,2026-08-03
HOUR_IST,19:00,2,1.5,,,2026-08-03
HOUR_IST,20:00,7,5.3,,,2026-08-03
HOUR_IST,21:00,8,6.1,,,2026-08-03
SYMBOL,BETA,6,4.6,,2026-07-15 03:03:53,2026-08-03
SYMBOL,LODHA,2,1.5,,2026-07-13 09:51:45,2026-08-03
SYMBOL,FOCUS,2,1.5,,2026-07-15 02:17:42,2026-08-03
SYMBOL,WEALTH,2,1.5,,2026-07-15 08:07:43,2026-08-03
SYMBOL,BAJFINANCE,2,1.5,,2026-08-02 19:24:27,2026-08-03
SYMBOL,TCS,1,0.8,,2026-07-12 20:22:57,2026-08-03
SYMBOL,MAPMYINDIA,1,0.8,,2026-07-15 08:02:02,2026-08-03
SUMMARY,total_turns,131,100.0,17608.0,2026-08-03 09:07:40,2026-08-03
SUMMARY,unique_sessions,23,,,2026-08-03 09:07:40,2026-08-03
