symbol,date,announcement_type,seq_id,sentiment,sentiment_score,guidance_direction,guidance_score,capex_signal,capex_amount_cr,themes,key_statement,processed_at
HDFCAMC,2026-07-02,ANALYST_MEET,106684204,BULLISH,1,RAISED,2,NO,,"DIGITAL_INDIA,EXPORT_GROWTH",We are seeing a strong momentum in our digital offerings and expect this to drive growth in the coming quarters.,2026-07-03 04:28
CMRGREEN,2026-07-02,ANALYST_MEET,106684670,NEUTRAL,0,NOT_GIVEN,0,NO,,,No key statement available for this type of announcement.,2026-07-03 04:28
TATASTEEL,2026-07-02,ANALYST_MEET,106684117,BULLISH,1,RAISED,2,YES,15000.0,"CAPEX_CYCLE,GREEN_ENERGY","Tata Steel plans to invest Rs 15,000 crore in the next 3 years to achieve net-zero emissions by 2045.",2026-07-03 04:28
EBGNG,2026-07-02,ANALYST_MEET,106684235,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:28
SEDEMAC,2026-07-02,ANALYST_MEET,106684554,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the investor presentation.,2026-07-03 04:28
LTF,2026-07-02,ANALYST_MEET,106684587,NEUTRAL,0,NOT_GIVEN,0,NO,,,LTF has informed the Exchange about Schedule of meet,2026-07-03 04:28
ANANDRATHI,2026-07-02,ANALYST_MEET,106684662,BULLISH,1,RAISED,2,YES,,DIGITAL_INDIA,The company is witnessing strong traction in its digital offerings.,2026-07-03 04:28
CMRGREEN,2026-07-02,ANALYST_MEET,106684385,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the investor presentation.,2026-07-03 04:28
AFFLE,2026-07-02,ANALYST_MEET,106684677,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:28
SHIVAUM,2026-07-02,RESULT_UPDATE,106684719,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company's financial results for the quarter ended 31-Mar-2026 are as per the records of the company.,2026-07-03 04:28
NH,2026-07-02,RESULT_UPDATE,106684726,NEUTRAL,0,NOT_GIVEN,0,NO,,,The management has clarified on the financial results for the quarter ended 31-Mar-2026.,2026-07-03 04:28
DIXON,2026-07-02,ANALYST_MEET,106684746,BULLISH,1,RAISED,2,YES,,"CAPEX_CYCLE,EXPORT_GROWTH",The company is confident of achieving 25% revenue growth in FY27 driven by new order wins.,2026-07-03 04:28
SUZLON,2026-07-02,ANALYST_MEET,106684055,NEUTRAL,0,NOT_GIVEN,0,NO,,,No key statement available as this is a meet announcement.,2026-07-03 04:28
AMIRCHAND,2026-07-01,RESULT_UPDATE,106682914,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company has clarified its financial results for the quarter ended 31-Mar-2026.,2026-07-03 04:28
ANUP,2026-07-01,ANALYST_MEET,106683290,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:28
