symbol,date,sentiment,sentiment_score,guidance_direction,guidance_score,capex_signal,capex_amount_cr,themes,key_statement,as_of_date,concall_score
AAATECH,2026-06-27,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Aaa Technologies Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listi,2026-07-03,0.0
ABCAPITAL,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ABCOTS,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company has clarified its financial results for the quarter ended 30-Sep-2025.,2026-07-03,0.0
ABREL,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ACCURACY,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Accuracy Shipping Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (List,2026-07-03,0.0
ACEINTEG,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company replied to the clarification sought by the exchange regarding the financial results for the quarter ended 31-Mar-2025.,2026-07-03,0.0
ADANIPOWER,2026-06-27,BULLISH,1,NOT_GIVEN,0,NO,,,No key statement available as this is a meet announcement.,2026-07-03,0.4
ADL,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Archidply Decor Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listin,2026-07-03,0.0
ADVAIT,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
AETHER,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
AFFLE,2026-07-02,NEUTRAL,0,NOT_GIVEN,0,NO,,,Company announced a schedule for an analyst and institutional investor meeting.,2026-07-03,0.0
AFSL,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company replied to the clarification sought by the exchange regarding financial results.,2026-07-03,0.0
AGI,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
AHCL,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
AHLUCONT,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
