symbol,sector,label,bull_run_score,consensus_score,consensus_label,signals_used,concall_norm,insider_norm,news_norm,deal_norm,concall_score,insider_score,insider_conviction,sentiment_7d,sentiment_label,news_count_7d,inst_net_value_cr,as_of_date
ADANIENT,INFRASTRUCTURE,EMERGING,52.4,66.67,BUY,NEWS|DEALS,,,83.33333333333333,100.0,,,,0.6666666666666666,BULLISH,3.0,4789.6249,2026-07-03
KMEW,INFRASTRUCTURE,EMERGING,46.34,63.61,BUY,CONCALL,88.8888888888889,,,,1.6,,,,,,,2026-07-03
LTTS,IT,NEUTRAL,27.2,63.61,BUY,CONCALL,88.8888888888889,,,,1.6,,,,,,,2026-07-03
HDFCAMC,FINANCIAL_SERVICES,WATCHLIST,35.78,63.61,BUY,CONCALL,88.8888888888889,,,,1.6,,,,,,,2026-07-03
KIRLOSENG,CAPITAL_GOODS,EMERGING,47.67,63.61,BUY,CONCALL,88.8888888888889,,,,1.6,,,,,,,2026-07-03
VIYASH,PHARMA,EMERGING,45.8,63.61,BUY,CONCALL,88.8888888888889,,,,1.6,,,,,,,2026-07-03
PNBHOUSING,FINANCIAL_SERVICES,WATCHLIST,37.84,63.61,BUY,CONCALL,88.8888888888889,,,,1.6,,,,,,,2026-07-03
AVONMORE,FINANCIAL_SERVICES,WATCHLIST,30.74,63.61,BUY,CONCALL,88.8888888888889,,,,1.6,,,,,,,2026-07-03
KIOCL,METAL,WATCHLIST,37.24,63.61,BUY,CONCALL,88.8888888888889,,,,1.6,,,,,,,2026-07-03
DEVIT,IT,WATCHLIST,32.83,63.61,BUY,CONCALL,88.8888888888889,,,,1.6,,,,,,,2026-07-03
PATELENG,INFRASTRUCTURE,WATCHLIST,42.64,63.61,BUY,CONCALL,88.8888888888889,,,,1.6,,,,,,,2026-07-03
M&M,HOSPITALITY,WATCHLIST,32.54,63.07,BUY,CONCALL||DEALS,88.8888888888889,,,47.27979274611399,1.6,,,,,,0.0,2026-07-03
