rank,symbol,sector,close,conviction,tier,supporting_evidence,primary_risk,bull_run_score,ml_bull_run_score,prox_52w_high_pct,trend_signal,adv_20d_cr,regime,as_of_date
1,RBA,HOSPITALITY,99.59,85.7,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 89,overbought (RSI 79),68.3,89.3,-3.5,STRONG_UPTREND,217.11,NEUTRAL,2026-08-18
2,PAYTM,RETAIL,1580.2,84.0,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 89,none flagged -- normal market risk applies,67.6,89.1,-4.7,STRONG_UPTREND,772.41,NEUTRAL,2026-08-18
3,IRISDOREME,TEXTILES,58.3,83.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 90),67.5,79.9,-1.4,STRONG_UPTREND,7.18,NEUTRAL,2026-08-18
4,NEULANDLAB,PHARMA,23661.0,83.4,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 84,none flagged -- normal market risk applies,67.6,84.4,-0.8,STRONG_UPTREND,256.36,NEUTRAL,2026-08-18
5,MOREPENLAB,PHARMA,89.82,80.7,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 81,none flagged -- normal market risk applies,61.2,80.7,-0.7,STRONG_UPTREND,249.67,NEUTRAL,2026-08-18
6,RATNAVEER,METAL,244.87,80.5,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 81,overbought (RSI 80),61.6,80.8,-1.1,STRONG_UPTREND,285.8,NEUTRAL,2026-08-18
7,EMIL,RETAIL,192.42,79.6,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 81,overbought (RSI 83),60.4,81.1,-2.2,STRONG_UPTREND,286.04,NEUTRAL,2026-08-18
8,SUDEEPPHRM,PHARMA,1101.55,79.5,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 81; institutional buying (deals),none flagged -- normal market risk applies,64.0,80.7,-4.9,INSUFFICIENT_DATA,43.6,NEUTRAL,2026-08-18
9,TDPOWERSYS,CAPITAL_GOODS,1548.8,79.3,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,60.3,80.0,-1.3,STRONG_UPTREND,285.68,NEUTRAL,2026-08-18
10,PVP,REALTY,37.01,79.3,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 81,none flagged -- normal market risk applies,61.7,81.4,-2.2,INSUFFICIENT_DATA,7.25,NEUTRAL,2026-08-18
11,PRICOLLTD,AUTO,806.55,79.3,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.8,80.5,-0.3,STRONG_UPTREND,64.95,NEUTRAL,2026-08-18
12,CYIENTDLM,CAPITAL_GOODS,737.45,79.1,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,60.7,80.0,-0.8,STRONG_UPTREND,89.23,NEUTRAL,2026-08-18
13,TI,FMCG,580.55,78.9,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 81,overbought (RSI 86),58.6,80.8,-0.6,STRONG_UPTREND,82.92,NEUTRAL,2026-08-18
14,KABRAEXTRU,CAPITAL_GOODS,520.5,78.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,61.0,80.3,-0.8,STRONG_UPTREND,24.99,NEUTRAL,2026-08-18
