date,symbol,company,client_name,participant,record_type,leg1_dir,leg1_qty,leg1_price,leg1_seq,leg2_dir,leg2_qty,leg2_price,leg2_seq,pnl_pct,net_value_cr,gross_value_cr,qty_match_pct
2026-01-12,FORCEMOT,Force Motors Limited,POONAWALLA AVIATION PRIVATE LIMITED,RETAIL,BUY_ONLY,BUY,38740.0,19790.0,0,,,,,,76.6665,76.6665,
2026-01-12,FORCEMOT,Force Motors Limited,SERUM INSTITUTE OF INDIA PRIVATE LIMITED,RETAIL,SELL_ONLY,SELL,38740.0,19790.0,1,,,,,,-76.6665,76.6665,
2026-01-12,AUSOMENT,Ausom Enterprise Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,LONG_BUILD_SQUAREOFF,BUY,75509.0,144.77,681,SELL,75509.0,145.0,682.0,0.16,0.0017,2.188,100.0
2026-01-12,BAGDIGITAL,B.A.G.Convergence Limited,ABUNDANTIA CAPITAL VCC - ABUNDANTIA CAPITAL III,RETAIL,SELL_ONLY,SELL,600000.0,110.45,683,,,,,,-6.627,6.627,
2026-01-12,BAGDIGITAL,B.A.G.Convergence Limited,RAMAN  TALWAR,RETAIL,BUY_ONLY,BUY,443200.0,110.25,684,,,,,,4.8863,4.8863,
2026-01-12,DAVANGERE,Davangere Sugar Company L,ARIHANT CAPITAL MARKETS LIMITED,RETAIL,BUY_ONLY,BUY,8125325.0,4.46,686,,,,,,3.6239,3.6239,
2026-01-12,DAVANGERE,Davangere Sugar Company L,ARIHANT CAPITAL MARKETS LIMITED,RETAIL,SELL_ONLY,SELL,4977982.0,4.45,685,,,,,,-2.2152,2.2152,
2026-01-12,IEX,Indian Energy Exc Ltd,GRAVITON RESEARCH CAPITAL LLP,RETAIL,LONG_BUILD_SQUAREOFF,BUY,5954333.0,141.27,687,SELL,5954333.0,141.39,688.0,0.08,0.0715,168.3052,100.0
2026-01-12,JTLIND,JTL INDUSTRIES LIMITED,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,LONG_BUILD_SQUAREOFF,BUY,1991321.0,58.89,689,SELL,1994201.0,58.94,690.0,0.08,0.0269,23.4807,99.86
2026-01-12,KESORAMIND,KESORAM INDUSTRIES LTD,ANJANI AGARWAL,RETAIL,BUY_ONLY,BUY,3000000.0,9.95,691,,,,,,2.985,2.985,
2026-01-12,KESORAMIND,KESORAM INDUSTRIES LTD,NEO APEX VENTURE LLP,RETAIL,SELL_ONLY,SELL,1584993.0,10.15,692,,,,,,-1.6088,1.6088,
2026-01-12,MAITHANALL,Maithan Alloys Ltd,MICROCURVES TRADING PRIVATE LIMITED,RETAIL,SHORT_BUILD_COVER,SELL,230240.0,1088.12,693,BUY,230240.0,1087.24,694.0,0.08,0.0203,50.0855,100.0
2026-01-12,MAITHANALL,Maithan Alloys Ltd,MUSIGMA SECURITIES,RETAIL,LONG_BUILD_SQUAREOFF,BUY,278425.0,1077.59,695,SELL,278425.0,1078.31,696.0,0.07,0.02,60.0256,100.0
2026-01-12,MAITHANALL,Maithan Alloys Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,SHORT_BUILD_COVER,SELL,304202.0,1078.75,697,BUY,304202.0,1078.25,698.0,0.05,0.0152,65.6164,100.0
