event_date,symbol,company,purpose_raw,purpose_type,bm_desc,sector
2023-01-02,ASHAPURMIN,Ashapura Minechem Limited,Other business matters,OTHER,"=To consider, inter-alia, issue of approx. 40,40,000 (Forty Lakhs Forty Thousand) Warrantson Preferential basis, which would be converted into or exchanged with Equity Shares at a later date,to the Promoters /Promoters  Group and/or Associates of the Company, subject to the approval ofthe Shareholders by way of postal ballot proposed to be held in this regard.",METAL
2023-01-02,COASTCORP,Coastal Corporation Limited,Other business matters,OTHER,To consider other business matters,CAPITAL_GOODS
2023-01-02,INVENTURE,Inventure Growth & Securities Limited,Fund Raising/Other business matters,OTHER,"In terms of Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 this is to inform that the Meeting of the Board of Directors of the Company will be held on Monday, 02.01.2023 to consider inter alia the following business,   To consider and approve increase of Authorized Capital of the Company.  To consider and approve alteration of Capital clauses of Memorandum & Articles of Association of the Company.  To discuss and if thought fit, to raise further Capital by way of Rights Issue.  To consider and approve Related Party transactions of the Company.   To seek approval of the members of the Company for the above referred items, if recommended by the Board, by way of Extra Ordinary General Meeting or by Postal Ballot Notice.Kindly take the same on record and acknowledge receipt.",FINANCIAL_SERVICES
2023-01-02,IRISDOREME,Iris Clothings Limited,Other business matters,OTHER,To consider other business matters,TEXTILES
2023-01-02,PIGL,Power & Instrumentation (Gujarat) Limited,Other business matters,OTHER,To consider other business matters,CAPITAL_GOODS
2023-01-02,SANGHIIND,Sanghi Industries Limited,Other business matters,OTHER,Sanghi Industries Limited  has informed the Exchange about Board Meeting to be held on 02-Jan-2023 to consider Other business matters i.e.  to consider inter alia modifications to the terms of non-convertible debentures of Rs. 305 Crore issued in February 2021.,OTHER
2023-01-03,ANKITMETAL,Ankit Metal & Power Limited,Other business matters,OTHER,Intimation for Board Meeting and Closure of Trading Window,OTHER
2023-01-03,GICL,Globe International Carriers Limited,Other business matters,OTHER,To consider and approve board's consent for Increase in authorized capital of the company. Further to approve notice of extra-ordinary General Meeting for shareholder's consent.,LOGISTICS
2023-01-03,GIPCL,Gujarat Industries Power Company Limited,Other business matters,OTHER,"With reference to the captioned subject, it is hereby intimated that the Board of Directorsof the Company shall meet on Tuesday, the 03rd January, 2023.",CAPITAL_GOODS
2023-01-03,KRISHNADEF,Krishna Defence and Allied Industries Limited,Fund Raising/Other business matters,OTHER,Board Meeting Intimation for considering raising of Funds by way of Issue of Convertible Equity Warrants on Preferential Basis and other business matters,DEFENCE
2023-01-03,SBIN,State Bank of India,Fund Raising,OTHER,To consider Fund Raising,BANKING
2023-01-03,TIMETECHNO,Time Technoplast Limited,Other business matters,OTHER,"Pursuant to Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, Notice is hereby given that the Meeting of the Board of Directors of the Company is scheduled to be held on Tuesday, January 3, 2023, inter alia, to consider and approve following business:1. Notice of Postal Ballot for seeking members approval for:a. Appointment of Mr. Sanjeev Sharma (DIN: 08312517) as a Director of the Company, he was appointed as an Additional Director by the Board on 12th November, 2022.b. Appointment of Mr. Sanjeev Sharma (DIN: 08312517) as a Whole Time Director of the Company, he was appointed as a Whole Time Director by the Board on 12th November, 2022.2. Appointment of Scrutinizer for conducting Postal Ballot & e-voting process. 3. Any other item with the permission of the Chair.",CAPITAL_GOODS
