date,AGRICULTURE,AMC,AUTO,AVIATION,BANKING,CAPITAL_GOODS,CEMENT,CHEMICALS,DEFENCE,DIVERSIFIED,ENERGY,FINANCIAL_SERVICES,FMCG,HEALTHCARE,HOSPITALITY,INFRASTRUCTURE,IT,LOGISTICS,MEDIA,METAL,PHARMA,POWER,REALTY,RETAIL,TELECOM,TEXTILES,MOMENTUM,SIZE,VALUE
2025-08-13,0.007185,-0.002208,0.011591,0.005057,-0.001058,0.007976,-0.000154,0.005068,0.025019,-0.002407,-0.00485,0.008333,0.000914,0.006405,0.020701,-1.4e-05,0.001146,-0.002666,0.010456,0.020254,0.014582,-0.003783,0.00707,0.01578,-0.006356,0.002391,0.001109,0.001039,-0.000243
2025-08-14,-0.027273,0.00528,-0.000445,0.004194,-0.002286,-0.007353,0.000281,-0.008246,-0.006983,-0.015621,-0.010655,0.004273,-0.001549,0.00056,-0.010905,-0.001297,-0.000281,-0.010872,-0.005383,-0.015309,0.000988,-0.01573,-0.000854,-0.000243,-0.010522,-0.003718,-0.000312,0.001259,-0.001308
2025-08-18,0.000515,0.037388,0.031559,0.017819,0.012998,0.015289,0.023485,0.006074,0.01273,-0.000766,0.011953,0.01838,0.015918,0.006877,0.01371,0.009851,0.00176,0.006747,0.000152,0.008042,0.001762,0.006982,0.02141,0.017236,0.022524,0.031855,-0.000115,-0.000934,-0.002765
2025-08-19,0.018173,0.025771,0.019722,-0.007281,0.008638,0.013529,0.004055,0.008917,-0.013233,0.019788,0.008748,0.003948,0.009101,0.004412,0.004834,0.010983,0.005482,0.020635,0.012433,0.00974,0.003071,0.008628,0.006604,0.018682,0.015263,0.025809,0.000559,-7.1e-05,0.001401
2025-08-20,-0.000971,-0.004092,-0.002294,0.017469,-0.001896,0.005841,0.005696,0.001003,-0.002095,-0.002555,0.006273,-0.000811,0.012438,0.001718,0.025695,-0.004042,0.01756,0.000805,-0.003232,0.003953,-0.002139,0.005807,0.004579,0.006747,0.009668,0.005294,0.000983,-0.001067,0.000365
2025-08-21,-0.015357,-0.008586,-0.002417,-0.006192,0.003261,0.001287,-0.000981,-0.002937,0.004528,-0.006545,-0.003002,8.8e-05,-0.002457,-0.004913,0.006792,0.001413,0.001119,-0.002518,0.00262,0.001588,0.004512,0.000982,0.003957,0.002501,0.004666,-0.008925,0.0002,-0.002223,0.000605
2025-08-22,-0.033969,0.001096,-0.0057,-0.001984,-0.010649,-0.000552,-0.025426,-0.00202,0.001603,-0.008081,-0.003671,-0.002889,-0.004187,-0.002965,-0.005318,-0.001889,-0.0055,-0.006845,0.017544,-0.004634,0.002731,-0.001057,-0.005339,0.001229,0.014493,-0.006721,0.001278,-0.000436,-0.000337
2025-08-25,0.005414,-0.015069,0.114498,-0.011169,-0.010807,-0.005176,0.007737,0.001791,-0.014046,0.009909,0.008059,-0.000258,-0.000932,0.001403,0.011992,0.000692,0.017725,0.002139,-0.006451,0.004475,-0.002754,0.000199,0.002548,-0.001417,-0.001302,0.016789,-0.000854,0.012651,-0.00771
2025-08-26,0.02297,-0.009025,-0.0076,-0.011182,-0.019925,-0.015216,-0.001722,-0.016501,-0.026006,-0.008805,-0.019174,-0.019361,-0.011154,-0.012326,-0.014507,-0.013165,-0.015311,-0.020236,-0.007409,-0.020652,-0.012821,-0.016196,-0.01909,-0.006364,-0.030771,-0.020812,-0.002289,0.001367,-0.001602
2025-08-28,-0.025602,-0.03512,-0.004836,-0.054718,-0.0135,-0.005889,-0.00424,-0.010577,-0.023605,-0.003493,-0.012363,-0.017856,-0.00633,-0.00682,-0.003711,-0.014086,-0.014517,-0.009397,-0.003715,-0.010221,-0.009761,-0.011963,-0.013775,-0.021381,-0.021708,0.012857,0.000276,0.000584,0.001257
2025-08-29,-0.011175,-0.01227,0.000153,-0.013864,-0.003279,0.000229,-0.002872,-0.002759,0.000451,0.000511,-0.006978,-0.006227,0.003501,-0.004751,-0.006058,-0.006406,-0.004517,-0.000752,-0.007359,-0.008536,-0.001975,-0.005562,-0.01127,0.000425,-0.003473,-0.013405,-0.00091,0.00019,-0.00033
2025-09-01,0.027796,0.013959,0.023768,0.001186,0.00902,0.016447,0.01183,0.014198,0.029101,0.012349,0.012586,0.01652,0.012921,0.010337,0.013917,0.017144,0.016155,0.022059,-0.002099,0.019647,0.002974,0.013583,0.017282,0.019682,0.00781,0.009022,0.000786,0.00177,0.000262
2025-09-02,0.008464,-0.003544,0.011431,0.001938,0.004611,0.004711,-9.8e-05,-6e-05,0.016925,0.003118,0.00768,0.001177,0.010144,0.000816,-0.001953,0.009084,0.002286,-0.0005,0.016462,0.009444,0.000739,0.009124,0.010357,-0.00354,0.006253,0.007797,-0.000998,-0.001547,0.000176
