symbol,futures_oi,oi_1d,oi_5d,oi_signal,fut_close,expiry,as_of_date
IDEA,5884036425.0,4574400.0,2260897200.0,LONG_BUILDUP,13.07,2026-08-25,2026-07-31
YESBANK,1187242500.0,-6966400.0,571120400.0,SHORT_COVERING,22.83,2026-08-25,2026-07-31
SUZLON,458711300.0,101600.0,169786300.0,LONG_BUILDUP,48.12,2026-08-25,2026-07-31
CANBK,397480500.0,-4259250.0,127345500.0,SHORT_COVERING,125.28,2026-08-25,2026-07-31
IDFCFIRSTB,354119500.0,2216725.0,134895600.0,LONG_BUILDUP,84.86,2026-08-25,2026-07-31
NMDC,341887500.0,1154250.0,114453000.0,SHORT_BUILDUP,85.3,2026-08-25,2026-07-31
HDFCBANK,297540100.0,3604900.0,77790700.0,SHORT_BUILDUP,752.0,2026-08-25,2026-07-31
PNB,290656000.0,-72000.0,84416000.0,SHORT_COVERING,113.25,2026-08-25,2026-07-31
WIPRO,231513000.0,-3588000.0,22950000.0,LONG_UNWINDING,184.03,2026-08-25,2026-07-31
SAIL,180146300.0,-263200.0,90094300.0,LONG_UNWINDING,169.32,2026-08-25,2026-07-31
JIOFIN,176771700.0,3174850.0,67141850.0,LONG_BUILDUP,257.34,2026-08-25,2026-07-31
KOTAKBANK,176106000.0,-2022000.0,48186000.0,SHORT_COVERING,391.2,2026-08-25,2026-07-31
TATASTEEL,165882750.0,6468000.0,57934250.0,LONG_BUILDUP,190.62,2026-08-25,2026-07-31
ITC,158336025.0,1526625.0,57004350.0,SHORT_BUILDUP,281.8,2026-08-25,2026-07-31
ETERNAL,156427050.0,1593225.0,55321525.0,SHORT_BUILDUP,304.1,2026-08-25,2026-07-31
ADANIPOWER,154673500.0,-170400.0,71497000.0,SHORT_COVERING,212.36,2026-08-25,2026-07-31
ASHOKLEY,147655000.0,-90000.0,54460000.0,SHORT_COVERING,166.65,2026-08-25,2026-07-31
IOC,147239625.0,2515500.0,38800125.0,LONG_BUILDUP,139.6,2026-08-25,2026-07-31
BANDHANBNK,131702400.0,316800.0,33534000.0,LONG_BUILDUP,173.54,2026-08-25,2026-07-31
GMRAIRPORT,128360925.0,1325250.0,64637325.0,LONG_BUILDUP,105.81,2026-08-25,2026-07-31
BANKBARODA,128193975.0,-640575.0,37627200.0,SHORT_COVERING,243.9,2026-08-25,2026-07-31
MOTHERSON,126075000.0,1217700.0,56118750.0,LONG_BUILDUP,151.6,2026-08-25,2026-07-31
UNIONBANK,119404200.0,292050.0,28572225.0,LONG_BUILDUP,171.99,2026-08-25,2026-07-31
NHPC,118608700.0,-271050.0,12419650.0,SHORT_COVERING,78.86,2026-08-25,2026-07-31
ICICIBANK,105882000.0,303800.0,26947900.0,LONG_BUILDUP,1430.3,2026-08-25,2026-07-31
INOXWIND,105004800.0,-1536000.0,44428800.0,SHORT_COVERING,78.5,2026-08-25,2026-07-31
BEL,102999000.0,1922325.0,48032475.0,LONG_BUILDUP,389.8,2026-08-25,2026-07-31
RELIANCE,102713500.0,-1279000.0,38665500.0,SHORT_COVERING,1311.3,2026-08-25,2026-07-31
NBCC,99099000.0,-741000.0,51233000.0,SHORT_COVERING,95.15,2026-08-25,2026-07-31
NTPC,98847000.0,-766500.0,47667000.0,SHORT_COVERING,348.05,2026-08-25,2026-07-31
BANKINDIA,98233200.0,-566800.0,47013200.0,SHORT_COVERING,138.34,2026-08-25,2026-07-31
INDUSTOWER,90013300.0,-2543200.0,30185200.0,LONG_UNWINDING,393.3,2026-08-25,2026-07-31
INFY,89380000.0,798000.0,20468000.0,SHORT_BUILDUP,1131.9,2026-08-25,2026-07-31
IRFC,86539600.0,1703450.0,25752475.0,LONG_BUILDUP,89.06,2026-08-25,2026-07-31
FEDERALBNK,85920000.0,-397500.0,11317500.0,SHORT_COVERING,358.9,2026-08-25,2026-07-31
GAIL,84894700.0,5449250.0,29674450.0,LONG_BUILDUP,182.42,2026-08-25,2026-07-31
SBIN,80921250.0,603750.0,29285250.0,LONG_BUILDUP,1032.6,2026-08-25,2026-07-31
AXISBANK,80575000.0,1106250.0,24865625.0,LONG_BUILDUP,1235.2,2026-08-25,2026-07-31
BHEL,80296125.0,-236250.0,32261250.0,SHORT_COVERING,409.1,2026-08-25,2026-07-31
COALINDIA,80288550.0,-954450.0,41787900.0,SHORT_COVERING,415.35,2026-08-25,2026-07-31
AMBUJACEM,79472400.0,638400.0,33574800.0,SHORT_BUILDUP,434.55,2026-08-25,2026-07-31
TMPV,76129600.0,-1233600.0,27257600.0,SHORT_COVERING,341.55,2026-08-25,2026-07-31
IEX,71818500.0,769950.0,37314300.0,LONG_BUILDUP,132.92,2026-08-25,2026-07-31
SWIGGY,67461125.0,3715700.0,31092525.0,SHORT_BUILDUP,283.36,2026-08-25,2026-07-31
IREDA,65911150.0,565625.0,14213025.0,LONG_BUILDUP,117.48,2026-08-25,2026-07-31
TATAPOWER,62106400.0,-1055600.0,33325350.0,SHORT_COVERING,381.8,2026-08-25,2026-07-31
BAJFINANCE,60096750.0,-7233000.0,15664500.0,SHORT_COVERING,1144.8,2026-08-25,2026-07-31
CROMPTON,58976650.0,855700.0,24310050.0,LONG_BUILDUP,261.6,2026-08-25,2026-07-31
ONGC,54976500.0,-299250.0,21147750.0,SHORT_COVERING,242.32,2026-08-25,2026-07-31
BHARTIARTL,54590800.0,-1588875.0,6646675.0,SHORT_COVERING,1976.5,2026-08-25,2026-07-31
MANAPPURAM,53316000.0,708000.0,29694000.0,LONG_BUILDUP,373.5,2026-08-25,2026-07-31
VBL,52858950.0,253725.0,20141175.0,SHORT_BUILDUP,444.6,2026-08-25,2026-07-31
HINDALCO,52293500.0,520800.0,14781900.0,LONG_BUILDUP,979.4,2026-08-25,2026-07-31
PFC,50857300.0,1380600.0,24728600.0,LONG_BUILDUP,425.7,2026-08-25,2026-07-31
VEDL,49677700.0,181700.0,26853650.0,SHORT_BUILDUP,265.5,2026-08-25,2026-07-31
LTF,49218750.0,-432000.0,11101500.0,SHORT_COVERING,311.85,2026-08-25,2026-07-31
BIOCON,47390000.0,137500.0,16370000.0,LONG_BUILDUP,427.3,2026-08-25,2026-07-31
DLF,46305850.0,-576650.0,14120800.0,SHORT_COVERING,660.75,2026-08-25,2026-07-31
NATIONALUM,46160625.0,924375.0,19593750.0,LONG_BUILDUP,350.9,2026-08-25,2026-07-31
HDFCLIFE,45800700.0,2695000.0,18376600.0,LONG_BUILDUP,551.4,2026-08-25,2026-07-31
RBLBANK,45510450.0,-981075.0,19053175.0,LONG_UNWINDING,375.2,2026-08-25,2026-07-31
VMM,44678200.0,2027300.0,12163800.0,SHORT_BUILDUP,107.68,2026-08-25,2026-07-31
