symbol,price,so9_degree,so9_nearest,so9_r1,so9_s1,all_resistance,all_support,computed_date
20MICRONS,202.45,176.13,West,216.93,188.47,216.93|231.91|247.39|263.36|279.84,188.47|174.99|162.01|149.54|137.56,2026-07-15
21STCENMGM,31.33,62.52,Northeast,37.18,25.98,37.18|43.52|50.37|57.72|65.57,25.98|21.14|16.79|15.23|12.94,2026-07-15
360ONE,1118.0,33.57,Northeast,1151.69,1084.81,1151.69|1185.87|1220.56|1255.75|1291.43,1084.81|1052.13|1019.94|988.25|957.07,2026-07-15
3BBLACKBIO,1215.1,289.49,South,1250.21,1180.49,1250.21|1285.82|1321.92|1358.53|1395.64,1180.49|1146.38|1112.78|1079.67|1047.06,2026-07-15
3IINFOLTD,18.68,192.97,West,23.25,18.68,23.25|28.32|33.9|39.97|46.54,18.68|17.46|14.61|13.53|11.04,2026-07-15
3MINDIA,36430.0,290.96,South,36430.0,36239.38,36430.0|36621.12|36812.73|37004.85|37197.47,36239.38|36049.27|35859.65|35670.53|35481.92,2026-07-15
3PLAND,32.65,83.52,North,38.61,27.19,38.61|45.08|52.04|59.51|67.47,27.19|22.22|17.76|14.33|13.79,2026-07-15
5PAISA,370.7,0.64,East,390.2,370.7,390.2|410.21|430.71|451.71|473.22,370.7|351.7|333.19|315.19|297.69,2026-07-15
63MOONS,734.2,332.3,Southeast,761.55,707.35,761.55|789.39|817.74|846.58|875.93,707.35|681.01|655.16|629.82|604.97,2026-07-15
A2ZINFRA,13.15,67.73,North,17.03,11.38,17.03|21.4|26.28|31.66|37.53,11.38|9.77|8.26|6.9|5.63,2026-07-15
AAATECH,95.04,89.79,North,95.04,85.54,95.04|105.04|115.54|126.54|138.04,85.54|76.54|68.04|60.04|52.55,2026-07-15
AADHARHFC,535.9,341.91,East,535.9,513.0,535.9|559.3|583.2|607.6|632.5,513.0|490.6|468.7|447.3|426.4,2026-07-15
AAKASH,9.59,332.42,Southeast,12.94,8.43,12.94|16.78|21.13|25.98|31.32,8.43|6.74|5.78|4.4|3.62,2026-07-15
AARNAV,24.98,314.64,Southeast,30.23,20.27,30.23|35.98|42.22|48.97|56.22,20.27|20.23|16.02|15.98|12.26,2026-07-15
AARON,118.77,296.67,Southeast,118.77,108.12,118.77|129.92|141.57|153.71|166.36,108.12|97.97|88.33|79.18|70.53,2026-07-15
AARTIDRUGS,395.7,115.6,Northwest,415.84,376.06,415.84|436.48|457.63|479.27|501.41,376.06|356.92|338.27|320.13|302.49,2026-07-15
AARTIIND,484.3,136.23,Northwest,484.3,462.54,484.3|506.56|529.31|552.57|576.33,462.54|441.29|420.53|400.27|380.52,2026-07-15
AARTIPHARM,717.8,277.52,South,744.84,691.26,744.84|772.38|800.43|828.97|858.01,691.26|665.22|639.67|614.63|590.09,2026-07-15
AARTISURF,385.35,68.46,North,405.23,365.97,405.23|425.61|446.49|467.87|489.75,365.97|347.09|328.71|310.83|293.45,2026-07-15
AARVI,152.62,198.71,West,152.62,140.52,152.62|165.22|178.33|191.93|206.04,140.52|128.91|117.81|107.2|97.1,2026-07-15
AAVAS,1498.4,262.65,South,1537.36,1498.4,1537.36|1576.82|1616.78|1657.24|1698.2,1498.4|1459.94|1421.98|1384.52|1347.56,2026-07-15
ABB,6807.0,225.82,Southwest,6807.0,6724.75,6807.0|6889.75|6973.01|7056.76|7141.02,6724.75|6642.99|6561.74|6480.98|6400.73,2026-07-15
ABBOTINDIA,27395.0,47.58,Northeast,27560.76,27229.74,27560.76|27727.03|27893.79|28061.06|28228.82,27229.74|27064.97|26900.71|26736.94|26573.68,2026-07-15
ABCAPITAL,407.45,168.37,West,427.89,407.45,427.89|448.82|470.26|492.19|514.63,407.45|387.51|368.08|349.14|330.71,2026-07-15
ABCOTS,208.31,212.93,Southwest,208.31,194.13,208.31|222.99|238.18|253.86|270.04,194.13|180.44|167.26|154.58|142.4,2026-07-15
ABDL,626.25,319.5,Southeast,651.52,601.48,651.52|677.3|703.57|730.35|757.62,601.48|577.2|553.43|530.15|507.38,2026-07-15
ABFRL,60.51,95.19,North,68.54,52.98,68.54|77.07|86.1|95.63|105.65,52.98|45.95|39.42|33.39|27.87,2026-07-15
ABINFRA,10.24,351.0,East,10.24,7.84,10.24|13.69|17.64|22.09|27.04,7.84|7.29|5.29|4.84|3.24,2026-07-15
ABLBL,99.24,128.15,Northwest,109.45,99.24,109.45|120.16|131.38|143.09|155.3,99.24|89.53|80.32|71.6|63.39,2026-07-15
ABMINTLLTD,41.42,213.45,Southwest,48.11,35.23,48.11|55.29|62.98|71.16|79.85,35.23|29.55|24.36|19.68|15.49,2026-07-15
ABMKNO,205.1,192.84,West,219.67,191.03,219.67|234.74|250.31|266.39|282.96,191.03|177.46|164.39|151.81|139.74,2026-07-15
ABREL,1436.6,117.45,Northwest,1436.6,1398.95,1436.6|1474.75|1513.41|1552.56|1592.21,1398.95|1361.79|1325.14|1288.99|1253.34,2026-07-15
ABSLAMC,1173.7,181.67,West,1208.21,1173.7,1208.21|1243.22|1278.73|1314.74|1351.25,1173.7|1139.69|1106.18|1073.17|1040.66,2026-07-15
ACC,1378.8,338.8,East,1378.8,1341.92,1378.8|1416.18|1454.06|1492.45|1531.33,1341.92|1305.54|1269.65|1234.27|1199.39,2026-07-15
ACCELYA,1130.9,68.19,North,1130.9,1097.52,1130.9|1164.78|1199.16|1234.04|1269.42,1097.52|1064.64|1032.26|1000.38|969.01,2026-07-15
ACE,985.7,26.25,Northeast,1017.35,954.55,1017.35|1049.49|1082.14|1115.28|1148.93,954.55|923.91|893.76|864.12|834.97,2026-07-15
ACEINTEG,20.69,233.75,Southwest,20.69,19.81,20.69|25.49|30.79|36.59|42.88,19.81|16.39|15.61|12.59|11.91,2026-07-15
ACI,529.25,315.98,Southeast,552.51,506.49,552.51|576.26|600.52|625.27|650.53,506.49|484.24|462.48|441.23|420.47,2026-07-15
ACL,49.4,320.13,Southeast,56.68,42.62,56.68|64.46|72.74|81.51|90.79,42.62|36.34|30.56|25.29|20.51,2026-07-15
ACMESOLAR,378.8,38.3,Northeast,378.8,359.59,378.8|398.51|418.73|439.44|460.65,359.59|340.87|322.66|304.95|287.74,2026-07-15
ACSTECH,44.39,254.26,South,51.3,44.39,51.3|58.72|66.63|75.04|83.95,44.39|37.98|32.06|26.65|21.74,2026-07-15
ACUTAAS,3495.2,336.64,Southeast,3495.2,3436.33,3495.2|3554.57|3614.44|3674.81|3735.68,3436.33|3377.96|3320.09|3262.72|3205.85,2026-07-15
ADANIENSOL,1644.6,234.66,Southwest,1644.6,1604.3,1644.6|1685.4|1726.71|1768.51|1810.81,1604.3|1564.49|1525.19|1486.39|1448.08,2026-07-15
ADANIENT,3177.5,201.48,West,3234.12,3177.5,3234.12|3291.24|3348.86|3406.98|3465.6,3177.5|3121.38|3065.76|3010.64|2956.02,2026-07-15
ADANIGREEN,1546.5,13.6,East,1586.08,1507.42,1586.08|1626.15|1666.73|1707.8|1749.38,1507.42|1468.85|1430.77|1393.2|1356.12,2026-07-15
ADANIPORTS,1810.3,233.57,Southwest,1853.1,1810.3,1853.1|1896.4|1940.19|1984.49|2029.29,1810.3|1768.0|1726.2|1684.91|1644.11,2026-07-15
ADANIPOWER,215.46,257.14,South,230.39,201.03,230.39|245.82|261.75|278.17|295.1,201.03|187.1|173.67|160.75|148.32,2026-07-15
ADFFOODS,319.45,112.17,North,337.57,301.83,337.57|356.2|375.32|394.94|415.07,301.83|284.7|268.08|251.96|236.33,2026-07-15
ADOR,1333.0,226.85,Southwest,1369.76,1296.74,1369.76|1407.02|1444.78|1483.04|1521.8,1296.74|1260.98|1225.72|1190.96|1156.7,2026-07-15
ADROITINFO,8.99,314.7,Southeast,12.24,6.26,12.24|15.99|20.23|24.98|30.23,6.26|6.24|4.01|3.99|2.26,2026-07-15
