Date,Institutional_Score,Trend_Daily,Trend_Weekly,Trend_BiWeekly,Trend_Monthly,Trend_Quarterly,Trend_HalfYearly,Trend_Yearly,Trend_State,Trend_Strength,Trend_Acceleration
2016-01-01,-125416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,0.0,0.0
2016-01-04,-130909.95,-5493.949999999997,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,-549.3949999999998,-549.3949999999998
2016-01-05,-131591.0,-681.0500000000029,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,-68.10500000000029,481.28999999999945
2016-01-06,-135758.95,-4167.950000000012,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,-416.7950000000012,-348.6900000000009
2016-01-07,-148589.6,-12830.649999999994,-14136.5,0.0,0.0,0.0,0.0,0.0,NEUTRAL,-3403.5399999999995,-2986.744999999998
2016-01-08,-152846.2,-4256.600000000006,-12907.059999999998,0.0,0.0,0.0,0.0,0.0,NEUTRAL,-2361.719,1041.8209999999995
2016-01-11,-158438.5,-5592.299999999988,-12993.649999999965,0.0,0.0,0.0,0.0,0.0,NEUTRAL,-2508.277499999994,-146.55849999999373
2016-01-12,-162436.8,-3998.2999999999884,-10822.790000000008,0.0,0.0,0.0,0.0,0.0,NEUTRAL,-2023.2485,485.02899999999386
2016-01-13,-152256.2,10180.599999999977,2657.2600000000093,0.0,0.0,0.0,0.0,0.0,NEUTRAL,1416.648999999999,3439.897499999999
2016-01-14,-151108.25,1147.9500000000116,4308.940000000002,-6173.1050000000105,0.0,0.0,0.0,0.0,NEUTRAL,-164.82975,-1581.4787499999989
2016-01-15,-142939.9,8168.350000000006,10496.029999999999,3747.6350000000093,0.0,0.0,0.0,0.0,ACCUMULATION,2953.384750000002,3118.214500000002
2016-01-18,-141064.3,1875.6000000000058,8896.790000000008,6638.670000000042,0.0,0.0,0.0,0.0,ACCUMULATION,2517.879000000008,-435.5057499999939
2016-01-19,-133670.2,7394.099999999977,10537.570000000007,14240.690000000002,0.0,0.0,0.0,0.0,ACCUMULATION,4456.148999999999,1938.2699999999913
2016-01-20,-131654.05,2016.1500000000233,8433.290000000008,15846.350000000006,0.0,0.0,0.0,0.0,ACCUMULATION,3843.5610000000042,-612.5879999999952
2016-01-21,-128140.0,3514.0499999999884,7353.690000000002,17315.440000000002,0.0,0.0,0.0,0.0,ACCUMULATION,4051.7744999999995,208.2134999999953
2016-01-22,-115335.9,12804.100000000006,14636.99000000002,26368.51000000001,0.0,0.0,0.0,0.0,ACCUMULATION,7431.235000000005,3379.4605000000056
2016-01-25,-119397.05,-4061.1500000000087,6242.389999999985,18403.21500000001,0.0,0.0,0.0,0.0,NEUTRAL,3290.7257499999982,-4140.509250000006
2016-01-27,-115303.8,4093.25,6662.360000000001,17783.164999999994,0.0,0.0,0.0,0.0,ACCUMULATION,4076.153749999999,785.4280000000008
2016-01-28,-117768.9,-2465.0999999999913,1420.2300000000105,11869.335000000021,0.0,0.0,0.0,0.0,NEUTRAL,1746.9247500000056,-2329.2289999999934
2016-01-29,-98191.45,19577.449999999997,15007.970000000001,26155.10500000001,0.0,0.0,0.0,0.0,ACCUMULATION,8132.206250000002,6385.281499999996
2016-02-01,-100969.15,-2777.699999999997,9356.919999999998,19180.329999999987,32068.28571428571,0.0,0.0,0.0,EARLY_DISTRIBUTION,12019.888928571425,3887.682678571423
2016-02-02,-106148.6,-5179.450000000012,1527.7799999999988,10509.309999999998,25971.340476190468,0.0,0.0,0.0,EARLY_DISTRIBUTION,7780.453619047616,-4239.435309523809
2016-02-03,-111157.9,-5009.299999999988,-4310.699999999997,3248.7799999999843,20021.466666666645,0.0,0.0,0.0,NEUTRAL,4345.148666666661,-3435.304952380955
2016-02-04,-99702.85,11455.049999999988,3531.139999999985,11508.710000000006,29958.033333333326,0.0,0.0,0.0,STRONG_ACCUMULATION,10890.99083333333,6545.842166666669
2016-02-05,-102525.3,-2822.449999999997,1575.4600000000064,6124.789999999994,25553.02857142857,0.0,0.0,0.0,EARLY_DISTRIBUTION,7261.049642857143,-3629.9411904761864
2016-02-08,-98457.5,4067.800000000003,5140.930000000008,8504.75,27233.5857142857,0.0,0.0,0.0,STRONG_ACCUMULATION,9262.028428571426,2000.9787857142828
2016-02-09,-111923.85,-13466.350000000006,-7170.369999999995,-5708.919999999998,11818.552380952358,0.0,0.0,0.0,DISTRIBUTION,-323.89040476190985,-9585.918833333337
2016-02-11,-123701.75,-11777.899999999994,-16439.5,-16647.024999999994,-1613.4785714285827,0.0,0.0,0.0,STRONG_DISTRIBUTION,-6544.138392857144,-6220.247988095234
2016-02-12,-112727.0,10974.75,-2859.9199999999983,-6176.4649999999965,6994.138095238086,0.0,0.0,0.0,NEUTRAL,1490.5517738095225,8034.690166666666
2016-02-15,-90495.05,22231.949999999997,16965.979999999996,15285.844999999987,26285.080952380944,0.0,0.0,0.0,STRONG_ACCUMULATION,13632.238988095232,12141.68721428571
2016-02-16,-87226.65,3268.4000000000087,17988.209999999992,17179.994999999995,26511.5,0.0,0.0,0.0,STRONG_ACCUMULATION,12229.945749999999,-1402.2932380952334
2016-02-17,-91549.65,-4323.0,9590.369999999995,11397.100000000006,19741.345238095237,0.0,0.0,0.0,EARLY_DISTRIBUTION,7651.156809523809,-4578.78894047619
2016-02-18,-81522.6,10027.049999999988,11181.589999999997,18460.619999999995,26933.07619047619,0.0,0.0,0.0,STRONG_ACCUMULATION,12182.305547619046,4531.148738095237
2016-02-19,-92054.95,-10532.349999999991,-3485.1699999999983,7163.4800000000105,14419.047619047604,0.0,0.0,0.0,NEUTRAL,3103.2734047619033,-9079.032142857142
2016-02-22,-91301.75,753.1999999999971,-2570.6300000000047,6794.324999999997,13250.70952380952,0.0,0.0,0.0,NEUTRAL,4021.5516309523787,918.2782261904754
2016-02-23,-81491.5,9810.25,6092.5899999999965,14907.975000000006,20839.602380952376,0.0,0.0,0.0,STRONG_ACCUMULATION,9341.010345238094,5319.458714285714
2016-02-24,-85048.95,-3557.449999999997,1235.0,8663.035000000003,15839.916666666672,0.0,0.0,0.0,EARLY_DISTRIBUTION,5088.939416666669,-4252.070928571425
2016-02-25,-98203.15,-13154.199999999997,-8583.089999999997,-7041.024999999994,1676.4833333333372,0.0,0.0,0.0,DISTRIBUTION,-3239.9164166666637,-8328.855833333333
2016-02-26,-79955.65,18247.5,7244.549999999988,7929.340000000011,18240.738095238106,0.0,0.0,0.0,STRONG_ACCUMULATION,8661.018023809527,11900.93444047619
2016-02-29,-73543.2,6412.449999999997,10105.290000000008,12646.604999999996,22547.20238095238,0.0,0.0,0.0,STRONG_ACCUMULATION,9690.829845238095,1029.8118214285678
2016-03-01,-61427.7,12115.5,18208.03,22182.210000000006,32912.04761904762,0.0,0.0,0.0,STRONG_ACCUMULATION,15498.097904761906,5807.268059523811
2016-03-02,-40887.4,20540.299999999996,29916.019999999997,37656.284999999996,50591.31190476192,0.0,0.0,0.0,STRONG_ACCUMULATION,24837.703726190477,9339.605821428571
2016-03-03,-40744.95,142.45000000000437,18566.829999999994,33720.970000000016,47619.30238095239,0.0,0.0,0.0,STRONG_ACCUMULATION,19762.240595238098,-5075.463130952379
