symbol,close,atr_14,mp_pp,mp_r1,mp_r2,mp_r3,mp_s1,mp_s2,mp_s3,wp_pp,wp_r1,wp_r2,wp_s1,wp_s2,fib_786,fib_618,fib_500,fib_382,fib_236,swing_high_1,swing_high_2,swing_low_1,swing_low_2,vol_poc,prev_week_h,prev_week_l,prev_month_h,prev_month_l,round_res,round_sup,stop_1atr,stop_2atr,target_1atr,target_2atr,conf_res_1,conf_res_1_score,conf_res_1_tags,conf_res_2,conf_res_2_score,conf_res_2_tags,conf_sup_1,conf_sup_1_score,conf_sup_1_tags,conf_sup_2,conf_sup_2_score,conf_sup_2_tags,entry_zone_low,entry_zone_high,stop_loss,as_of_date
20MICRONS,201.41,9.61,184.25,206.46,230.15,252.36,160.56,138.35,114.66,201.28,218.25,236.41,183.12,166.15,162.63,188.56,206.77,224.98,247.51,283.93,246.61,129.61,162.05,205.05,219.45,184.32,207.95,162.05,225.0,200.0,191.8,182.18,211.02,220.64,206.56,9,Vol POC|M-R1|Fib 50%|Prev-Mo Hi,218.85,3,W-R1|Prev-Wk Hi,184.43,10,W-S1|50 DMA|M-Pivot|Prev-Wk Lo|200 DMA,189.44,4,Fib 61.8%|20 DMA,196.6,204.29,182.18,2026-06-30
20THCENFIN,12.5,1.08,11.0,13.0,14.0,16.0,10.0,8.0,7.0,11.93,14.07,15.73,10.27,8.13,11.56,13.96,15.65,17.34,19.43,19.5,17.9,8.5,9.0,12.54,13.6,9.8,12.0,9.0,15.0,10.0,11.42,10.34,13.58,14.66,14.01,7,Fib 61.8%|M-R2|W-R1,12.54,3,Vol POC,11.96,3,W-Pivot|Prev-Mo Hi,11.0,3,M-Pivot,11.96,12.82,11.78,1999-05-18
21STCENMGM,32.39,1.13,34.21,37.92,40.96,44.67,31.17,27.46,24.42,33.24,34.41,35.63,32.02,30.85,35.94,41.98,46.22,50.46,55.71,62.03,57.98,28.25,30.5,30.44,34.45,32.06,37.25,30.5,35.0,30.0,31.26,30.12,33.52,34.66,34.36,6,M-Pivot|W-R1|Prev-Wk Hi,33.02,3,20 DMA|W-Pivot,30.36,7,Round|Vol POC|Swing Lo|Prev-Mo Lo,31.01,4,W-S2|M-S1,31.82,32.73,30.12,2026-06-30
360ONE,1074.6,31.55,1088.5,1168.0,1231.5,1311.0,1025.0,945.5,882.0,1106.67,1134.23,1183.07,1057.83,1030.27,979.55,1037.25,1077.78,1118.3,1168.45,1236.2,1228.8,906.05,996.8,1069.88,1155.5,1079.1,1152.0,1009.0,1100.0,1000.0,1043.05,1011.5,1106.15,1137.7,1090.2,12,Fib 50%|Prev-Wk Lo|M-Pivot|50 DMA|20 DMA|200 DMA|Round,1160.99,6,Prev-Mo Hi|Prev-Wk Hi|M-R1|Fib 23.6%,1030.84,7,M-S1|W-S2|Fib 61.8%,1063.86,5,W-S1|Vol POC,1058.82,1084.06,1015.38,2026-06-30
3BBLACKBIO,1168.8,63.6,1277.47,1388.43,1535.67,1646.63,1130.23,1019.27,872.03,1176.83,1207.87,1256.03,1128.67,1097.63,1161.29,1221.18,1263.25,1305.32,1357.37,1441.5,1424.7,1085.0,1166.5,1205.9,1225.0,1145.8,1424.7,1166.5,1200.0,1100.0,1105.2,1041.6,1232.4,1296.0,1196.23,9,W-Pivot|20 DMA|Round|Vol POC|W-R1,1265.58,6,W-R2|Fib 50%|M-Pivot,1134.9,6,W-S1|M-S1|Prev-Wk Lo,1091.91,6,Swing Lo|52W Low|W-S2|Round,1137.0,1187.88,1117.88,2026-06-30
3IINFOLTD,17.17,0.54,17.69,18.5,19.75,20.56,16.44,15.63,14.38,17.42,17.77,18.25,16.94,16.59,15.63,17.94,19.56,21.19,23.2,26.45,26.4,12.68,13.0,13.62,17.9,17.07,18.95,16.89,20.0,15.0,16.64,16.1,17.71,18.24,17.82,9,M-Pivot|W-R1|Prev-Wk Hi|Fib 61.8%,17.35,4,20 DMA|50 DMA|W-Pivot,16.58,7,M-S1|W-S2|200 DMA,16.97,4,Prev-Mo Lo|W-S1|Prev-Wk Lo,16.9,17.33,16.33,2026-06-30
3IINFOTECH,8.8,0.51,8.65,9.9,11.05,12.3,7.5,6.25,5.1,8.87,9.28,9.72,8.43,8.02,3.83,5.1,6.0,6.9,8.01,9.8,9.65,2.2,2.4,8.9,9.3,8.45,9.8,7.4,10.0,5.0,8.29,7.78,9.31,9.82,9.78,11,Swing Hi|W-R2|Swing Hi|52W High|Prev-Mo Hi|M-R1,8.88,5,W-Pivot|Vol POC,7.45,4,Prev-Mo Lo|M-S1,8.65,3,M-Pivot,8.54,8.95,7.78,2021-06-08
3MINDIA,32900.0,858.21,32545.0,34810.0,36810.0,39075.0,30545.0,28280.0,26280.0,33595.0,34080.0,34780.0,32895.0,32410.0,30720.2,32282.6,33380.0,34477.4,35835.2,38030.0,37800.0,28730.0,28765.0,33515.0,34295.0,33110.0,34545.0,30280.0,33000.0,32500.0,32041.79,31183.57,33758.21,34616.43,33291.56,12,Round|Prev-Wk Lo|200 DMA|Fib 50%|Vol POC|W-Pivot,34497.9,10,W-R1|Prev-Wk Hi|Fib 38.2%|Prev-Mo Hi|W-R2|M-R1,32451.52,10,Fib 61.8%|W-S2|50 DMA|20 DMA|Round|M-Pivot,28741.67,6,Swing Lo|52W Low|Swing Lo,32470.89,33157.46,31964.75,2026-06-30
3PLAND,31.56,1.93,32.73,35.41,39.58,42.26,28.56,25.88,21.71,32.26,33.33,35.01,30.58,29.51,33.73,37.83,40.7,43.58,47.14,52.9,47.5,28.51,29.0,32.36,33.95,31.2,36.9,30.05,35.0,30.0,29.63,27.71,33.49,35.41,32.24,6,20 DMA|W-Pivot|Vol POC,33.02,6,M-Pivot|50 DMA|W-R1,30.58,2,W-S1,30.02,2,Round|Prev-Mo Lo,30.6,32.14,30.12,2026-06-30
4THDIM,91.2,2.67,85.25,91.95,97.8,104.5,79.4,72.7,66.85,87.27,91.63,93.82,85.08,80.72,48.87,58.18,64.72,71.27,79.36,92.45,91.1,78.55,82.85,84.52,89.45,82.9,91.1,78.55,100.0,90.0,88.53,85.86,93.87,96.54,92.12,9,W-R1|M-R1|Swing Hi|52W High,97.8,2,M-R2,84.95,8,Vol POC|W-S1|M-Pivot,82.88,3,Swing Lo|Prev-Wk Lo,89.86,92.0,85.86,2022-12-05
