symbol,accumulation_prob,accumulation_score
RAMCOSYS,0.9933,99.3
CORONA,0.978,97.8
WELSPUNLIV,0.9988,99.9
GOKEX,0.9664,96.6
EBGNG,0.9928,99.3
POCL,0.9898,99.0
JAYBARMARU,0.9867,98.7
BAJAJCON,0.9984,99.8
LODHA,0.9395,94.0
PAYTM,0.9896,99.0
MUTHOOTMF,0.9989,99.9
NYKAA,0.9988,99.9
FUSION,0.9983,99.8
KSL,0.9968,99.7
SENORES,0.9989,99.9
INDNIPPON,0.9979,99.8
SATIN,0.9988,99.9
HESTERBIO,0.9975,99.8
OFSS,0.999,99.9
LENSKART,0.826,82.6
GOODLUCK,0.9978,99.8
TRIVENI,0.9987,99.9
GODREJIND,0.9979,99.8
RATEGAIN,0.9986,99.9
SKYGOLD,0.9966,99.7
CUPID,0.9984,99.8
LLOYDSENGG,0.9926,99.3
UTLSOLAR,0.9903,99.0
ARMANFIN,0.9847,98.5
INDOBORAX,0.9872,98.7
WELCORP,0.9982,99.8
AURUM,0.9933,99.3
RPTECH,0.9912,99.1
SPORTKING,0.9947,99.5
CRAFTSMAN,0.9004,90.0
NAM-INDIA,0.9967,99.7
SANGAMIND,0.9966,99.7
SUVEN,0.9959,99.6
RISHABH,0.9881,98.8
KMEW,0.9977,99.8
KABRAEXTRU,0.9962,99.6
RML,0.9896,99.0
RANEHOLDIN,0.9963,99.6
GREAVESCOT,0.9965,99.6
ABCAPITAL,0.9928,99.3
GNA,0.9976,99.8
WABAG,0.9967,99.7
PPAP,0.9771,97.7
UFBL,0.9545,95.4
UJJIVANSFB,0.994,99.4
PGIL,0.9977,99.8
EQUITASBNK,0.9955,99.6
BETA,0.9722,97.2
KAJARIACER,0.9926,99.3
AMAGI,0.9822,98.2
KDDL,0.9982,99.8
SPANDANA,0.9938,99.4
PHOENIXLTD,0.9961,99.6
PNBHOUSING,0.9914,99.1
EMCURE,0.9108,91.1
SKMEGGPROD,0.9856,98.6
KAPSTON,0.9736,97.4
FILATEX,0.9937,99.4
NORTHARC,0.9947,99.5
STARHEALTH,0.9951,99.5
VENUSPIPES,0.9945,99.4
THELEELA,0.9942,99.4
GRANULES,0.9985,99.8
SIGNPOST,0.9806,98.1
CREDITACC,0.9957,99.6
MOREPENLAB,0.9936,99.4
PAISALO,0.9974,99.7
ESAFSFB,0.9919,99.2
SPAL,0.9844,98.4
RAMCOIND,0.9845,98.5
LAURUSLABS,0.9976,99.8
HONASA,0.9952,99.5
JSWINFRA,0.9967,99.7
TIPSMUSIC,0.9895,99.0
RPEL,0.9954,99.5
SHILPAMED,0.9864,98.6
INDSWFTLAB,0.9894,98.9
