symbol,ml_bull_run_score,ml_label,prob_MARKDOWN,prob_NEUTRAL,prob_ACCUMULATION,prob_WATCHLIST,prob_EMERGING,prob_BULL_RUN
RAMCOSYS,98.67,BULL_RUN,0.0001,0.0017,0.0001,0.0044,0.0502,0.9435
CORONA,98.13,BULL_RUN,0.0001,0.0021,0.0001,0.018,0.0488,0.931
WELSPUNLIV,98.31,BULL_RUN,0.0,0.0002,0.0,0.0009,0.0815,0.9173
GOKEX,97.94,BULL_RUN,0.0001,0.0012,0.0001,0.0306,0.0364,0.9316
EBGNG,98.96,BULL_RUN,0.0,0.0007,0.0,0.0036,0.0422,0.9535
POCL,98.91,BULL_RUN,0.0,0.0007,0.0,0.0064,0.0384,0.9545
JAYBARMARU,97.96,BULL_RUN,0.0001,0.0017,0.0,0.0064,0.0818,0.91
BAJAJCON,97.39,BULL_RUN,0.0,0.0003,0.0,0.0021,0.1251,0.8724
LODHA,99.12,BULL_RUN,0.0,0.0006,0.0001,0.0138,0.0138,0.9718
PAYTM,99.08,BULL_RUN,0.0,0.0003,0.0,0.0018,0.0413,0.9566
MUTHOOTMF,98.22,BULL_RUN,0.0,0.0001,0.0,0.0008,0.0868,0.9122
NYKAA,98.79,BULL_RUN,0.0,0.0001,0.0,0.0004,0.0591,0.9404
FUSION,99.35,BULL_RUN,0.0,0.0001,0.0,0.0004,0.0312,0.9683
KSL,98.31,BULL_RUN,0.0,0.0001,0.0,0.0012,0.0815,0.9171
SENORES,80.01,EMERGING,0.0,0.0003,0.0,0.0015,0.9954,0.0028
INDNIPPON,79.97,EMERGING,0.0,0.0002,0.0,0.0013,0.9976,0.0008
SATIN,80.04,EMERGING,0.0,0.0002,0.0,0.0012,0.9949,0.0037
HESTERBIO,79.96,EMERGING,0.0,0.0003,0.0,0.0016,0.9975,0.0006
OFSS,80.07,EMERGING,0.0,0.0002,0.0,0.0009,0.9938,0.005
LENSKART,77.93,EMERGING,0.0002,0.0109,0.0002,0.0709,0.9162,0.0015
GOODLUCK,80.06,EMERGING,0.0,0.0003,0.0,0.0021,0.9912,0.0063
TRIVENI,80.05,EMERGING,0.0,0.0002,0.0,0.0015,0.9936,0.0046
GODREJIND,80.14,EMERGING,0.0,0.0002,0.0,0.0017,0.9888,0.0093
RATEGAIN,80.17,EMERGING,0.0,0.0003,0.0,0.0012,0.9877,0.0107
SKYGOLD,79.97,EMERGING,0.0,0.0007,0.0,0.0033,0.9919,0.004
CUPID,79.97,EMERGING,0.0,0.0003,0.0,0.002,0.9962,0.0014
LLOYDSENGG,79.89,EMERGING,0.0,0.0007,0.0,0.0047,0.9931,0.0014
UTLSOLAR,79.88,EMERGING,0.0001,0.001,0.0,0.0046,0.9919,0.0023
ARMANFIN,79.77,EMERGING,0.0001,0.0006,0.0,0.01,0.9888,0.0005
INDOBORAX,79.84,EMERGING,0.0001,0.0021,0.0,0.0037,0.992,0.0021
WELCORP,80.02,EMERGING,0.0,0.0002,0.0,0.0006,0.9971,0.002
AURUM,79.9,EMERGING,0.0,0.0007,0.0,0.0048,0.9922,0.0022
RPTECH,79.91,EMERGING,0.0001,0.0009,0.0001,0.0047,0.9908,0.0035
SPORTKING,79.94,EMERGING,0.0,0.0003,0.0001,0.002,0.9973,0.0002
CRAFTSMAN,78.78,EMERGING,0.0001,0.0019,0.0001,0.0566,0.9394,0.0019
NAM-INDIA,79.94,EMERGING,0.0,0.0001,0.0,0.0024,0.9973,0.0001
SANGAMIND,79.94,EMERGING,0.0,0.0003,0.0,0.0023,0.997,0.0004
SUVEN,80.05,EMERGING,0.0,0.0006,0.0,0.0021,0.9907,0.0066
RISHABH,79.85,EMERGING,0.0001,0.0018,0.0001,0.0073,0.9848,0.0058
KMEW,80.06,EMERGING,0.0,0.0005,0.0,0.0024,0.9902,0.0069
KABRAEXTRU,80.03,EMERGING,0.0,0.0003,0.0,0.0015,0.9938,0.0043
RML,80.13,EMERGING,0.0001,0.0007,0.0001,0.0077,0.9749,0.0166
RANEHOLDIN,79.9,EMERGING,0.0,0.0005,0.0,0.0053,0.9923,0.0019
GREAVESCOT,79.97,EMERGING,0.0,0.0004,0.0,0.0028,0.9941,0.0026
ABCAPITAL,79.92,EMERGING,0.0,0.0003,0.0,0.0041,0.9947,0.0008
GNA,79.99,EMERGING,0.0,0.0002,0.0,0.0015,0.9965,0.0017
WABAG,80.05,EMERGING,0.0,0.0006,0.0,0.002,0.9907,0.0066
PPAP,79.76,EMERGING,0.0001,0.0028,0.0,0.0064,0.9874,0.0033
UFBL,79.48,EMERGING,0.0001,0.0015,0.0001,0.0239,0.9717,0.0028
UJJIVANSFB,79.97,EMERGING,0.0,0.0004,0.0,0.0027,0.9942,0.0026
PGIL,79.98,EMERGING,0.0,0.0004,0.0,0.0018,0.9956,0.0022
EQUITASBNK,79.91,EMERGING,0.0,0.0002,0.0,0.004,0.9954,0.0003
BETA,79.77,EMERGING,0.0001,0.0029,0.0001,0.0044,0.9908,0.0018
KAJARIACER,79.81,EMERGING,0.0,0.0002,0.0,0.0089,0.9909,0.0
AMAGI,79.93,EMERGING,0.0001,0.0012,0.0,0.003,0.9922,0.0035
KDDL,79.94,EMERGING,0.0,0.0003,0.0,0.0022,0.9973,0.0002
SPANDANA,80.24,EMERGING,0.0001,0.0006,0.0,0.008,0.9691,0.0222
PHOENIXLTD,79.97,EMERGING,0.0,0.0002,0.0,0.0012,0.9981,0.0005
PNBHOUSING,79.93,EMERGING,0.0,0.0002,0.0,0.0033,0.9961,0.0003
EMCURE,78.48,EMERGING,0.0001,0.0015,0.0001,0.0717,0.926,0.0007
SKMEGGPROD,79.81,EMERGING,0.0001,0.0019,0.0001,0.0047,0.992,0.0013
