symbol,sector,as_of_date,bull_run_score,label,label_enc,price_score,sector_flow_score,deal_score,corporate_score,regime_multiplier,ret_30d,ret_90d,ret_365d,vol_ratio,sector_rel_30d,sector_combined_score,rotation_signal_enc,sec_FII_5d,sec_FII_20d,sec_FII_60d,sec_DII_5d,sec_DII_20d,sec_DII_60d,sec_smart_money,sec_retail_score,part_FII_flow,part_DII_flow,part_smart_money,regime_enc,mkt_cap_enc,fund_promoter_pct,fund_fii_pct,fund_dii_pct,shp_promoter_pct,shp_fii_pct,shp_dii_pct,index_count,div_count_12m,has_buyback_12m,has_bonus_12m,corp_confidence,deal_net_cr,ann_score_30d,high_signal_30d,distinct_types_30d,ann_velocity_30d,order_wins_6m,spurt_count_30d,distress_30d,theme_score_max,theme_purity_max,news_sentiment_7d,insider_score,concall_guidance_score,concall_sentiment_score,consensus_score,opm_pct,roce_pct,sales_growth_3y,pe_ratio_log,roe_pct,valuation_label_enc,yoy_revenue_pct,yoy_profit_pct,vs_dma_200,trend_signal_enc,fno_oi_signal_enc,rsi_14,rsi_zone_enc,macd_hist,macd_signal_enc,bb_pct_b,bb_squeeze,adx_14,adx_trending,forward_return_score,rvol,rs_30d_vs_nifty,delivery_5d_pct,promoter_delta,fii_delta,dii_delta,conviction_signal_enc,ai_tone_score,management_score,management_label_enc,astro_score,kundli_score,kundli_yoga_score,kundli_yoga_count,kundli_dasha_benefic
RBA,HOSPITALITY,2026-08-17,68.26,BULL_RUN,5,90.96,39.46,95.57,50.0,0.9,45.05,47.02,28.07,0.294,47.27,-16.86,2.0,34729.76,142069.25,387894.97,-306800.24,-1281516.62,-3725060.72,-28.46,22.29,37.62,-37.45,13.18,2,1.0,0.1126,0.1059,0.4561,9.22,8.200000000000001,39.98,,,,,,30.7211,905.0,7.0,5.0,0.483,0.0,0.0,0.0,45.05,1.0,,,,,49.46,12.26,-2.29,18.57,,-3.57,1.0,,,48.64,1.0,,76.05,0.0,0.9409,1.0,0.8524,27.41,45.8,1.0,55.4,0.27,47.82,28.9,-2.04,-2.39,-5.63,0.0,,44.0,1.0,-15.7,67.0,47.0,5.0,1.0
NEULANDLAB,PHARMA,2026-08-17,67.62,BULL_RUN,5,94.03,34.05,96.4,38.89,0.9,26.19,42.62,79.64,0.924,28.21,-1.01,2.0,147220.57,461968.55,1240426.68,-1300268.68,-4227889.96,-12102339.59,-2.2,68.44,37.62,-37.45,13.18,2,0.0,0.3263,0.2046,0.1584,32.629999999999995,20.46,15.840000000000002,4.0,1.0,0.0,0.0,0.5,139.3247,832.0,7.0,6.0,0.667,0.0,0.0,0.0,49.83,1.0,,,,,,36.75,23.42,12.48,4.496024738727294,18.96,2.0,,,49.2,1.0,,71.86,0.0,50.0,2.0,1.1062,12.08,26.51,1.0,53.8,0.87,28.96,44.6,0.0,-0.44,1.13,3.0,,53.0,1.0,-24.8,96.0,50.0,5.0,1.0
PAYTM,RETAIL,2026-08-17,67.59,BULL_RUN,5,86.89,39.26,99.45,50.0,0.9,16.1,39.69,26.1,0.46,17.13,-15.36,2.0,91411.65,367381.64,963951.85,-807499.57,-3404793.37,-9519794.68,-19.88,38.82,37.62,-37.45,13.18,2,0.0,0.0,0.494,0.2308,0.0,49.4,23.08,7.0,,,,,1322.561,820.0,5.0,8.0,0.6,0.0,0.0,0.0,39.69,1.0,,,,,,-2.67,-4.94,18.53,,-11.41,1.0,,,31.33,1.0,1.0,58.63,1.0,7.5301,2.0,0.9444,11.48,14.33,0.0,50.1,0.44,18.87,38.5,0.0,-2.36,2.76,2.0,,44.0,1.0,23.8,43.0,38.0,4.0,1.0
IRISDOREME,TEXTILES,2026-08-17,67.54,BULL_RUN,5,86.22,38.69,94.18,50.0,0.9,24.52,63.67,,1.106,26.48,-13.17,2.0,21224.01,62814.5,184327.93,-189086.03,-582872.19,-1821819.74,-19.62,30.68,37.62,-37.45,13.18,2,0.0,0.6117,0.0,0.0079,61.17,0.0,0.79,,,,,,8.25,760.0,6.0,5.0,0.52,0.0,0.0,0.0,45.61,1.0,,,,,,18.16,11.1,3.14,3.34533224882076,8.33,2.0,,,58.51,1.0,,68.94,1.0,0.2636,2.0,0.9784,19.75,17.2,0.0,44.3,1.03,27.29,32.7,0.0,0.0,-0.09,1.0,,50.0,1.0,,69.0,44.0,3.0,0.0
ROLEXRINGS,AUTO,2026-08-17,66.97,BULL_RUN,5,67.21,37.52,94.74,77.78,0.9,15.4,21.03,-86.96,0.365,13.14,-15.39,2.0,182304.18,653156.26,1678870.35,-1608676.81,-5982697.23,-16373082.74,-5.88,66.43,37.62,-37.45,13.18,2,1.0,0.5224,0.0601,0.3026,52.24,6.01,30.26,,0.0,1.0,0.0,4.0,16.6165,670.0,7.0,4.0,0.562,0.0,0.0,0.0,50.03,1.0,,,,,,14.05,8.44,3.89,1.3686394258811698,12.4,3.0,,,34.8,1.0,,65.99,1.0,1.0503,2.0,0.9766,11.24,17.72,0.0,53.1,0.34,18.17,26.6,-1.13,0.05,0.09,0.0,,32.0,0.0,-24.8,49.0,38.0,3.0,0.0
THYROCARE,HEALTHCARE,2026-08-17,65.65,BULL_RUN,5,70.23,40.84,99.17,66.67,0.9,17.33,33.85,-51.17,0.195,16.54,3.63,2.0,57701.01,133978.67,357991.56,-511071.14,-1235115.83,-3465063.98,-19.95,16.25,37.62,-37.45,13.18,2,1.0,0.6092,0.0537,0.2099,60.92,5.37,20.99,,2.0,0.0,1.0,3.0,866.0517999999998,765.0,4.0,4.0,0.667,0.0,0.0,0.0,49.83,1.0,,,,,,27.57,18.0,1.89,3.1354942159291497,19.25,3.0,,,33.22,1.0,,60.69,1.0,-3.3013,1.0,0.8091,9.16,51.49,1.0,49.4,0.19,20.1,50.3,-0.01,0.05,0.82,3.0,,61.0,2.0,-24.8,55.0,45.0,3.0,0.0
SUDEEPPHRM,PHARMA,2026-08-17,64.05,BULL_RUN,5,83.07,34.05,98.61,38.89,0.9,24.7,69.74,,0.217,26.72,-1.01,2.0,147220.57,461968.55,1240426.68,-1300268.68,-4227889.96,-12102339.59,-2.2,68.44,37.62,-37.45,13.18,2,1.0,0.7615,0.0155,0.1811,76.14999999999999,1.55,18.11,,1.0,0.0,0.0,0.5,520.0002,655.0,6.0,4.0,0.556,0.0,0.0,0.0,49.83,1.0,,,,,,,,,,,,,,,1.0,,63.94,1.0,-0.6429,1.0,0.7703,23.67,46.8,1.0,44.5,0.2,27.47,40.5,0.0,0.01,3.35,3.0,,53.0,1.0,-24.8,18.0,12.0,1.0,0.0
CREDITACC,FINANCIAL_SERVICES,2026-08-17,62.52,BULL_RUN,5,68.45,38.17,97.78,50.0,0.9,2.91,16.99,12.88,0.121,4.25,-2.21,2.0,231953.0,937007.01,2703367.04,-2049541.97,-8677871.9,-26407866.45,-31.48,30.94,37.62,-37.45,13.18,2,2.0,0.6624,0.1294,0.1259,66.24,12.94,12.590000000000002,4.0,,,,,301.88339999999994,1255.0,13.0,5.0,0.552,0.0,0.0,0.0,46.22,1.0,,,0.0,0.0,48.06,26.19,7.41,22.82,3.4937765629552486,12.8,2.0,,,15.32,2.0,,66.64,1.0,12.9347,2.0,0.9141,23.49,24.86,0.0,52.1,0.12,5.68,53.2,-0.04,1.26,-0.64,2.0,,44.0,1.0,,-15.0,-10.0,1.0,0.0
INDGN,HEALTHCARE,2026-08-17,62.49,BULL_RUN,5,71.11,40.84,100.0,38.89,0.9,9.94,8.85,-0.04,0.266,9.15,3.63,2.0,57701.01,133978.67,357991.56,-511071.14,-1235115.83,-3465063.98,-19.95,16.25,37.62,-37.45,13.18,2,2.0,0.0,0.1027,0.083,0.0,10.27,8.3,3.0,1.0,0.0,0.0,0.5,1770.5175,955.0,8.0,6.0,0.6,0.0,0.0,0.0,49.83,1.0,,,,,,23.53,16.92,100.0,3.3884498088396526,15.23,2.0,,,11.56,1.0,,53.85,1.0,-0.2154,1.0,0.659,6.12,20.78,0.0,36.6,0.25,12.71,60.7,0.0,-1.21,0.23,1.0,,50.0,1.0,-24.8,30.0,3.0,2.0,0.0
PVP,REALTY,2026-08-17,61.68,BULL_RUN,5,94.92,40.96,50.0,50.0,0.9,26.53,36.82,76.83,1.797,28.27,-23.97,2.0,48018.27,206712.16,787367.75,-425780.4,-1993624.52,-7736322.18,-55.64,-26.7,37.62,-37.45,13.18,2,0.0,0.613,0.005,0.0,61.3,0.5,0.0,,,,,,,739.0,4.0,5.0,0.65,0.0,3.0,0.0,41.82,1.0,,,,,,-44.75,-0.87,0.91,,-30.0,1.0,,,,1.0,,49.45,1.0,-0.2036,1.0,0.3145,15.8,17.46,0.0,57.6,1.65,29.3,48.4,0.0,-0.12,0.0,1.0,,50.0,1.0,-35.4,100.0,87.0,5.0,0.0
