symbol,ref_date,rsi_14,macd_hist,bb_pct_b,adx_14,vs_dma_200,vol_ratio,fwd_ret_20d,fwd_ret_45d,fwd_ret_60d,is_up_10_20d,is_up_15_45d,is_up_20_60d
20MICRONS,2024-03-12,,,,,,,0.0612,0.2123,0.0985,0.0,1,0.0
20MICRONS,2024-03-26,,,,,,,0.0608,0.1552,0.3307,0.0,1,1.0
20MICRONS,2024-04-09,,,,,,,0.1127,0.1782,0.4083,1.0,1,1.0
20MICRONS,2024-04-23,,,,,,,0.2011,0.3903,0.4208,1.0,1,1.0
20MICRONS,2024-05-07,,,,,,,-0.0697,0.3413,0.6248,0.0,1,1.0
20MICRONS,2024-05-21,,,,,,,0.0444,0.2007,0.624,0.0,1,1.0
20MICRONS,2024-06-04,,,,,,,0.3605,0.6638,1.0784,1.0,1,1.0
20MICRONS,2024-06-18,,,,,,,0.1326,0.7014,0.6422,1.0,1,1.0
20MICRONS,2024-07-02,,,,,,,0.2837,0.4585,0.3914,1.0,1,1.0
20MICRONS,2024-07-16,,,,,,,0.3729,0.3706,0.2564,1.0,1,1.0
20MICRONS,2024-07-30,,,,,,,0.19,0.057,,1.0,0,
20MICRONS,2025-01-14,,,,,,,-0.2745,-0.1336,-0.1184,0.0,0,0.0
20MICRONS,2025-01-28,,,,,,,-0.0312,0.0697,0.1358,0.0,0,0.0
20MICRONS,2025-02-11,,,,,,,0.161,0.3507,0.3301,1.0,1,1.0
20MICRONS,2025-02-25,,,,,,,0.0716,0.1644,0.2774,0.0,1,1.0
20MICRONS,2025-03-12,,,,,,,0.0466,0.2389,0.1668,0.0,1,0.0
20MICRONS,2025-03-27,,,,,,,0.0941,0.1917,0.1968,0.0,1,0.0
20MICRONS,2025-04-15,,,,,,,0.0947,0.1009,0.1122,0.0,0,0.0
20MICRONS,2025-04-30,,,,,,,0.0896,0.0712,0.2841,0.0,0,1.0
20MICRONS,2025-05-15,,,,,,,0.0184,0.1383,0.0447,0.0,0,0.0
20MICRONS,2025-05-29,,,,,,,0.0039,0.0221,0.0217,0.0,0,0.0
20MICRONS,2025-06-12,,,,,,,-0.0023,0.0022,0.0082,0.0,0,0.0
20MICRONS,2025-06-26,,,,,,,0.1739,0.0073,-0.0084,1.0,0,0.0
20MICRONS,2025-07-10,,,,,,,0.0283,-0.0103,-0.074,0.0,0,0.0
20MICRONS,2025-07-24,,,,,,,-0.1331,-0.2215,-0.2147,0.0,0,0.0
