symbol,forward_return_prob,forward_return_score
20MICRONS,0.3445,34.4
21STCENMGM,0.302,30.2
360ONE,0.5037,50.4
3BBLACKBIO,0.5702,57.0
3IINFOLTD,0.3282,32.8
3MINDIA,0.5467,54.7
3PLAND,0.3811,38.1
5PAISA,0.4197,42.0
63MOONS,0.382,38.2
A2ZINFRA,0.6427,64.3
AAATECH,0.4757,47.6
AADHARHFC,0.4441,44.4
AAKASH,0.5965,59.7
AAREYDRUGS,0.3326,33.3
AARNAV,0.4338,43.4
AARON,0.705,70.5
AARTECH,0.2194,21.9
AARTIDRUGS,0.2682,26.8
AARTIIND,0.4551,45.5
AARTIPHARM,0.4377,43.8
AARTISURF,0.4048,40.5
AARVI,0.5069,50.7
AAVAS,0.5035,50.4
ABAN,0.5086,50.9
ABANSENT,0.2089,20.9
ABB,0.6138,61.4
ABBOTINDIA,0.4596,46.0
ABCAPITAL,0.553,55.3
ABCOTS,0.4977,49.8
ABDL,0.502,50.2
ABFRL,0.3791,37.9
ABGSEC,0.1767,17.7
ABINFRA,0.6341,63.4
ABLBL,0.3619,36.2
ABMINTLLTD,0.3342,33.4
ABMKNO,0.3765,37.7
ABREL,0.4782,47.8
ABSL10BANK,0.3335,33.4
ABSLAMC,0.5833,58.3
ABSLBANETF,0.2178,21.8
ABSLLIQUID,0.0189,1.9
ABSLMSCIN,0.3689,36.9
ABSLNN50ET,0.1986,19.9
ABSLPSE,0.1889,18.9
ACC,0.5708,57.1
ACCELYA,0.5363,53.6
ACCURACY,0.3393,33.9
ACE,0.4152,41.5
ACEINTEG,0.1963,19.6
ACI,0.3859,38.6
ACL,0.59,59.0
ACLGATI,0.4468,44.7
ACMESOLAR,0.5712,57.1
ACSTECH,0.5073,50.7
ACUTAAS,0.3469,34.7
ADANIENSOL,0.6297,63.0
ADANIENT,0.527,52.7
ADANIGREEN,0.6065,60.7
ADANIPORTS,0.6044,60.4
ADANIPOWER,0.6508,65.1
ADFFOODS,0.4912,49.1
ADL,0.3528,35.3
ADOR,0.5695,56.9
ADROITINFO,0.3306,33.1
ADSL,0.3861,38.6
ADVAIT,0.4522,45.2
ADVANCE,0.6249,62.5
ADVANIHOTR,0.2924,29.2
ADVENTHTL,0.534,53.4
ADVENZYMES,0.4671,46.7
AEGISLOG,0.3182,31.8
AEGISVOPAK,0.3319,33.2
AEPL,0.4697,47.0
AEQUS,0.5417,54.2
AEROENTER,0.5715,57.2
AEROFLEX,0.5061,50.6
AERONEU,0.6288,62.9
AETHER,0.5754,57.5
AFCONS,0.3143,31.4
AFFLE,0.4962,49.6
AFFORDABLE,0.661,66.1
AFIL,0.4036,40.4
AFSL,0.0327,3.3
AGARIND,0.2642,26.4
AGARWALEYE,0.4433,44.3
AGI,0.2663,26.6
AGIIL,0.5675,56.7
AGRITECH,0.4037,40.4
AGROPHOS,0.4093,40.9
AHCL,0.3997,40.0
AHLADA,0.5747,57.5
AHLEAST,0.4514,45.1
AHLUCONT,0.435,43.5
AHLWEST,0.2089,20.9
AIAENG,0.5586,55.9
AIIL,0.1972,19.7
AIRAN,0.3156,31.6
AIROLAM,0.2742,27.4
AJANTPHARM,0.4618,46.2
AJAXENGG,0.444,44.4
AJMERA,0.4272,42.7
AJOONI,0.4266,42.7
AKASH,0.3475,34.7
AKCAPIT,0.4891,48.9
AKG,0.2036,20.4
AKI,0.5545,55.5
AKSHAR,0.1997,20.0
AKSHARCHEM,0.4549,45.5
AKSHOPTFBR,0.293,29.3
AKUMS,0.5766,57.7
AKZOINDIA,0.4878,48.8
ALANKIT,0.3776,37.8
ALBERTDAVD,0.4005,40.1
ALEMBICLTD,0.3516,35.2
ALGOQUANT,0.6022,60.2
ALICON,0.4119,41.2
ALIVUS,0.5745,57.4
ALKALI,0.4084,40.8
ALKEM,0.4434,44.3
ALKYLAMINE,0.4207,42.1
ALLCARGO,0.6152,61.5
ALLDIGI,0.3983,39.8
ALLTIME,0.1725,17.2
ALMONDZ,0.519,51.9
ALOKINDS,0.3115,31.1
ALPA,0.3305,33.1
ALPHA,0.2953,29.5
ALPHAETF,0.2334,23.3
ALPHAGEO,0.4175,41.7
ALPL30IETF,0.2908,29.1
ALPSINDUS,0.2089,20.9
AMAGI,0.5672,56.7
AMANTA,0.3742,37.4
AMBALALSA,0.6064,60.6
AMBER,0.4426,44.3
AMBICAAGAR,0.2225,22.2
AMBIKCO,0.5621,56.2
AMBUJACEM,0.557,55.7
AMDIND,0.3366,33.7
AMIRCHAND,0.3452,34.5
AMJLAND,0.4422,44.2
AMNPLST,0.4036,40.4
AMRUTANJAN,0.5169,51.7
ANANDRATHI,0.5629,56.3
ANANTRAJ,0.4197,42.0
ANDHRAPAP,0.3708,37.1
ANDHRSUGAR,0.3418,34.2
ANGELONE,0.6155,61.5
ANIKINDS,0.4474,44.7
ANMOL,0.2147,21.5
ANTELOPUS,0.6076,60.8
ANTGRAPHIC,0.3189,31.9
ANTHEM,0.4892,48.9
ANUHPHR,0.2715,27.2
ANUP,0.4309,43.1
ANURAS,0.3664,36.6
AONEGOLD,0.2856,28.6
AONELIQUID,0.1014,10.1
AONENIFTY,0.2984,29.8
AONESILVER,0.5368,53.7
AONETMMQ50,0.2987,29.9
AONETOTAL,0.2719,27.2
APARINDS,0.5779,57.8
APCL,0.6159,61.6
APCOTEXIND,0.52,52.0
APEX,0.5281,52.8
APLAPOLLO,0.346,34.6
APLLTD,0.3242,32.4
APOLLO,0.6322,63.2
APOLLOHOSP,0.5393,53.9
APOLLOPIPE,0.6495,64.9
APOLLOTYRE,0.4248,42.5
APOLSINHOT,0.3626,36.3
APTECHT,0.339,33.9
APTUS,0.2666,26.7
AQYLON,0.4577,45.8
ARCHIDPLY,0.1798,18.0
ARCHIES,0.2918,29.2
ARE&M,0.4712,47.1
ARENTERP,0.4732,47.3
ARFIN,0.6209,62.1
ARIES,0.361,36.1
ARIHANT,0.4736,47.4
ARIHANTCAP,0.5598,56.0
ARIHANTSUP,0.5049,50.5
ARIS,0.7074,70.7
ARISINFRA,0.3472,34.7
ARKADE,0.3795,37.9
ARMANFIN,0.4647,46.5
AROGRANITE,0.3419,34.2
ARROWGREEN,0.4215,42.2
ARSSBL,0.6902,69.0
ARTEMISMED,0.3689,36.9
ARTNIRMAN,0.2324,23.2
ARVEE,0.258,25.8
ARVIND,0.4514,45.1
ARVINDFASN,0.4498,45.0
ARVSMART,0.2852,28.5
ASAHIINDIA,0.482,48.2
ASAHISONG,0.3704,37.0
ASAL,0.4946,49.5
ASALCBR,0.4484,44.8
ASHAPURMIN,0.4176,41.8
ASHIANA,0.5929,59.3
ASHIKA,0.6141,61.4
ASHIMASYN,0.3805,38.0
ASHOKA,0.3916,39.2
ASHOKAMET,0.3808,38.1
ASHOKLEY,0.4364,43.6
ASIANENE,0.5422,54.2
ASIANHOTNR,0.4363,43.6
ASIANPAINT,0.4664,46.6
ASIANTILES,0.3636,36.4
ASKAUTOLTD,0.4522,45.2
ASMS,0.3256,32.6
ASPINWALL,0.2529,25.3
ASTAR,0.147,14.7
ASTEC,0.4825,48.2
ASTERDM,0.5852,58.5
ASTRAL,0.5845,58.4
ASTRAMICRO,0.5352,53.5
ASTRAZEN,0.5289,52.9
ASTRON,0.1002,10.0
ATALREAL,0.4625,46.3
ATAM,0.578,57.8
ATGL,0.5116,51.2
ATHERENERG,0.478,47.8
ATL,0.3411,34.1
ATLANTAA,0.6478,64.8
ATLANTAELE,0.367,36.7
ATLASCYCLE,0.392,39.2
ATUL,0.4878,48.8
ATULAUTO,0.4193,41.9
AUBANK,0.5032,50.3
AURIGROW,0.5258,52.6
AURIONPRO,0.5046,50.5
AUROPHARMA,0.5784,57.8
AURUM,0.52,52.0
AUSOMENT,0.6346,63.5
AUTOAXLES,0.4854,48.5
AUTOBEES,0.3088,30.9
AUTOIETF,0.3111,31.1
AUTOIND,0.3325,33.2
AVADHSUGAR,0.3322,33.2
AVAILFC,0.2089,20.9
AVALON,0.4435,44.4
AVANTEL,0.3405,34.0
AVANTIFEED,0.3346,33.5
AVG,0.2474,24.7
AVL,0.5178,51.8
AVONMORE,0.6906,69.1
AVROIND,0.4247,42.5
AVTNPL,0.2866,28.7
AWFIS,0.7695,77.0
AWHCL,0.3779,37.8
AWL,0.4355,43.5
AXISBANK,0.4205,42.1
AXISBNKETF,0.4558,45.6
AXISBPSETF,0.1114,11.1
AXISCADES,0.5183,51.8
AXISCETF,0.3871,38.7
AXISGOLD,0.3924,39.2
AXISHCETF,0.2905,29.0
AXISILVER,0.3933,39.3
AXISNIFTY,0.254,25.4
AXISTECETF,0.3232,32.3
AXISVALUE,0.299,29.9
AXITA,0.5837,58.4
AXSENSEX,0.3616,36.2
AYE,0.5431,54.3
AYMSYNTEX,0.3664,36.6
AZAD,0.6119,61.2
BAFNAPH,0.3434,34.3
BAGFILMS,0.3093,30.9
BAIDFIN,0.3011,30.1
BAJAJ-AUTO,0.4659,46.6
BAJAJCON,0.5452,54.5
BAJAJELEC,0.6147,61.5
BAJAJFINSV,0.474,47.4
BAJAJHCARE,0.4315,43.1
BAJAJHFL,0.3318,33.2
BAJAJHIND,0.4059,40.6
BAJAJHLDNG,0.5237,52.4
BAJAJINDEF,0.5454,54.5
BAJAJST,0.4556,45.6
BAJEL,0.3099,31.0
BAJFINANCE,0.461,46.1
BALAJEE,0.2489,24.9
BALAJITELE,0.3329,33.3
BALAMINES,0.5085,50.8
BALAXI,0.3905,39.0
BALKRISHNA,0.2826,28.3
BALKRISIND,0.4053,40.5
BALMLAWRIE,0.3258,32.6
BALPHARMA,0.5633,56.3
BALRAMCHIN,0.5048,50.5
BALUFORGE,0.4984,49.8
BANARBEADS,0.4271,42.7
BANARISUG,0.3336,33.4
BANCOINDIA,0.5157,51.6
BANDHANBNK,0.6072,60.7
BANG,0.591,59.1
BANK10ADD,0.2192,21.9
BANKA,0.2019,20.2
BANKADD,0.2682,26.8
BANKBARODA,0.44,44.0
BANKBEES,0.4267,42.7
BANKBETA,0.5166,51.7
BANKBETF,0.3246,32.5
BANKETF,0.3713,37.1
BANKETFADD,0.3705,37.1
BANKIETF,0.3656,36.6
BANKINDIA,0.39,39.0
BANKNIFTY1,0.7273,72.7
BANKPSU,0.223,22.3
BANSALWIRE,0.3459,34.6
BANSWRAS,0.3397,34.0
BARBEQUE,0.3394,33.9
BASF,0.4217,42.2
BASML,0.3911,39.1
BATAINDIA,0.5311,53.1
BATLIBOI,0.4952,49.5
BAYERCROP,0.4634,46.3
BBETF0432,0.2471,24.7
BBL,0.4567,45.7
BBNPNBETF,0.2157,21.6
BBNPPGOLD,0.3641,36.4
BBOX,0.5248,52.5
BBTC,0.3891,38.9
BBTCL,0.5751,57.5
BCG,0.3291,32.9
BCLIND,0.3761,37.6
BCONCEPTS,0.6114,61.1
BCPL,0.598,59.8
BDL,0.4745,47.5
BEARDSELL,0.2973,29.7
BECTORFOOD,0.5737,57.4
BEDMUTHA,0.4427,44.3
BEEKAY,0.4561,45.6
BEL,0.3917,39.2
BELLACASA,0.5776,57.8
BELRISE,0.5538,55.4
BEML,0.5077,50.8
BENGALASM,0.4858,48.6
BEPL,0.4481,44.8
BERGEPAINT,0.4363,43.6
BESTAGRO,0.4772,47.7
BETA,0.536,53.6
BFINVEST,0.3404,34.0
BFSI,0.3182,31.8
BFUTILITIE,0.5658,56.6
BGRENERGY,0.2089,20.9
BHAGCHEM,0.5369,53.7
BHAGERIA,0.321,32.1
BHAGYANGR,0.5811,58.1
BHANDARI,0.1204,12.0
BHARATCOAL,0.4148,41.5
BHARATFORG,0.567,56.7
BHARATGEAR,0.5318,53.2
BHARATRAS,0.7483,74.8
BHARATSE,0.4319,43.2
BHARATWIRE,0.4632,46.3
BHARTIARTL,0.4473,44.7
BHARTIHEXA,0.4569,45.7
BHEL,0.5775,57.8
BI,0.3291,32.9
BIGBLOC,0.3796,38.0
BIKAJI,0.4817,48.2
BIL,0.4745,47.4
BILVYAPAR,0.5771,57.7
BIMETAL,0.4078,40.8
BIOCON,0.4999,50.0
BIOFILCHEM,0.126,12.6
BIRLACABLE,0.368,36.8
BIRLACORPN,0.2485,24.9
BIRLAMONEY,0.4121,41.2
BIRLANU,0.5005,50.0
BIRLAPREC,0.5485,54.9
BLACKBUCK,0.4763,47.6
BLACKROSE,0.2089,20.9
BLAL,0.3587,35.9
BLBLIMITED,0.622,62.2
BLIL,0.6369,63.7
BLISSGVS,0.3031,30.3
BLKASHYAP,0.3587,35.9
BLS,0.3828,38.3
BLSE,0.4121,41.2
BLUECHIP,0.2089,20.9
BLUECOAST,0.4419,44.2
BLUEDART,0.4953,49.5
BLUEJET,0.3634,36.3
BLUESTARCO,0.4949,49.5
BLUESTONE,0.3885,38.8
BLUSPRING,0.4137,41.4
BMWVENTLTD,0.5899,59.0
BNAGROCHEM,0.2089,20.9
BNALTD,0.1227,12.3
BODALCHEM,0.287,28.7
BOHRAIND,0.5472,54.7
BOMDYEING,0.3361,33.6
BONLON,0.5464,54.6
BORANA,0.6312,63.1
BOROLTD,0.4864,48.6
BORORENEW,0.4129,41.3
BOROSCI,0.5175,51.8
BOSCH-HCIL,0.4636,46.4
BOSCHLTD,0.5099,51.0
BPCL,0.3265,32.7
BPL,0.3482,34.8
BRIGADE,0.5004,50.0
BRIGHOTEL,0.3718,37.2
BRITANNIA,0.4909,49.1
BRNL,0.3103,31.0
BROOKS,0.3249,32.5
BSE,0.552,55.2
BSE500IETF,0.1854,18.5
BSHSL,0.2214,22.1
BSL,0.1604,16.0
BSLGOLDETF,0.2396,24.0
BSLNIFTY,0.287,28.7
BSLSENETFG,0.1552,15.5
BSOFT,0.6303,63.0
BTML,0.24,24.0
BTTL,0.5708,57.1
BUILDPRO,0.5042,50.4
BUTTERFLY,0.3895,39.0
BVCL,0.5924,59.2
BYKE,0.4739,47.4
CALSOFT,0.4836,48.4
CAMLINFINE,0.3964,39.6
CAMPUS,0.387,38.7
CAMS,0.5264,52.6
CANBK,0.4767,47.7
CANFINHOME,0.2058,20.6
CANHLIFE,0.6249,62.5
CANTABIL,0.3909,39.1
CAPACITE,0.4455,44.5
CAPILLARY,0.5706,57.1
CAPITALSFB,0.4543,45.4
CAPLIPOINT,0.5007,50.1
CAPTRUST,0.3448,34.5
CARBORUNIV,0.5277,52.8
CARERATING,0.4545,45.4
CARRARO,0.4355,43.6
CARTRADE,0.3934,39.3
CARYSIL,0.5114,51.1
CASHIETF,0.053,5.3
CASTROLIND,0.3545,35.4
CCAVENUE,0.5319,53.2
CCCL,0.5142,51.4
CCHHL,0.3974,39.7
CCL,0.3785,37.9
CDSL,0.4477,44.8
CEATLTD,0.4731,47.3
CEIGALL,0.6036,60.4
CEINSYS,0.6274,62.7
CELEBRITY,0.2185,21.9
CELLO,0.4656,46.6
CEMPRO,0.4246,42.5
CENTENKA,0.4923,49.2
CENTEXT,0.3991,39.9
CENTRALBK,0.3746,37.5
CENTRUM,0.2974,29.7
CENTUM,0.5887,58.9
CENTURYPLY,0.3367,33.7
CERA,0.4098,41.0
CESC,0.4218,42.2
CEWATER,0.4382,43.8
CGCL,0.3317,33.2
CGPOWER,0.5549,55.5
CHALET,0.4864,48.6
CHAMBLFERT,0.4232,42.3
CHEMBOND,0.3296,33.0
CHEMBONDCH,0.3134,31.3
CHEMCON,0.165,16.5
CHEMFAB,0.2032,20.3
CHEMICAL,0.3899,39.0
CHEMPLASTS,0.3466,34.7
CHENNPETRO,0.5556,55.6
CHEVIOT,0.3872,38.7
CHOICEGOLD,0.3742,37.4
CHOICEIN,0.4757,47.6
CHOLAFIN,0.4811,48.1
CHOLAHLDNG,0.4879,48.8
CIEINDIA,0.4532,45.3
CIFL,0.5618,56.2
