symbol,sector,bull_run_score,label,accumulation_score,ml_bull_run_score
ETHOSLTD,FMCG,64.42,BULL_RUN,99.70068,80.78
BAJAJ-AUTO,AUTO,63.1,BULL_RUN,99.58465,80.05
NURECA,HEALTHCARE,61.9,BULL_RUN,99.050865,87.66
SPECTRUM,CAPITAL_GOODS,61.42,BULL_RUN,99.777374,80.2
BIOCON,PHARMA,61.42,BULL_RUN,41.123882,64.8
UNIVCABLES,CAPITAL_GOODS,61.01,BULL_RUN,99.72659,79.95
MPSLTD,HEALTHCARE,60.92,BULL_RUN,99.49635,80.5
SPORTKING,TEXTILES,60.89,BULL_RUN,99.583084,80.14
KAPSTON,OTHER,60.75,BULL_RUN,98.6212,79.7
LALPATHLAB,HEALTHCARE,60.68,BULL_RUN,87.19446,78.62
QUESS,OTHER,60.67,BULL_RUN,99.75361,79.98
RPTECH,IT,60.49,BULL_RUN,99.47857,79.95
RSDFIN,FINANCIAL_SERVICES,60.46,BULL_RUN,99.30225,79.9
NYKAA,RETAIL,60.45,BULL_RUN,99.89503,80.01
GABRIEL,AUTO,60.37,BULL_RUN,99.7764,79.99
LANDMARK,AUTO,60.25,BULL_RUN,98.0374,79.64
DEEPINDS,ENERGY,60.16,BULL_RUN,99.154915,80.13
SONACOMS,AUTO,60.16,BULL_RUN,99.86847,80.24
PAYTM,RETAIL,60.14,BULL_RUN,98.93861,88.26
UYFINCORP,FINANCIAL_SERVICES,60.08,BULL_RUN,96.843735,79.38
SKYGOLD,FMCG,60.05,BULL_RUN,98.91777,79.72
KABRAEXTRU,CAPITAL_GOODS,60.05,BULL_RUN,99.819176,80.28
RATNAVEER,METAL,59.99,EMERGING,99.618225,79.96
SUDEEPPHRM,PHARMA,59.99,EMERGING,21.941326,60.49
RAIN,CHEMICALS,59.98,EMERGING,99.3857,80.36
GANDHAR,ENERGY,59.93,EMERGING,99.788765,79.92
FEDERALBNK,BANKING,59.91,EMERGING,99.72831,79.97
GAEL,AGRICULTURE,59.87,EMERGING,99.81124,79.95
FILATEX,TEXTILES,59.77,EMERGING,99.760605,80.04
DIACABS,FINANCIAL_SERVICES,59.76,EMERGING,99.672516,79.97
CUPID,FMCG,59.74,EMERGING,99.49533,79.93
LAURUSLABS,PHARMA,59.69,EMERGING,99.90638,80.55
MAJESAUT,AUTO,59.67,EMERGING,99.36783,79.95
JINDWORLD,TEXTILES,59.59,EMERGING,99.050644,79.92
DIVISLAB,PHARMA,59.54,EMERGING,99.64304,80.53
CHENNPETRO,METAL,59.49,EMERGING,99.60754,79.9
PRICOLLTD,AUTO,59.44,EMERGING,99.54064,79.99
ESAFSFB,BANKING,59.44,EMERGING,99.643135,79.91
TVSMOTOR,AUTO,59.44,EMERGING,99.36143,80.05
VINDHYATEL,TELECOM,59.3,EMERGING,99.34377,79.93
ABCAPITAL,FINANCIAL_SERVICES,59.29,EMERGING,99.643074,79.92
WELCORP,METAL,59.25,EMERGING,99.83693,79.99
ATULAUTO,AUTO,59.19,EMERGING,99.06709,79.89
UNIPARTS,AUTO,59.12,EMERGING,99.78956,79.97
JSFB,BANKING,59.1,EMERGING,99.23942,79.92
M&MFIN,FINANCIAL_SERVICES,59.09,EMERGING,99.30229,80.14
ARMANFIN,FINANCIAL_SERVICES,59.09,EMERGING,98.31094,79.68
SJS,AUTO,59.05,EMERGING,99.76677,79.96
SCPL,OTHER,59.03,EMERGING,98.22585,79.54
NGLFINE,PHARMA,59.01,EMERGING,99.76786,79.95
ASKAUTOLTD,AUTO,58.99,EMERGING,99.7059,80.24
LLOYDSENGG,CAPITAL_GOODS,58.98,EMERGING,99.4242,79.87
MANAPPURAM,FINANCIAL_SERVICES,58.94,EMERGING,99.63649,79.97
IRISDOREME,TEXTILES,58.93,EMERGING,98.32342,79.9
UJJIVANSFB,BANKING,58.81,EMERGING,99.39802,79.95
TRANSPEK,CAPITAL_GOODS,58.64,EMERGING,98.43709,79.7
CRAFTSMAN,AUTO,58.59,EMERGING,99.36547,79.94
REDINGTON,IT,58.59,EMERGING,99.691376,79.97
ATHERENERG,AUTO,58.55,EMERGING,99.881386,79.99
RITCO,LOGISTICS,58.54,EMERGING,93.38996,79.7
SSWL,AUTO,58.46,EMERGING,99.769684,80.09
MOTHERSON,CAPITAL_GOODS,58.43,EMERGING,98.08604,79.82
THEJO,CAPITAL_GOODS,58.4,EMERGING,98.87187,79.87
HAPPYFORGE,CAPITAL_GOODS,58.35,EMERGING,99.74247,79.95
RANEHOLDIN,FINANCIAL_SERVICES,58.28,EMERGING,99.52249,79.9
ARTEMISMED,HEALTHCARE,58.25,EMERGING,99.01445,79.92
ALGOQUANT,FINANCIAL_SERVICES,58.21,EMERGING,43.52223,74.01
LASERPOWER,OTHER,58.2,EMERGING,1.2392343,59.29
BUILDPRO,RETAIL,58.2,EMERGING,88.208046,78.61
OPTIEMUS,TELECOM,58.17,EMERGING,99.63849,79.95
VADILALIND,FMCG,58.1,EMERGING,99.550735,79.95
ATALREAL,REALTY,58.07,EMERGING,90.34415,78.27
NITINSPIN,TEXTILES,58.06,EMERGING,97.50035,79.81
MEDANTA,HEALTHCARE,58.06,EMERGING,99.644,79.95
SAHYADRI,CHEMICALS,58.03,EMERGING,98.89539,79.84
SHRIPISTON,AUTO,58.0,EMERGING,97.761604,79.88
YASHO,CHEMICALS,57.98,EMERGING,99.77276,80.04
AMAGI,IT,57.94,EMERGING,98.36359,79.95
CYIENTDLM,CAPITAL_GOODS,57.92,EMERGING,99.224915,79.97
SANSERA,AUTO,57.87,EMERGING,99.68454,79.97
