symbol,date,source,headline,sentiment,sent_score,themes,signal_type,link,article_id,processed_at
COALINDIALTD,2026-07-02,MINT_MARKETS,Coal India's June supplies to power sector rise 5.9% on strong electricity demand,BULLISH,1.0,"CAPITAL_EXPENDITURE_INDUSTRY,INDIAN_ECONOMY",COMPANY_SPECIFIC|SECTOR,https://www.livemint.com/market/stock-market-news/coal-indias-june-supplies-to-power-sector-rise-5-9-on-strong-electricity-demand-11783006638264.html,https://www.livemint.com/market/stock-market-news/coal-indias-june-supplies-to-power-sector-rise-5-9-on-strong-electricity-demand-11783006638264.html,2026-07-03 04:11
HZC,2026-07-02,MINT_MARKETS,Hindustan Zinc reports record Q1 mined metal output for fifth straight year,BEARISH,-1.0,"GREEN_ENERGY,MINING",COMPANY_SPECIFIC,https://www.livemint.com/market/stock-market-news/hindustan-zinc-reports-record-q1-mined-metal-output-for-fifth-straight-year-11783002586454.html,https://www.livemint.com/market/stock-market-news/hindustan-zinc-reports-record-q1-mined-metal-output-for-fifth-straight-year-11783002586454.html,2026-07-03 04:11
INFY,2026-07-02,MINT_MARKETS,"Expert view: Broader market to remain range-bound in medium term, says SKG Investment's Director",NEUTRAL,0.0,"DEFENCE_ELECTRONICS,FINANCIALISATION,HEALTHCARE_EXPANSION",MACRO,https://www.livemint.com/market/stock-market-news/expert-view-broader-market-to-remain-range-bound-in-medium-term-says-skg-investments-director-11782990063458.html,https://www.livemint.com/market/stock-market-news/expert-view-broader-market-to-remain-range-bound-in-medium-term-says-skg-investments-director-11782990063458.html,2026-07-03 04:11
RELINFRA,2026-07-02,MINT_MARKETS,"Expert view: Broader market to remain range-bound in medium term, says SKG Investment's Director",BEARISH,-1.0,"DEFENCE_ELECTRONICS,FINANCIALISATION,HEALTHCARE_EXPANSION",MACRO,https://www.livemint.com/market/stock-market-news/expert-view-broader-market-to-remain-range-bound-in-medium-term-says-skg-investments-director-11782990063458.html,https://www.livemint.com/market/stock-market-news/expert-view-broader-market-to-remain-range-bound-in-medium-term-says-skg-investments-director-11782990063458.html,2026-07-03 04:11
CIPLA,2026-07-02,MINT_MARKETS,"Expert view: Broader market to remain range-bound in medium term, says SKG Investment's Director",BULLISH,1.0,"DEFENCE_ELECTRONICS,FINANCIALISATION,HEALTHCARE_EXPANSION",MACRO,https://www.livemint.com/market/stock-market-news/expert-view-broader-market-to-remain-range-bound-in-medium-term-says-skg-investments-director-11782990063458.html,https://www.livemint.com/market/stock-market-news/expert-view-broader-market-to-remain-range-bound-in-medium-term-says-skg-investments-director-11782990063458.html,2026-07-03 04:11
IBULHSGFIN,2026-07-02,MINT_MARKETS,"Expert view: Broader market to remain range-bound in medium term, says SKG Investment's Director",NEUTRAL,0.0,"DEFENCE_ELECTRONICS,FINANCIALISATION,HEALTHCARE_EXPANSION",MACRO,https://www.livemint.com/market/stock-market-news/expert-view-broader-market-to-remain-range-bound-in-medium-term-says-skg-investments-director-11782990063458.html,https://www.livemint.com/market/stock-market-news/expert-view-broader-market-to-remain-range-bound-in-medium-term-says-skg-investments-director-11782990063458.html,2026-07-03 04:11
INFY,2026-07-02,MINT_MARKETS,Why should you buy ETFs instead of stocks? Nithin Kamath of Zerodha explains,NEUTRAL,0.0,DIGITAL_INDIA,SECTOR,https://www.livemint.com/market/stock-market-news/why-should-you-buy-etfs-instead-of-stocks-nithin-kamath-of-zerodha-explains-11782980485821.html,https://www.livemint.com/market/stock-market-news/why-should-you-buy-etfs-instead-of-stocks-nithin-kamath-of-zerodha-explains-11782980485821.html,2026-07-03 04:11
ZENTECH,2026-07-02,MINT_MARKETS,"Top Gainers &amp; Losers on 2 July: Zensar Tech, TCS, Coforge, Apollo Tyres, Bharat Forge, Anant Raj among top gainers",BULLISH,1.0,DIGITAL_INDIA,SECTOR|MACRO,https://www.livemint.com/market/stock-market-news/top-gainers-losers-on-2-july-zensar-tech-tcs-coforge-apollo-tyres-bharat-forge-anant-raj-among-top-gainers-11782984189497.html,https://www.livemint.com/market/stock-market-news/top-gainers-losers-on-2-july-zensar-tech-tcs-coforge-apollo-tyres-bharat-forge-anant-raj-among-top-gainers-11782984189497.html,2026-07-03 04:11
TCS,2026-07-02,MINT_MARKETS,"Top Gainers &amp; Losers on 2 July: Zensar Tech, TCS, Coforge, Apollo Tyres, Bharat Forge, Anant Raj among top gainers",BULLISH,1.0,DIGITAL_INDIA,SECTOR|MACRO,https://www.livemint.com/market/stock-market-news/top-gainers-losers-on-2-july-zensar-tech-tcs-coforge-apollo-tyres-bharat-forge-anant-raj-among-top-gainers-11782984189497.html,https://www.livemint.com/market/stock-market-news/top-gainers-losers-on-2-july-zensar-tech-tcs-coforge-apollo-tyres-bharat-forge-anant-raj-among-top-gainers-11782984189497.html,2026-07-03 04:11
COFORGE,2026-07-02,MINT_MARKETS,"Top Gainers &amp; Losers on 2 July: Zensar Tech, TCS, Coforge, Apollo Tyres, Bharat Forge, Anant Raj among top gainers",BULLISH,1.0,DIGITAL_INDIA,SECTOR|MACRO,https://www.livemint.com/market/stock-market-news/top-gainers-losers-on-2-july-zensar-tech-tcs-coforge-apollo-tyres-bharat-forge-anant-raj-among-top-gainers-11782984189497.html,https://www.livemint.com/market/stock-market-news/top-gainers-losers-on-2-july-zensar-tech-tcs-coforge-apollo-tyres-bharat-forge-anant-raj-among-top-gainers-11782984189497.html,2026-07-03 04:11
APOLLOTYRE,2026-07-02,MINT_MARKETS,"Top Gainers &amp; Losers on 2 July: Zensar Tech, TCS, Coforge, Apollo Tyres, Bharat Forge, Anant Raj among top gainers",BULLISH,1.0,DIGITAL_INDIA,SECTOR|MACRO,https://www.livemint.com/market/stock-market-news/top-gainers-losers-on-2-july-zensar-tech-tcs-coforge-apollo-tyres-bharat-forge-anant-raj-among-top-gainers-11782984189497.html,https://www.livemint.com/market/stock-market-news/top-gainers-losers-on-2-july-zensar-tech-tcs-coforge-apollo-tyres-bharat-forge-anant-raj-among-top-gainers-11782984189497.html,2026-07-03 04:11
BHARATFORG,2026-07-02,MINT_MARKETS,"Top Gainers &amp; Losers on 2 July: Zensar Tech, TCS, Coforge, Apollo Tyres, Bharat Forge, Anant Raj among top gainers",BULLISH,1.0,DIGITAL_INDIA,SECTOR|MACRO,https://www.livemint.com/market/stock-market-news/top-gainers-losers-on-2-july-zensar-tech-tcs-coforge-apollo-tyres-bharat-forge-anant-raj-among-top-gainers-11782984189497.html,https://www.livemint.com/market/stock-market-news/top-gainers-losers-on-2-july-zensar-tech-tcs-coforge-apollo-tyres-bharat-forge-anant-raj-among-top-gainers-11782984189497.html,2026-07-03 04:11
ANANTRAJ,2026-07-02,MINT_MARKETS,"Top Gainers &amp; Losers on 2 July: Zensar Tech, TCS, Coforge, Apollo Tyres, Bharat Forge, Anant Raj among top gainers",BULLISH,1.0,DIGITAL_INDIA,SECTOR|MACRO,https://www.livemint.com/market/stock-market-news/top-gainers-losers-on-2-july-zensar-tech-tcs-coforge-apollo-tyres-bharat-forge-anant-raj-among-top-gainers-11782984189497.html,https://www.livemint.com/market/stock-market-news/top-gainers-losers-on-2-july-zensar-tech-tcs-coforge-apollo-tyres-bharat-forge-anant-raj-among-top-gainers-11782984189497.html,2026-07-03 04:11
TATATECH,2026-07-02,MINT_MARKETS,Tata Technologies shares jump 9% after expanding strategic partnership with Tenneco,BULLISH,1.0,"CAPEX_CYCLE,DIGITAL_INDIA,GLOBAL_ENGAGEMENT",COMPANY_SPECIFIC,https://www.livemint.com/market/stock-market-news/tata-technologies-shares-jump-9-after-expanding-strategic-partnership-with-tenneco-11782983564354.html,https://www.livemint.com/market/stock-market-news/tata-technologies-shares-jump-9-after-expanding-strategic-partnership-with-tenneco-11782983564354.html,2026-07-03 04:12
KAJARIACE,2026-07-02,MINT_MARKETS,"Kajaria Ceramics buyback opens July 3: Check key dates, price, eligibility, and more",NEUTRAL,0.0,"CAPEX_CYCLE,REAL_ESTATE_RECOVERY",COMPANY_SPECIFIC,https://www.livemint.com/market/stock-market-news/kajaria-ceramics-buyback-opens-july-3-check-key-dates-price-eligibility-and-more-11782978089215.html,https://www.livemint.com/market/stock-market-news/kajaria-ceramics-buyback-opens-july-3-check-key-dates-price-eligibility-and-more-11782978089215.html,2026-07-03 04:12
VOLTAS,2026-07-02,MINT_MARKETS,Room AC firms set to have a moment in the sun?,BULLISH,1.0,"CAPEX_CYCLE,AGRITECH,GREEN_ENERGY",COMPANY_SPECIFIC,https://www.livemint.com/market/mark-to-market/room-ac-firms-set-to-have-a-moment-in-the-sun-11782975084575.html,https://www.livemint.com/market/mark-to-market/room-ac-firms-set-to-have-a-moment-in-the-sun-11782975084575.html,2026-07-03 04:12
BLUESTAR,2026-07-02,MINT_MARKETS,Room AC firms set to have a moment in the sun?,BEARISH,-1.0,"CAPEX_CYCLE,AGRITECH,GREEN_ENERGY",COMPANY_SPECIFIC,https://www.livemint.com/market/mark-to-market/room-ac-firms-set-to-have-a-moment-in-the-sun-11782975084575.html,https://www.livemint.com/market/mark-to-market/room-ac-firms-set-to-have-a-moment-in-the-sun-11782975084575.html,2026-07-03 04:12
